Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P10_S11_L002_I1_001	P10_S11_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	260956117.0	0.0	10.0	39.0	1.3412216736808666e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P10_S11_L002_I2_001	P10_S11_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	260956117.0	0.0	10.0	69.0	1.2645804351848168e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P10_S11_L002_R1_001	P10_S11_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	260956117.0	0.0	28.0	45.0	11.495137472984524	28.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
P10_S11_L002_R2_001	P10_S11_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	260956117.0	0.0	150.0	43.0	37.547457585172964	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
P11_S12_L002_I1_001	P11_S12_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	261899141.0	0.0	10.0	39.0	1.3363923175295944e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P11_S12_L002_I2_001	P11_S12_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	261899141.0	0.0	10.0	69.0	1.2600270422421888e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P11_S12_L002_R1_001	P11_S12_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	261899141.0	0.0	28.0	45.0	17.145100747768584	28.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
P11_S12_L002_R2_001	P11_S12_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	261899141.0	0.0	150.0	42.0	50.383464128168264	150.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
P12_S24_L003_I1_001	P12_S24_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	204893322.0	0.0	10.0	29.0	1.8058177611078997e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
P12_S24_L003_I2_001	P12_S24_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	204893322.0	0.0	10.0	69.0	1.6105942193665053e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
