Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P10_S11_L002_I1_001	99.99998658778327	39.0	10.0	36.36363636363637	260956117.0
P10_S11_L002_I2_001	99.99998735419565	69.0	10.0	36.36363636363637	260956117.0
P11_S12_L002_I1_001	99.99998663607683	39.0	10.0	36.36363636363637	261899141.0
P11_S12_L002_I2_001	99.99998739972958	69.0	10.0	36.36363636363637	261899141.0
P12_S24_L003_I1_001	99.99998194182238	29.0	10.0	45.45454545454545	204893322.0
P12_S24_L003_I2_001	99.9999838940578	69.0	10.0	36.36363636363637	204893322.0
P12_S24_L004_I1_001	99.99998111636405	29.0	10.0	36.36363636363637	206528023.0
P12_S24_L004_I2_001	99.99998402153881	69.0	10.0	36.36363636363637	206528023.0
P13_S1_L002_I1_001	99.99980268857672	39.0	10.0	36.36363636363637	17738456.0
P13_S1_L002_I2_001	99.99981960098444	30.0	10.0	36.36363636363637	17738456.0
P14_S20_L003_I1_001	99.99999268681745	49.0	10.0	36.36363636363637	505935682.0
P14_S20_L003_I2_001	99.99999347743179	50.0	10.0	36.36363636363637	505935682.0
P14_S20_L004_I1_001	99.99999232851955	49.0	10.0	36.36363636363637	508376451.0
P14_S20_L004_I2_001	99.99999350874732	50.0	10.0	36.36363636363637	508376451.0
P15_S18_L003_I1_001	99.99998833515215	49.0	10.0	45.45454545454545	317192307.0
P15_S18_L003_I2_001	99.99998959621678	39.0	10.0	36.36363636363637	317192307.0
P15_S18_L004_I1_001	99.99998777929558	49.0	10.0	45.45454545454545	319130540.0
P15_S18_L004_I2_001	99.99998965940395	39.0	10.0	36.36363636363637	319130540.0
P16_S19_L003_I1_001	99.99998768589998	51.0	10.0	54.54545454545454	300468568.0
P16_S19_L003_I2_001	99.99998901715404	30.0	10.0	36.36363636363637	300468568.0
P16_S19_L004_I1_001	99.99998712094425	51.0	10.0	45.45454545454545	302817231.0
P16_S19_L004_I2_001	99.99998910233744	30.0	10.0	36.36363636363637	302817231.0
P5_S15_L002_I1_001	99.99998974061648	69.0	10.0	36.36363636363637	341151103.0
P5_S15_L002_I2_001	99.99999032686698	39.0	10.0	36.36363636363637	341151103.0
P6_S3_L002_I1_001	99.99997593580018	39.0	10.0	36.36363636363637	145444271.0
P6_S3_L002_I2_001	99.99997731089731	50.0	10.0	36.36363636363637	145444271.0
P7_S5_L002_I1_001	99.99998988073723	30.0	10.0	36.36363636363637	345874999.0
P7_S5_L002_I2_001	99.99999045898082	49.0	10.0	36.36363636363637	345874999.0
P8_S7_L002_I1_001	99.99997670853448	29.0	10.0	36.36363636363637	150269634.0
P8_S7_L002_I2_001	99.99997803947537	49.0	10.0	36.36363636363637	150269634.0
P9_S9_L002_I1_001	99.99997855792172	69.0	10.0	36.36363636363637	163230446.0
P9_S9_L002_I2_001	99.99997978318333	50.0	10.0	36.36363636363637	163230446.0
Undetermined_S0_L002_I1_001	99.89380168343985	55.0	10.0	36.36363636363637	160933094.0
Undetermined_S0_L002_I2_001	99.90541507891102	49.0	10.0	36.36363636363637	160933094.0
Undetermined_S0_L003_I1_001	99.91863375426549	58.0	10.0	45.45454545454545	200444185.0
Undetermined_S0_L003_I2_001	99.92791836316621	52.0	10.0	36.36363636363637	200444185.0
Undetermined_S0_L004_I1_001	99.92117726763254	58.0	10.0	36.36363636363637	204721024.0
Undetermined_S0_L004_I2_001	99.93083682298372	52.0	10.0	36.36363636363637	204721024.0
V10_S10_L002_I1_001	99.99998139392731	49.0	10.0	36.36363636363637	188110627.0
V10_S10_L002_I2_001	99.99998245713147	30.0	10.0	36.36363636363637	188110627.0
V11_S13_L002_I1_001	99.99996481434536	59.0	10.0	36.36363636363637	99472357.0
V11_S13_L002_I2_001	99.9999668249542	50.0	10.0	36.36363636363637	99472357.0
V12_S16_L003_I1_001	99.99998284403438	39.0	10.0	45.45454545454545	215668420.0
V12_S16_L003_I2_001	99.99998469873336	70.0	10.0	45.45454545454545	215668420.0
