Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
882659_TY81_S3_L001_R1_001	882659_TY81_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116407292.0	0.0	151.0	36.0	99.9703849277621	151.0	pass	fail	fail	warn	fail	warn	pass	pass	pass	pass	pass
882659_TY81_S3_L001_R2_001	882659_TY81_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116407292.0	0.0	151.0	43.0	68.22118632018676	151.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
882659_TY82_S4_L001_R1_001	882659_TY82_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146567532.0	0.0	151.0	36.0	99.91148442107085	151.0	pass	fail	fail	warn	fail	warn	pass	pass	pass	pass	pass
882659_TY82_S4_L001_R2_001	882659_TY82_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146567532.0	0.0	151.0	43.0	61.50767007757215	151.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
882659_TY83_S5_L001_R1_001	882659_TY83_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167305403.0	0.0	151.0	38.0	99.92898043908461	151.0	pass	fail	fail	warn	fail	pass	pass	pass	pass	pass	pass
882659_TY83_S5_L001_R2_001	882659_TY83_S5_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167305403.0	0.0	151.0	44.0	53.147904679164824	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
882659_TY84_S6_L001_R1_001	882659_TY84_S6_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123140072.0	0.0	151.0	37.0	99.9612565413515	151.0	pass	fail	fail	warn	fail	pass	pass	pass	pass	pass	pass
882659_TY84_S6_L001_R2_001	882659_TY84_S6_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123140072.0	0.0	151.0	44.0	62.493976868085575	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
882659_TY85_S7_L001_R1_001	882659_TY85_S7_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	194980400.0	0.0	151.0	36.0	99.97938634346579	151.0	pass	fail	fail	warn	fail	warn	pass	pass	pass	pass	pass
882659_TY85_S7_L001_R2_001	882659_TY85_S7_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	194980400.0	0.0	151.0	42.0	65.92592208014743	151.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
882659_TY86_S8_L001_R1_001	882659_TY86_S8_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	151143236.0	0.0	151.0	38.0	99.87478802671174	151.0	pass	fail	fail	warn	fail	pass	pass	pass	pass	pass	pass
882659_TY86_S8_L001_R2_001	882659_TY86_S8_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	151143236.0	0.0	151.0	45.0	48.992755108896624	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass
882659_TY87_S9_L001_R1_001	882659_TY87_S9_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	137414503.0	0.0	151.0	38.0	99.82250762021884	151.0	pass	fail	fail	warn	fail	pass	pass	pass	pass	pass	pass
882659_TY87_S9_L001_R2_001	882659_TY87_S9_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	137414503.0	0.0	151.0	45.0	43.66790921409215	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
