Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
882659_TY81_S3_L001_R1_001	0.029615072237902496	36.0	151.0	27.27272727272727	116407292.0
882659_TY81_S3_L001_R2_001	31.77881367981324	43.0	151.0	9.090909090909092	116407292.0
882659_TY82_S4_L001_R1_001	0.08851557892914741	36.0	151.0	27.27272727272727	146567532.0
882659_TY82_S4_L001_R2_001	38.49232992242785	43.0	151.0	9.090909090909092	146567532.0
882659_TY83_S5_L001_R1_001	0.07101956091538852	38.0	151.0	27.27272727272727	167305403.0
882659_TY83_S5_L001_R2_001	46.852095320835176	44.0	151.0	9.090909090909092	167305403.0
882659_TY84_S6_L001_R1_001	0.03874345864849715	37.0	151.0	27.27272727272727	123140072.0
882659_TY84_S6_L001_R2_001	37.506023131914425	44.0	151.0	9.090909090909092	123140072.0
882659_TY85_S7_L001_R1_001	0.020613656534209213	36.0	151.0	27.27272727272727	194980400.0
882659_TY85_S7_L001_R2_001	34.07407791985257	42.0	151.0	9.090909090909092	194980400.0
882659_TY86_S8_L001_R1_001	0.12521197328825906	38.0	151.0	27.27272727272727	151143236.0
882659_TY86_S8_L001_R2_001	51.007244891103376	45.0	151.0	18.181818181818183	151143236.0
882659_TY87_S9_L001_R1_001	0.17749237978115673	38.0	151.0	27.27272727272727	137414503.0
882659_TY87_S9_L001_R2_001	56.33209078590785	45.0	151.0	18.181818181818183	137414503.0
882659_TY88_S10_L001_R1_001	0.26611594079756173	40.0	151.0	27.27272727272727	146050560.0
882659_TY88_S10_L001_R2_001	60.32580845878449	46.0	151.0	27.27272727272727	146050560.0
882659_TY89_S11_L001_R1_001	0.05135588420705517	36.0	151.0	27.27272727272727	117602786.0
882659_TY89_S11_L001_R2_001	35.89949152126769	43.0	151.0	9.090909090909092	117602786.0
882659_TY90_S12_L001_R1_001	0.1053458528858755	37.0	151.0	27.27272727272727	145401038.0
882659_TY90_S12_L001_R2_001	42.18540047826498	44.0	151.0	9.090909090909092	145401038.0
882659_TY91_S13_L001_R1_001	0.040858530805437	37.0	151.0	27.27272727272727	145247644.0
882659_TY91_S13_L001_R2_001	42.905896819936174	44.0	151.0	9.090909090909092	145247644.0
882659_TY92_S14_L001_R1_001	0.07157721687568142	36.0	151.0	27.27272727272727	156850544.0
882659_TY92_S14_L001_R2_001	46.63507739523654	44.0	151.0	9.090909090909092	156850544.0
882659_TY93_S15_L001_R1_001	0.10614044090590369	36.0	151.0	27.27272727272727	117483619.0
882659_TY93_S15_L001_R2_001	35.49853918340767	43.0	151.0	9.090909090909092	117483619.0
882659_TY94_S16_L001_R1_001	0.11959666664445479	37.0	151.0	27.27272727272727	131860211.0
882659_TY94_S16_L001_R2_001	37.67017903703566	44.0	151.0	9.090909090909092	131860211.0
882659_TY95_S17_L001_R1_001	0.11090289154540756	37.0	151.0	27.27272727272727	162897354.0
882659_TY95_S17_L001_R2_001	46.93468916002489	44.0	151.0	9.090909090909092	162897354.0
882659_TY96_S18_L001_R1_001	0.09074504001293349	37.0	151.0	27.27272727272727	134572900.0
882659_TY96_S18_L001_R2_001	41.43868512035272	44.0	151.0	9.090909090909092	134572900.0
885788_TY81_S1_L003_R1_001	0.09930384690305516	36.0	151.0	27.27272727272727	277747255.0
885788_TY81_S1_L003_R2_001	38.70682330474884	43.0	151.0	9.090909090909092	277747255.0
885788_TY82_S2_L003_R1_001	0.20765785881165755	36.0	151.0	27.27272727272727	168893405.0
885788_TY82_S2_L003_R2_001	39.44579803270244	43.0	151.0	9.090909090909092	168893405.0
885788_TY83_S3_L003_R1_001	0.14337198588756905	38.0	151.0	27.27272727272727	234857563.0
885788_TY83_S3_L003_R2_001	51.08424992060078	44.0	151.0	18.181818181818183	234857563.0
885788_TY84_S4_L003_R1_001	0.14845747575991197	37.0	151.0	27.27272727272727	306797703.0
885788_TY84_S4_L003_R2_001	47.775868108575516	44.0	151.0	9.090909090909092	306797703.0
885788_TY85_S5_L003_R1_001	0.06434803975115244	36.0	151.0	27.27272727272727	277321873.0
885788_TY85_S5_L003_R2_001	36.14877942674328	42.0	151.0	9.090909090909092	277321873.0
885788_TY86_S6_L003_R1_001	0.33154071174213584	38.0	151.0	27.27272727272727	239335979.0
885788_TY86_S6_L003_R2_001	54.44568713015539	45.0	151.0	18.181818181818183	239335979.0
885788_TY88_S7_L003_R1_001	0.0	51.0	151.0	30.0	1.0
885788_TY88_S7_L003_R2_001	0.0	50.0	151.0	30.0	1.0
885788_TY89_S8_L003_R1_001	0.13861587941231335	36.0	151.0	27.27272727272727	152773720.0
885788_TY89_S8_L003_R2_001	37.75291585519164	43.0	151.0	9.090909090909092	152773720.0
885788_TY90_S9_L003_R1_001	0.2302540476960928	37.0	151.0	27.27272727272727	154914179.0
885788_TY90_S9_L003_R2_001	42.76364719994176	44.0	151.0	9.090909090909092	154914179.0
