Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
01_P_21_S1_L001_I1_001	01_P_21_S1_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74661927.0	0.0	10.0	59.0	4.687797570507389e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L001_I2_001	01_P_21_S1_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74661927.0	0.0	10.0	30.0	4.687797570507389e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L001_R1_001	01_P_21_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74661927.0	0.0	28.0	49.0	83.76057937740032	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
01_P_21_S1_L001_R2_001	01_P_21_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74661927.0	0.0	150.0	42.0	74.02365676778328	150.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
01_P_21_S1_L002_I1_001	01_P_21_S1_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73554277.0	0.0	10.0	59.0	4.758390868283567e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L002_I2_001	01_P_21_S1_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73554277.0	0.0	10.0	30.0	4.894344893091669e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L002_R1_001	01_P_21_S1_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73554277.0	0.0	28.0	49.0	83.75224185916824	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
01_P_21_S1_L002_R2_001	01_P_21_S1_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73554277.0	0.0	150.0	42.0	73.8893280418162	150.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
01_P_21_S1_L003_I1_001	01_P_21_S1_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68920918.0	0.0	10.0	59.0	5.078284070447233e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L003_I2_001	01_P_21_S1_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68920918.0	0.0	10.0	30.0	5.368471731615647e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L003_R1_001	01_P_21_S1_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68920918.0	0.0	28.0	49.0	84.03663024968066	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
01_P_21_S1_L003_R2_001	01_P_21_S1_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68920918.0	0.0	150.0	42.0	73.99199076710413	150.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
01_P_21_S1_L004_I1_001	01_P_21_S1_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67414708.0	0.0	10.0	59.0	5.3400809805480435e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L004_I2_001	01_P_21_S1_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67414708.0	0.0	10.0	30.0	5.4884165633410435e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
01_P_21_S1_L004_R1_001	01_P_21_S1_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67414708.0	0.0	28.0	49.0	85.02406567230408	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
01_P_21_S1_L004_R2_001	01_P_21_S1_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67414708.0	0.0	150.0	42.0	74.80986072589036	150.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	warn	pass
02_P_22_S2_L001_I1_001	02_P_22_S2_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74111809.0	0.0	10.0	59.0	4.722594208974173e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L001_I2_001	02_P_22_S2_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74111809.0	0.0	10.0	40.0	4.722594208974173e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L001_R1_001	02_P_22_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74111809.0	0.0	28.0	49.0	85.99288655878358	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
02_P_22_S2_L001_R2_001	02_P_22_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74111809.0	0.0	150.0	42.0	73.71357689587173	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
02_P_22_S2_L002_I1_001	02_P_22_S2_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73265590.0	0.0	10.0	59.0	4.7771402646180836e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L002_I2_001	02_P_22_S2_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73265590.0	0.0	10.0	40.0	4.913629986464314e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
02_P_22_S2_L002_R1_001	02_P_22_S2_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73265590.0	0.0	28.0	49.0	85.97338684584027	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
02_P_22_S2_L002_R2_001	02_P_22_S2_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73265590.0	0.0	150.0	42.0	73.72896549904323	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
02_P_22_S2_L003_I1_001	02_P_22_S2_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68739151.0	0.0	10.0	59.0	5.091712581669797e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
