Module	Section	Sample Name	Source
FastQC	all_sections	01_P_21_S1_L001_I1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L001_I1_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L001_I2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L001_I2_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L001_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L001_R2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L002_I1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L002_I1_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L002_I2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L002_I2_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L002_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L002_R1_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L002_R2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L002_R2_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L003_I1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L003_I1_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L003_I2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L003_I2_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L003_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L003_R1_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L003_R2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L003_R2_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L004_I1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L004_I1_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L004_I2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L004_I2_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L004_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L004_R1_001_fastqc.zip
FastQC	all_sections	01_P_21_S1_L004_R2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/01_P_21_S1_L004_R2_001_fastqc.zip
FastQC	all_sections	02_P_22_S2_L001_I1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/02_P_22_S2_L001_I1_001_fastqc.zip
FastQC	all_sections	02_P_22_S2_L001_I2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/02_P_22_S2_L001_I2_001_fastqc.zip
FastQC	all_sections	02_P_22_S2_L001_R1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/02_P_22_S2_L001_R1_001_fastqc.zip
FastQC	all_sections	02_P_22_S2_L001_R2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/02_P_22_S2_L001_R2_001_fastqc.zip
FastQC	all_sections	02_P_22_S2_L002_I1_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/02_P_22_S2_L002_I1_001_fastqc.zip
FastQC	all_sections	02_P_22_S2_L002_I2_001	/scratch/c.mpmgb/blood-brain-barrier-in-ad/03_data/990_processed_data/001_snrnaseq/01_fastqc/03_set3/02_P_22_S2_L002_I2_001_fastqc.zip
