gene,log2FoldChange,pvalue_adjust
DPM1,-0.09061442674255449,0.9476572352787284
SCYL3,-0.046073260524015267,0.9749143629115189
CFH,-0.3598742995588272,0.3659025491599883
GCLC,0.1876494658592256,0.8634093559053503
NFYA,-0.0018292158204657862,0.9994503307555312
LAS1L,0.10465106039708866,0.9500469344357778
ANKIB1,0.004049645899126914,0.9981751533679811
KRIT1,-0.17293373867376646,0.5827510363347128
RAD52,-0.03991388241604217,0.9749143629115189
CD99,-0.11404979246686028,0.9383533356740107
MAD1L1,0.13833350847174625,0.8985798035320897
LASP1,-0.14494497223180838,0.9004517363217805
M6PR,0.21803109565518713,0.8568505736908356
KLHL13,0.23383636117560805,0.760406563715603
ALS2,-0.19381858336439553,0.6419976153260984
CFLAR,-0.07080115380640335,0.8845057293289523
TFPI,0.3921946045920509,0.4381064476105019
NDUFAF7,-0.13040203164129452,0.917402162005809
RBM5,-0.07669843764265766,0.9086523685952751
SARM1,-0.2926079403773512,0.67840857886708394
PLXND1,0.21527636467248323,0.7873479776538809
CD38,-0.024949002423404816,0.9943595434670419
KDM1A,0.23152186758442023,0.7035881752673556
RBM6,-7.687730199109553e-4,0.9994503307555312
RECQL,-0.11331107707459845,0.9223083712753831
VPS50,-0.18662650845337653,0.880269168846097
PDK4,-0.5597849971252409,0.7809741823017742
SLC25A13,0.20061236884184908,0.6758778429824331
ST7,0.19352583594249964,0.8322911398959202
CDC27,0.17269958461115037,0.5651897484467185
PRKAR2B,-0.6270637573024895,0.4865333389287494
CREBBP,-0.0039925309740132834,0.9981751533679811
GCFC2,-0.2482466458046725,0.5552518082128718
CROT,-0.22904315031911113,0.8253163018251543
KMT2E,-0.03215233977801022,0.9549378340349524
IBTK,-0.10253778849799826,0.8839340305686583
ZNF195,-0.2268524325328102,0.7938193496017972
MYCBP2,0.10662871081992906,0.7472146411890381
FBXL3,-0.21244926847168868,0.8160100445745075
ITGA3,0.3224171964561671,0.7472146411890381
ZFX,0.04837924786931504,0.9502893005469648
LAMP2,-0.1694771494852337,0.8282252427879652
MAP3K14,-0.014143022053737596,0.9943595434670419
AP2B1,-0.0640161443992457,0.9225418904513379
RALA,-0.11566927978471025,0.9086770569142621
BAIAP2L1,-0.24596199721331144,0.799849762076781
KDM7A,0.02645904158984837,0.9791775327758583
ETV1,0.20513700591352088,0.857133310517716
AGK,0.12398402409970344,0.8974198445299463
PHTF2,-0.21350535707593707,0.8253163018251543
FARP2,-0.06702098270764555,0.9525906050033087
IFRD1,0.0853319102762793,0.9474910404267196
COX10,0.06486252744914554,0.9492936885610805
GTF2IRD1,0.040980444251955586,0.9779849451040771
VPS41,-0.22685733627792415,0.5534015138657513
ARHGAP44,0.11186618717524584,0.9086770569142621
ADIPOR2,-0.1918733513834984,0.7637572290267335
CDKL3,-0.29058814504384767,0.5991969291454418
MARK4,-0.1674325440555819,0.8888374809961573
PAFAH1B1,-0.02313871734628392,0.9742924593424745
BLTP2,-0.32946713360454144,0.591199170025016
ST7L,-0.06755192152260107,0.9086523685952751
LUC7L,-0.22078336169198123,0.7200279866273326
CRAMP1,0.07615352064527066,0.9390838659310988
TEAD3,-0.19021203854308621,0.8282252427879652
DNAJC11,-0.1649028688127849,0.857133310517716
FMO3,0.2544230715529831,0.8306836489773557
MYLIP,0.07256066331698435,0.9750865089958053
PSMB1,-0.051609699792118845,0.9749143629115189
JARID2,0.16385487519225586,0.8282252427879652
CDKL5,0.19745843667459778,0.7533380787660399
CDK11A,0.18992272697517376,0.8949897918284002
NADK,0.10934792063714598,0.9394281954595216
CYTH3,-0.12748399149973647,0.8282252427879652
SYPL1,-0.39533039953705723,0.5669160451695795
SPAG9,-0.0535566245935963,0.9439530534865128
AASS,0.08090001611621542,0.9494094734402163
CRY1,0.34574910581446305,0.608794376112202
ST3GAL1,-0.03339821491618709,0.9785122210830003
PKD1,0.10311754039131518,0.9390838659310988
MED24,-0.17073098292724578,0.8768698844221862
HEATR5B,-0.060484665852562874,0.942211142983048
SEC62,-0.13286729215794538,0.8401975963923833
CSDE1,-0.12368601996321733,0.8634093559053503
UBE3C,-0.0399295838735081,0.9455448753506243
REV3L,0.16309289764819318,0.8945847232603549
FAM76A,-0.09326033689821843,0.9492936885610805
VTA1,0.17764717241263212,0.799849762076781
BAZ1B,-0.13896203865492357,0.8616287420927664
RANBP9,6.232521107044525e-4,0.9994503307555312
ZNF207,-0.06101932955993494,0.8949897918284002
STARD3NL,0.050450406784717294,0.9727680166021115
CD9,-0.2867029714980528,0.7472146411890381
IFFO1,0.1680006175950829,0.8939237689002503
NISCH,0.06927734532068142,0.942211142983048
SLC6A13,-0.06087619284015923,0.974736443692532
IDS,-0.17677531943754338,0.8115040892016147
CD4,-0.46190343082141666,0.7809741823017742
LRRC23,0.1946017447256283,0.8898374550625889
SCMH1,-0.036849318761404994,0.9676696339387463
FYN,-0.017340279292748874,0.9749143629115189
HIVEP2,0.1691140419817446,0.8616287420927664
ELOA,0.3793838459445216,0.5655416977511278
CLCN6,-0.16819564083203495,0.7902358137012054
MRC2,-0.04095413655939579,0.9698374411529721
TSPAN9,0.09528098920675099,0.917402162005809
BTBD7,-0.06663156064667326,0.917402162005809
ABHD5,-0.054022224188785266,0.9750865089958053
AKAP8L,0.0072901824773296394,0.9957255293832147
MBTD1,0.011495949922003448,0.9905362095957966
RNF216,0.04904725406312689,0.948937233941644
TTC19,0.12804139774329185,0.837844915761773
PTBP1,0.14074487673374253,0.8888374809961573
LARS2,-0.13395997580731342,0.8656841075975009
PIK3C2A,-0.12501583250209056,0.8282252427879652
RABGAP1,-0.11048980601073628,0.799849762076781
DCN,-0.003498081648918203,0.9981751533679811
PPP5C,-0.3089619065152693,0.4527751079750475
CEP68,0.16393721988669774,0.7413483850418252
MAP4K3,-0.012814729863420192,0.9792633396452127
MBTPS2,-0.015778326791805155,0.9957255293832147
EXTL3,-0.12598534017341573,0.8859279228348806
ELOVL5,-0.12497572828196488,0.8282252427879652
KDM5D,-1.002849277603262,0.891763233763426
CALCOCO1,-0.11876996786453034,0.9161075432864395
MAP4K5,0.14222912126650697,0.689710656813403
MAN2B2,0.2932379166614692,0.6085005444941506
MVP,-0.16864355321779875,0.9086523685952751
NUB1,-0.11518261675420327,0.8985798035320897
PGM3,-0.23926846182817585,0.7622788088932971
CLK1,-0.06941206160731815,0.9312922721202934
POLR3B,-0.04225369300258737,0.9772764127789797
RNF14,-0.10513612034515796,0.9226154230871654
MAMLD1,0.3029148232059317,0.8152758525112708
UFL1,-0.10741985891735804,0.942211142983048
POLA2,0.1464127371118516,0.936096093743706
ZC3H3,0.05455925616683365,0.9749143629115189
CAPN1,-0.02675164694312647,0.9807854198469727
MDH1,-0.4400326279263787,0.4433966076828412
SLC30A9,-0.22999876053807175,0.6143673627291011
COX15,0.01786387648860282,0.9947248683304573
YAF2,0.11009741263029253,0.9098053259133162
ZMYND11,0.006230743384407222,0.9948147100584861
BID,0.24193925548486203,0.8898374550625889
MATR3,-0.21728305212118468,0.49821327858780023
NUDCD3,0.0409273922141298,0.9648508647919999
ATP2C1,0.06091090363984429,0.942211142983048
RALBP1,-0.17638129170342995,0.8142067676513849
RUFY3,-0.1350051546461731,0.6430886328396335
CNTN1,-0.0014693749046696563,0.9994503307555312
WWTR1,-0.05369605810757488,0.9648508647919999
AGPS,0.16438036560704944,0.8626106111502363
ATP1A2,-0.12099255355269735,0.9086770569142621
TTC27,-0.09318287348798365,0.9253603031822502
PHLDB1,0.11250546224107072,0.8656841075975009
PRDM11,-0.16407402529600745,0.8656841075975009
HGF,0.32700181010803475,0.8152758525112708
ZRANB1,0.20545673005732962,0.7113939843065943
ADGRA2,0.1304441571724058,0.8985798035320897
ZFP64,-0.2036361970674382,0.8643660516256595
MNAT1,-0.16632173611934334,0.4681617715630636
SAMD4A,-0.02476010736034578,0.9876035831200788
RUNX3,0.08449180754325843,0.9735740623905629
MRE11,-0.12120655520875788,0.8945847232603549
SERPINB1,-0.3687597772949123,0.7035881752673556
SPAST,0.01931278263733607,0.9877293857924273
NRXN3,-0.28261187326072623,0.828501854430706
OSBPL5,-0.06290721438209775,0.942211142983048
AQR,0.1421510347223544,0.8634093559053503
CPS1,-0.38801013743728074,0.6143673627291011
FHL1,0.4679754310903419,0.593361080030253
RTF2,-0.03099140118233672,0.9772764127789797
RNF10,-0.046575898402605606,0.9698374411529721
ZDHHC6,-0.22330433418002388,0.7867822755331187
RNH1,-0.031718236385180634,0.9851144474110755
NDUFS1,0.019239724482441295,0.9757065804629317
RB1CC1,-0.008684692322279638,0.993288702854318
ERP44,-0.22093663266020883,0.5867924481750099
AKAP11,-0.28029698906490264,0.48168326633448005
DERA,-0.023175633335819158,0.9820219132735126
STRAP,-0.1140557300224934,0.9321214353403352
GCLM,-0.00582624197207162,0.9990704797072689
UBR2,-0.013323555646870065,0.9785122210830003
EHD2,0.049114937790647066,0.9749143629115189
PHF20,-0.061568837596110475,0.9500469344357778
NR1H3,-0.08533469786894414,0.9452120763226788
SEC63,-0.11117054859983196,0.8568505736908356
KPNA6,-0.03089694085615637,0.9757065804629317
VIM,-0.08706447431685439,0.9502893005469648
FAS,0.33848871237872563,0.6143673627291011
CD44,-0.16179274330568758,0.9289257743717559
AGPAT4,-0.004066909019403552,0.9994503307555312
MIPEP,-0.07683144020343026,0.9492936885610805
PRKCH,-0.19738011886444967,0.8282252427879652
IFNGR1,-0.21537700125797163,0.799849762076781
VRK2,-0.06912620667934423,0.9452120763226788
TNFRSF1B,0.2709142774579607,0.799849762076781
VEZT,-0.1900714169812943,0.6377414021202891
BRD9,0.2737384357859488,0.7013769105718148
SNX1,0.07130694007264593,0.9394281954595216
TBPL1,0.18872176338297922,0.8888374809961573
BCLAF1,-0.04223345333481901,0.9715753274824269
SLC39A9,0.030980012749468117,0.9779849451040771
TFB1M,0.1752222994534798,0.8568505736908356
RABEP1,0.023272870250319135,0.9772764127789797
NUP160,0.04625541630844126,0.9449306726785727
IKZF2,0.11665051571118976,0.9289257743717559
FAM13B,-0.006097727343969488,0.9951162254537596
ARHGAP31,0.2405464396740154,0.6278286191322018
