gene,log2FoldChange,pvalue_adjust
TSPAN6,-0.6403807225456974,0.999976290894045
DPM1,-0.2243530555643203,0.999976290894045
SCYL3,0.14364522322971648,0.999976290894045
C1orf112,-0.030918148844594897,0.999976290894045
FGR,-0.13214909984214454,0.999976290894045
CFH,-0.3004907178688113,0.999976290894045
FUCA2,0.5934397300476552,0.999976290894045
GCLC,0.09181170877687045,0.999976290894045
NFYA,0.09001691561604463,0.999976290894045
STPG1,-0.09900843982086517,0.999976290894045
NIPAL3,0.7275486179099083,0.999976290894045
LAS1L,0.19710076385686506,0.999976290894045
ENPP4,0.24246539870484884,0.999976290894045
SEMA3F,0.5055909612566052,0.999976290894045
CFTR,0.041946948319974586,0.999976290894045
ANKIB1,0.1311880419696366,0.999976290894045
CYP51A1,0.39850333089067613,0.999976290894045
KRIT1,-0.19597506005395518,0.999976290894045
RAD52,0.3600142297811706,0.999976290894045
BAD,-0.4825949781248331,0.999976290894045
LAP3,-0.443535031096836,0.999976290894045
CD99,0.11716983814398402,0.999976290894045
HS3ST1,0.6232426000005596,0.999976290894045
WNT16,0.35773277186350366,0.999976290894045
HECW1,-0.08532913651153477,0.999976290894045
MAD1L1,0.0442706441404158,0.999976290894045
LASP1,-0.4699671698161544,0.999976290894045
SNX11,-1.053947282560017,0.999976290894045
M6PR,0.29029987590172657,0.999976290894045
KLHL13,0.007129527887144895,0.999976290894045
ICA1,-0.39263338155519806,0.999976290894045
ALS2,-0.01865768282237777,0.999976290894045
CASP10,0.3425159064563609,0.999976290894045
CFLAR,0.01395373871587535,0.999976290894045
TFPI,0.35093073824072935,0.999976290894045
NDUFAF7,0.04030972098824235,0.999976290894045
RBM5,-0.1326608778802018,0.999976290894045
SLC7A2,1.038041932245938,0.999976290894045
ARF5,-0.1474517380271146,0.999976290894045
SARM1,-0.07925089044564006,0.999976290894045
POLDIP2,-0.20958659750990088,0.999976290894045
PLXND1,0.1719112709682334,0.999976290894045
AK2,-0.40383997526029064,0.999976290894045
CD38,-0.7469692327019144,0.999976290894045
FKBP4,0.29273734569592985,0.999976290894045
KDM1A,-0.2319909459119186,0.999976290894045
RBM6,0.16301546773267622,0.999976290894045
CAMKK1,-0.04679310119657647,0.999976290894045
RECQL,-0.08357404075751086,0.999976290894045
VPS50,-0.12844427123793817,0.999976290894045
ARHGAP33,-0.5246534600755265,0.999976290894045
