gene,log2FoldChange,pvalue_adjust
DPM1,-0.18851690630368062,0.9234522063119309
SCYL3,-0.0037984268811186153,0.9964575188232973
C1orf112,0.3624291140353239,0.8541832510832466
CFH,-0.14391229638861344,0.9006859275473139
FUCA2,-0.18688510202332226,0.9589626872974782
GCLC,0.22220545887810605,0.8041729176537108
NFYA,0.01729884934089684,0.9936006033925205
NIPAL3,-0.13343957562780914,0.9720624476995892
LAS1L,-0.09455499121806933,0.9775491816326926
ANKIB1,0.06580491981175449,0.9538855719444287
KRIT1,-0.3182856177526864,0.4743509934936793
RAD52,-0.03875292338271815,0.9907793689541429
LAP3,-0.7268383593955815,0.6471293906703988
CD99,-0.3683473939821464,0.7112256428383572
HS3ST1,0.4063360218475168,0.8072750487559021
HECW1,0.11636629481457186,0.979801819586182
MAD1L1,0.17069011959569405,0.9129905454989266
LASP1,-0.24229736793836829,0.8537841665778906
M6PR,-0.07160129769543697,0.9890419942117048
KLHL13,0.2607233572385758,0.8363922284261609
ALS2,-0.14938941447043902,0.9348065102517493
CFLAR,-0.05218030167219304,0.955544206694815
TFPI,0.3371598298442298,0.5909738951650115
NDUFAF7,-0.29701454310466835,0.8805930965179893
RBM5,0.12457204913695133,0.8781433931847397
SLC7A2,1.1368527202113672,0.47772747495347706
SARM1,-0.3821544501499825,0.7272724713260981
PLXND1,0.11907527645809063,0.9348065102517493
AK2,-0.12799057738779782,0.9687793803698153
CD38,-0.5733092942207512,0.7510354722923156
KDM1A,-0.02258201433872895,0.9931103099402374
RBM6,0.03733594624279168,0.9760895546916057
VPS50,-0.15040603970665095,0.8925644914327221
PDK4,-0.03896885667795556,0.9931103099402374
SLC25A13,0.1520912607241496,0.912708387272989
ST7,0.23661132161651846,0.8596882035607911
CDC27,0.0365932409765976,0.9837847241860022
UPF1,0.3351375805104443,0.891249640985611
SKAP2,-0.18779700830509016,0.9548152223161293
MCUB,-0.14958227529371437,0.9538855719444287
DHX33,-0.212883260080491,0.9526182277492081
THSD7A,0.657540630304374,0.6498592265375808
SPPL2B,-0.06632946427292982,0.9859684330174772
PRKAR2B,-0.2125661383946099,0.9500168092841087
CREBBP,0.08840474235496819,0.87635769291924
GCFC2,-0.1509834285913082,0.9259695920857405
CROT,-0.11085455527754556,0.9713959870136409
KMT2E,0.05945326759230064,0.9393577730570193
RHBDD2,-0.14346591405093215,0.9687793803698153
IBTK,-0.3947190190496228,0.3943663099287291
ZNF195,-0.03901524773326283,0.9928762023125348
MYCBP2,0.051512444013313834,0.9538041959098026
FBXL3,-0.008913639201133671,0.993832896513142
ITGA3,0.14581280492830065,0.9538855719444287
ZFX,-0.010263330499878034,0.9937236305426195
LAMP2,0.24164339621819922,0.8513702307692426
REX1BD,0.039380039657641086,0.9936006033925205
TMEM98,-0.2381809823717103,0.9462879536198131
MAP3K14,-0.12875036178681937,0.9538855719444287
ABCC8,0.45348173073101583,0.8712503921589732
AP2B1,-0.07251353353472385,0.9511598382556856
RALA,-0.011940386705734168,0.9937739817837871
BAIAP2L1,-0.6253351154774625,0.16681935132510692
KDM7A,-0.010455134804387848,0.9937739817837871
ETV1,0.2979001482327546,0.8513702307692426
AGK,-0.18485391218507813,0.9187321393671186
PHTF2,-0.20406829933885312,0.9019930316932219
FARP2,-0.1466338596672853,0.9026741721367263
IFRD1,0.4046050543357973,0.6529076885661254
COX10,0.19514560812400011,0.9182157813857934
GTF2IRD1,-0.11930706461735552,0.9538855719444287
VPS41,-0.2642622709719297,0.4430509037332563
ARHGAP44,-0.09708124076518353,0.9538855719444287
ELAC2,0.02964456762751172,0.9936006033925205
ADIPOR2,-0.19339573015350817,0.8807699487027274
CDKL3,0.17493195525014368,0.9259695920857405
UPP2,0.1938433561225523,0.9548152223161293
MARK4,-0.08427540707367746,0.9700020216489809
PAFAH1B1,0.0037248881031146804,0.993832896513142
DNAH9,-0.4756038922563616,0.8513702307692426
BLTP2,0.15658249498607466,0.9175762350619926
GAS7,-0.24470792857842427,0.955544206694815
ST7L,-0.20655408785207213,0.6965436248572364
RHBDF1,0.4162550151989644,0.8608912458717353
LUC7L,-0.10771308470466834,0.9462879536198131
CRAMP1,-0.07231085416516855,0.9623661497516475
TEAD3,0.1137870301451649,0.9659778690358245
DNAJC11,-0.08435672241062833,0.9720624476995892
FMO3,0.2683590965915583,0.9207897662902086
MYLIP,0.6092889493705973,0.5656467063960039
PSMB1,0.032232024173783985,0.9931103099402374
JARID2,0.3675356565275863,0.3757329961160035
CDKL5,-0.20334865501354144,0.8541832510832466
CDK11A,0.3702645631458726,0.7413964298976347
NADK,0.11416120490410667,0.9687793803698153
CYTH3,-0.12879880025079005,0.8514180153029546
ADAM22,0.9440801622949038,0.41219591491694213
SYPL1,-0.6094129852500594,0.47736425861156967
SPAG9,-0.13131119951105774,0.8961556542316084
AASS,0.13060198996213102,0.9538855719444287
CRY1,0.45541528929044545,0.6580158023326785
NFIX,0.7286449530437205,0.45228822290932746
ST3GAL1,-0.46237954201999987,0.5132068526109148
PKD1,0.3092618804667855,0.7659159340202317
MED24,-0.006026716693668839,0.9949533444349129
RHOBTB2,-0.042824575117918345,0.9907793689541429
HEATR5B,0.04407531208579358,0.9859684330174772
SEC62,-0.12502999856779592,0.9394737959953604
RPS20,0.18814197557954862,0.9526182277492081
CSDE1,-0.006246770355031949,0.993832896513142
UBE3C,0.16144688038336835,0.7272724713260981
REV3L,0.06411101643008454,0.9837847241860022
TENM1,1.234621797539731,0.40106833534073266
FAM76A,-0.24212810387455014,0.867448937482951
POMT2,-0.17557353429508538,0.9526182277492081
VTA1,0.22873843559098678,0.8608912458717353
BAZ1B,-0.0905404147553139,0.9432469421682389
RANBP9,0.06523756816182157,0.9713959870136409
ZNF207,0.034295269329402744,0.979801819586182
UQCRC1,-0.25406946046848533,0.8853486853767814
STARD3NL,0.2789531995499882,0.8913962532858385
CD9,0.03529824989191735,0.9907793689541429
NCAPD2,0.01876628304100523,0.9936006033925205
IFFO1,-0.20442181627073827,0.9536238205977748
PHF7,0.2950737251877722,0.9279081239940462
NISCH,1.0222218215330444e-4,0.9998073214093035
STAB1,0.8707808646325247,0.8295486345028802
SLC6A13,0.1357424739274506,0.9526182277492081
IDS,-0.3477432687146857,0.5914508841106265
CD4,-0.4439596667387723,0.8872317652382397
LRRC23,0.11320430927397647,0.963244306567566
SCMH1,-0.014540764846722053,0.9931103099402374
FYN,-0.05769256765556607,0.9538855719444287
HIVEP2,0.20838954816172475,0.7502411926751024
ELOA,4.158861420127826e-4,0.9996496804380759
CLCN6,0.17352785027416867,0.9083801563447949
MRC2,0.057367010139486904,0.9720624476995892
TSPAN9,-0.05735329159000343,0.9720624476995892
BTBD7,0.12404326107703595,0.8589013862318703
ABHD5,0.10474585735714506,0.9687793803698153
AKAP8L,-0.19586441925605153,0.7505769787879834
