T-Pericyte	81035 2918 6539 6507 55022 8622 6573 57125 57194 2913 79875 23500 105 6540 10090 6529 55824 57101 9934 5787 2078 4301 25924 64344 5745 2262 8470 55532 6641 22998 3983 338596 84251 27115 401474 5175 8490 1368 388336 7450 8503 79993 5362 10580 5159 10052 7222 256435 3355 477 117248 4781 10217 64123 124359 84952 255488 143872 3655 6480 3480 140876 5293 79658 157 4855 2313 79789 151258 4091 85358 153579 51196 51162 9429 744 22856 399959 4643 11309 27443 50509 7273 23263 6541 2122 54039 55679 54873 154661 1607 6505 63982 3635 8140 79602 388815 1285 10319 57105 2887 10350 54438 130367 114800 2043 92293 23670 7010 5420 4811 6103 9844 5592 11178 3909 8821 596 221981 10060 728577 5243 10723 23136 152189 5602 55799 7052 2317 79742 27147 253782 5764 57181 306 159195 79611 283383 64094 23284 57496 4854 220441 6513 90632 374378 4430 22801 28231
M-Pericyte	8622 2913 79875 6573 55532 57101 5787 6507 2078 4301 84251 2262 23500 25924 22998 5175 2122 3983 7450 5159 79993 1607 338596 6529 5745 2313 27115 8503 79789 8490 143872 5362 64123 9934 256435 3355 401474 9844 3655 255488 153579 151258 51162 117248 124359 84952 1368 51196 8821 5243 220441 4855 79658 57194 10580 9037 477 154661 152189 85358 5420 11309 4091 140876 2918 57480 57125 6539 50509 5602 8140 6541 4916 23263 79602 3635 9429 4854 257019 283383 100132891 6480 5139 10052 6641 6103 130367 54453 5137 152330 22856 3480 4430 114800 7010 2317 7052 5592 23670 221981 57514 2043 54438 1004 744 10231 4811 1285 395 596 64759 92293 2887 23284 64094 79742 306 11178 54873 57493 55799 783 55959 28231 57181 57630 80731 728577 51705 253782 6513 2022 7222 10217 388815 159195 9915 2895 1286 116159 90632 100874369 9628 10098 1756 3909 2321 51703 54039
Pericyte	57194 8470 5787 57101 2078 25924 4301 79875 2313 79602 7450 338596 22998 3480 10580 374378 79993 401474 5175 5362 6480 3983 8503 256435 124359 57496 64123 51162 4781 3655 57514 2887 84952 117248 255488 4855 64327 153579 9429 4643 2122 22856 5420 4091 23294 9882 152189 154661 8502 5243 4205 57488 5445 57480 85358 11309 85461 9844 54622 54873 6541 6397 54453 5924 144402 8140 10611 25937 57493 57181 55679 6103 54438 3635 9712 23263 51232 159195 219771 54536 6505 2317 80014 3566 2321 3267 130367 64344 3685 9693 23380 23670 351 7052 7010 1499 2776 2043 6529 5128 23143 28232 5286 114800 54739 83938 10564 246175 6513 11213 5530 3455 25897 2022 26052 7037 221981 3909 6507 51701 6573 728577 8622 90 64359 2120 23348 79742 659 2034 23345 5066 9922 306 9213 57732 90632 6303 55917 753 4739 5583 259230 5784 8566 10098 9873 8848 221395 2040 57477 93664 477
Pericyte-2	6539 2913 644135 55532 57125 7222 9934 6507 2918 81035 1285 8490 744 9037 8622 1634 5764 6573 64094 1004 10090 5159 23500 57105 6641 100874090 1607 10060 5602 6540 100132891 55824 79611 55022 152330 10350 143872 1286 220441 388815 2262 11178 4854 50509 10723 140876 5745 283383 395 441094 84251 79789 6529 27115 253782 3355 8821 596 10217 5137 51196 10052 7223 2983 1368 80731 2078 105 8654 57101 2977 4301 101928404 5139 7035 57630 55799 54039 79658 8825 79875 5175 100526832 64759 23136 399959 79993 79839 7026 22998 7450 5218 4430 23284 4811 27443 151258 5787 477 29940 338596 116931 64123 8633 3983 220965 255488 5563 54997 1278 256435 122786 7545 117248 221303 3655 5362 401474 577 2982 8503 5783 1756 10319 25924 9828 5293 153579 84952 783 55243 257019 65983 2122 10231 1909 143686 51751 57685 93986 4091 10628 22925 124359 57194 2313 9457 11309
Oligo-A	25769 57698 84978 9705 5521 288 9745 4155 6695 4684 5101 57475 118611 158471 51555 4685 55016 344148 55314 131096 4336 9053 5789 253559 7018 101928583 84623 23321 64067 6446 6457 23242 2824 55619 5435 51148 121601 56899 28316 22871 8537 9586 79152 4137 1501 114792 5168 23671 20 122060 347689 154215 23705 1902 5129 5354 26289 101927459 9625 4340 933 259232 101927768 342035 116154 5010 2263 80725 221458 6900 9717 84466 85445 84735 5046 387486 7368 79628 23120 64399 5027 152404 101101773 283547 2346 219287 222537 10507 54463 23127 745 57554 2065 100287225 443 63895 79776 64168 54443 114805 8522 4036 56062 5654 4212 54886 84457 285286 79953 4118 285668 286411 114088 28513 93377 115584 58480 2891 3696 11240 57571 23149 2628 286827 100128675 124903732 143425 84440 283999 92737 4211 4099 6663 220296 9770 56896 100506421 643965 9498 27087 10690 8549
Vascular-SMC	23037 4629 6586 221395 6196 201501 57480 9628 2313 3075 5583 9472 5139 6397 57101 10529 2122 7450 79993 4163 5787 152189 57514 5243 25924 54739 22998 8503 79875 5175 2534 4862 2078 115677 6262 51162 55604 9844 153579 338596 83716 8395 4739 5924 117248 79602 344558 64123 51176 4162 9060 25802 10231 124359 255488 23348 3655 5420 93664 8496 84952 6546 783 256435 83938 949 8566 4301 9882 3908 4052 154661 2321 4855 51088 93649 11309 3983 9429 85358 8516 54453 27185 4091 3635 256987 23263 57732 57493 8140 1608 57572 9712 1837 9922 11213 3455 221935 130367 6103 54873 1780 6558 57608 221981 54625 1756 159195 90632 5939 51705 5592 6513 2022 57381 57181 79658 11069 7010 54622 5136 4916 9079 63027 89797 23328 25992 29119 6711 114800 6505 401474 29780 4249 306 28231 5362 728577 6303 79742 23240 9732 94240 5445 57477 10098 2066 7052 6925 343450 2895 7037 2043
Arteriolar-SMC	6586 9628 83716 57101 2122 57480 2313 2078 5139 5787 79875 5175 25924 55604 22998 7450 783 5243 8503 6546 29119 79993 10231 4301 6581 3983 152189 9844 1780 64123 153579 338596 11155 201501 256435 3655 4916 84952 8395 117248 255488 51162 154661 5362 5420 57514 4855 85358 124359 401474 2321 3635 79658 11309 79602 6196 8821 1607 4091 79789 151258 109 51196 64759 3355 9429 25992 8566 1837 6397 23263 116496 8140 4163 143872 130367 151742 5159 344558 221395 9922 57493 25802 1608 1756 114800 51705 221981 9096 5592 7052 4739 6541 54453 7010 6103 57608 54438 54739 220441 4629 57181 5583 6513 2317 84251 306 2895 2043 79742 159195 51088 9712 28231 93649 10098 4862 2022 949 6909 55959 7037 90632 116159 9060 4131 1368 29091 152330 23670 57477 9882 54843 4430 7122 9915 5136 100874369 111 10085 51703 23114 6480 55243 395 93664 29780 182 4854
Vascular-SMC-LINC00486	83716 23240 4629 6586 463 9628 5592 6262 100874369 5139 9472 2321 1756 8496 10529 23348 201501 5583 5797 4026 5243 374378 256435 2313 6711 344558 57101 7450 2122 23037 1795 221395 6196 51176 28996 57480 79993 338596 773 4162 57514 3075 11156 5787 783 8395 9510 9882 79602 93649 25924 6397 5420 23648 2534 2034 9645 54453 800 1282 3655 27241 4739 124359 5924 1284 153579 4163 3778 5445 8566 4306 255488 221935 22936 4862 6925 9922 84952 54622 4301 79875 57194 117248 22998 2078 4091 8837 22837 6513 152189 85358 4855 351 220441 64123 4249 9712 54739 9429 109 3908 285045 83938 57496 8503 949 115677 25802 54873 64327 4205 55604 5175 105378858 93664 57181 2895 256987 26207 3983 51088 57608 154661 1889 57706 51162 8140 23294 3672 80243 219771 23387 11030 558 57732 9060 11309 23263 246175 3635 57493 11069 64097 7082 8476 130367 11213 118 306 55917 9844
Trans-Endo-to-mural	4916 9628 1004 55691 57181 9457 1909 4629 59277 10335 54843 5136 401190 27145 8736 93649 9472 59 11155 84952 22979 654 64595 3164 50859 1496 9429 7404 55740 11163 83869 126374 4651 83872 2022 388815 9258 149840 11141 283659 388336 8829 399959 55022 9580 54567 6579 22885 54922 4842 282996 23005 5789 79905 1634 10411 3337 7482 29995 7424 100996709 7316 6515 6533 56261 54329 5585 55137 163259 93663 92745 1760 57162 8842 3320 23254 285045 3908 22801 6091 5396 79572 80005 3329 93986 3315 10350 4478 55182 10808 8884 80864 84898 8671 128553 10728 5351 23710 23179 10349 3326 11174 53373 10397 80055 219654 160335 54558 79668 55640 7430 171586 5295 114793 10628 51422 3899 9542 7049 651746 4792 85363 694 2923 476 3304 28231 7453 9709 388 11170 6171 1915 4124 7009 3397 10346 153830 7832 10209 3459 54880 966 567 3429 1974 3021 6415 3107 10365 8809 3399 1052
Perivascular-FB-KAZN2	23768 10350 80114 23460 10351 10349 101928583 2192 5156 5010 101927289 30820 1293 5212 1306 1303 57214 2258 3973 349136 64131 4916 2162 79827 2327 10154 3912 6444 2893 388815 27286 26011 55182 347 730 2152 8522 3908 5337 2274 26033 101927293 84898 1902 1740 2034 144165 374378 81035 1634 8470 257194 6095 64097 54757 4208 10659 57194 85449 55022 64359 57562 3672 93986 2321 9882 114793 10319 4035 79993 5583 2889 5793 6272 5243 28232 25924 89795 7049 375449 5396 83938 57496 79974 55640 323 6867 2122 7450 23180 53373 10529 5787 64123 152189 2313 55504 9693 8503 1602 4133 4739 22898 23266 4249 401474 23348 2 2078 22837 221395 54861 92293 5175 23254 338596 23143 54558 8997 51162 8301 26207 5730 27303 89797 3655 153579 57488 124359 4627 5578 6505 9429 7402 4855 79602 90632 6397 54622 57514 92521 399959 8140 81 85358 4781 9079 255488 154661 6660 25966
