Arterial	79658 5592 4430 6529 79789 3355 5159 221981 5336 84251 27115 143872 4916 23500 51196 4091 151258 1607 55799 8821 220441 6573 54438 255488 8503 477 5745 100874369 22998 6641 5787 1356 8622 3909 2078 5139 23284 64123 4811 25924 4855 5602 249 4301 6507 7010 2262 1368 596 55532 5175 79875 395 9844 1004 783 1756 2122 10052 85358 154661 10217 79993 57101 9934 1009 7450 5362 4854 55930 152189 10231 2317 3983 338596 114800 79602 6513 654 9429 388815 3655 257019 7424 27147 2313 50509 54873 2913 117248 140876 124359 2043 51705 9037 2918 5420 25758 256435 7052 116159 8490 19 401474 22856 147463 151473 81035 130367 8633 23243 1948 64759 55917 5243 54622 6539 54039 57125 728577 51162 55243 57514 153579 4842 64283 3680 1780 152330 2895 947 6103 55824 64094 79772 9628 2530 9709 1124 28231 253782 10090 6909 558 6303 57493 57580 57480 2887 744 2650 57194 1634 10085 100132891 5825 54536 57162 65983 90632 8825 283383 144402 6397 54453 84952 3685 55959 3635 5924 8871 55790 6480 79611 4131 5128 5140 9915 27443 9096 2321 56920 55691 105 1285 57458 7222 79633 159195 441094 1363 9882 657 7273 80731 55679 54477 3133 800 1608 9828 93664 7545 55022 57139 3480 56654 5764 11178 6586 22979 111 6095 399959 11309 29119 64327 8395 57630 79870 126669 7122 3075 5998 151742 27143 7111 5783 220965 90102 22854 9732 196883 5293 22925 5137 23263 4739 401145 2009 1843 100526832 221395 5287 3397 85004 57477 1000 57732 10319 23136 2022 8654 85407 1837 7026 6540 8459 3551 57496 6575 5530 83938 953 6764 167465 1286 83716 54852 6581 8502 22861 9686 91133 9457 25937 26051 11170 90 105378909 160622 23368 5445 85461 2012 306 9712 9414 51703 6913 351 80014 285671 2308 5218 9213 64409 2280 6453 54462 8942 1909 3679 23150 4846 80790 9337 11213 3710 344558 400456 3977 84159 116496 6196 4139 57181 6541 6793 463 29940 4163 348645 29091 23075 23348 80760 84969 577 246175 11320 23114 155038 79937 83543 23380 54997 4045 10982 55803 10129 3382 4734 3241 5552 79572 10628 9771 9522 26030 79739 221178 29780 374378 3745 23294 57105 57685 57608 11281 11098 152273 2983 3399 10350 6744 221935 171024 4093 5613 10060 5286 27284 613 9722 64344 79742 100506835 3459 27151 7325 5359 4810 2006 3910 2776 55137 6505 27250 25966 5583 83992 23254 476 10392 23382 29941 260425 64115 64359 540 5327 219771 3985 9760 4253 50650 2550 158376 118 57605 104 23670 100505495 135112 5784 966 2977 3303 1889 9912 54843 10411 2114 9079 7223 4205 102 10516 9455 11030 80323 64116 4005 53346 753 2892 1499 6326 1003 92293 3267 4642 8975 340485 80005 5144 122786 9922 9180 10098 25959 54739 10561 143686 5269 29 55785 80303 2268 659 3455 2040 2982 6197 604 23086 4643 10723 647135 7037 1600 6546 730094 8470 5991 89796 3714 157 8515 51088 8848 91351 843 8611 91010 149563 8566 10251 89797 6709 2889 57670 94240 50810 23673 3269 5239 10564 64097 79839 2059 11343 4179 4162 6527 4792 252983 9215 169792 55553 10054 23677 6263 8556 151126 84166 3304 965 8837 11174 51477 93109 126668 9699 121838 2034 22836 100507336 25759 54625 109 7004 10867 9637 100128098 2247 3106 2 10044 58494 55340 567 115207 7482 1112 4781 3899 30011 50618 9351 22885 754 23396 25897 1432 10395 259230 10184 830 115 4363 23613 65065 124909494 23180 11275 84910 134549 23607 9026 6595 9693 10257 56977 23143 57579 51365 6482 4071 135228 5939 100506658 26960 80063 10160 9710 8751 64411 154043 124906209 2100 11140 6386 253832 51090 3384 23345 5797 10114 1611 83857 23657 3429 84913 23235 81794 153090 10611 2762 7798 9252 23461 9168 57488 25992 5520 54922 59345 133522 102724699 5151 4862 8140 54567 93986 23199 7525 2013 440952 81552 1901 6461 152137 8218 197259 27185 6672 8874 3672 93663 375611 84991 80704 653464 59277 400451 84937 1130 80723 7075 26511 140803 57688 25825 5796 4092 81619 64750 57018 5066 10497 8323 4638 5638 5780 5321 2690 80833 23233 23024 23648 80017 6774 84632 445815 80177 55092 9863 3096 401312 54538 27347 23287 5682 3295 9258 105369147 3554 57620 32 22848 344595 4258 23303 5728 25943 23090 83988 55770 2355 9806 3958 5334 94 5795 781 168537 25771 7048 1397 51701 126374 220108 84441 2771 80864 2683 4690 79812 4052 3107 541471 341676 8291 51232 6654 10015 5087 375449 8440 8793 9462 6733 285203 7035 126626 9855 10396 23232 51454 10501 51564 865 23543 1282 55084 9510 55313 1793 818 7133 8692 3597 4299 728215 101929095 83892 1456 124540 91526 1655 10964 123096 51267 87 4858 57088 182 2004 7170 7431 3431 837 23239 1284 50807 64761 128553 51371 10144 5464 9990 10873 7461 3949 79823 100379661 23429 10892 50804 152503 286046 57655 26136 9873 51176 3134 3426 3915 163486 9265 9743 6925 768211 57604 29995 143187 9577 4919 55082 56288 140609 3678 134429 283659 114781 3105 57801 79905 11328 3339 23092 50848 57519 80781 51056 5635 85464 23236 79161 6452 10397 285761 375035 9181 8797 80150 55601 2687 64901 28951 65981 4209 22936 11067 23507 2316 23331 140710 286097 9444 285527 10529 8997 28996 817 3716 29994 5332 868 4154 51776 253959 8301 6711 6938 63971 26207 2869 3490 60685 8476 8648 23164 7145 23126 2289 22837 84162 6867 116987 5793 1879 283131 4289 3092 3908 4026
Arteriolar-SMC	6586 9628 83716 57101 2122 57480 5139 2313 2078 5787 79875 5175 25924 55604 22998 783 7450 29119 5243 8503 6546 10231 4301 79993 6581 3983 152189 9844 1780 64123 153579 11155 338596 201501 256435 3655 4916 8395 84952 117248 255488 51162 154661 5362 5420 57514 4855 85358 124359 401474 2321 79658 3635 6196 11309 1607 79602 8821 151258 4091 79789 51196 109 64759 3355 9429 25992 8566 1837 23263 6397 116496 8140 5159 143872 151742 4163 130367 344558 221395 9922 25802 57493 1608 1756 114800 9096 221981 51705 5592 7052 54453 6541 4739 7010 6103 57608 54438 220441 54739 4629 57181 6513 5583 2317 84251 2895 306 2043 79742 159195 51088 93649 28231 9712 10098 4862 2022 6909 949 55959 7037 90632 1368 9060 4131 116159 29091 152330 4430 54843 23670 57477 9882 7122 9915 5136 100874369 111 10085 23114 51703 55243 395 6480 182 4854 93664 29780 1004 3455 167465 54622 596 728577 2887 6303 22856 5445 22979 23037 11156 54873 94240 64327 1356 64094 57139 5128 55930 9267 23294 23348 55799 2009 947 257019 9037 5924 144402 654 115677 7075 80731 348645 5602 79739 4162 54492 64359 8654 10982 10335 26040 558 26508 6345 3075 5144 5939 253782 222553 2066 55691 541471 9457 100132891 4811 6913 1909 8633 27145 7111 9472 351 25937 26030 84159 220965 80781 800 10486 91133 81704 2776 28996 11141 25966 4642 287 3679 11281 80852 1284 8516 1282 4205 25849 8837 161357 219771 57154 8496 3480 114907 65268 10398 845 2059 659 55151 6876 3487 463 57158 5797 54751 57488 284 11030 5468 5154 344148 8874 65065 401014 116154 6711 57194 10395 3092 114781 23345 4026 6660 2034 1879 5796
Artirial-FB	23768 80114 23460 10351 2192 5156 101928583 30820 5212 730 5010 101927289 27286 2327 64131 1293 1306 26033 26011 54716 1303 79827 349136 3290 2258 55784 3973 25891 348980 3776 5318 10350 10349 105369438 57214 2162 6444 1545 2719 33 2152 10154 4920 259232 2893 2274 1902 8854 1646 3912 165186 347 54757
Astrocyte-activated	6506 84059 23705 286183 127138867 4684 339789 4897 221938 5803 5992 50649 10485 10690 6563 8601 645323 23205 85439 2670 105378763 101926964 440503 1463 220296 116135 100874222 23305 148198 79776 10840
Astrocyte-quiescent	339789 127138867 5803 10485 10690 8601 105378763 100506421 645323 23205 2555 148 2670 221074 100507533 220296 55540 64850 84152 221687 116135 148198 5992 57467 6563 816 100874047 101926964 23305 10840 440503 1463 6538 221938
Capillary	667 100874369 79658 151258 79789 8140 5592 5159 84251 51196 6529 3355 4916 23500 143872 1756 6566 26040 440345 92521 8821 100132247 1607 55799 220441 153579 613037 6641 5139 6573 8622 5602 5745 84952 781 783 6541 395 596 50859 3635 92293 1004 2262 6507 10231 55532 477 388815 10052 1368 9863 10217 9934 338596 7804 11309 9839 4854 7037 65983 7450 84879 23263 57630 5334 343450 253782 51162 2913 7075 8566 57685 57101 140876 1119 9037 2059 5332 5787 2078 50509 306 949 79993 9806 83857 2918 8633 3655 124359 1730 9079 54039 401474 8490 55243 2313 800 8654 79742 64759 79875 57181 744 25924 81035 53405 5420 2895 6480 6539 55691 152330 152189 57125 1780 5362 117248 3708 5175 7035 64094 9628 55824 256435 2122 5243 57608 4651 9429 64798 558 682 340485 6505 4811 4301 10090 6909 7222 64123 540 3908 4091 10085 1634 100132891 23670 399959 5125 8825 4131 23677 8503 6764 4855 10079 83872 10276 4026 85358 7223 57194 167465 4430 1285 124909494 8884 23114 441094 91133 27115 9096 22998 27443 79611 657 105 9712 23284 1286 2009 7545 9828 10580 130367 151742 79602 6103 64409 5467 5445 80731 6586 154661 57670 51703 84441 1608 4781 29119 57139 11178 9201 28231 1282 64781 5218 55679 3566 3983 283383 57480 79739 84159 55022 255488 7111 220965 5764 8395 6397 25759 5783 6513 9886 2321 257019 23294 1837 2887 357 115677 2022 22925 3455 10098 5293 5137 100526832 348645 10319 25992 64344 26052 947 29780 7122 604 93109 159195 10628 6581 1284 9882 111 54852 26018 57493 83716 51088 1363 54453 1176 7586 6540 9457 57514 29091 11214 114908 23136 11030 114800 2983 55604 28 143686 83643 11213 6913 1909 23368 182 29940 3679 80005 375449 285671 400456 64327 7026 57460 80704 4139 8842 22979 2690 55742 117583 10564 23396 64115 2982 3131 2043 56950 4919 2650 4045 553103 57732 577 154043 4642 10054 22856 6575 8844 3480 116496 8829 90632 440353 54538 8997 286046 10579 55803 7052 9414 171024 252983 57091 115 10060 25897 54739 9267 3709 10129 57556 80303 8515 64359 10402 4093 1906 5829 57477 463 102724699 4862 5939 8809 374378 6579 109 57488 116159 6584 8459 10982 9639 9510 246175 79839 4739 65065 25825 4047 728888 23024 10044 9844 2869 54922 22861 10723 2317 133522 1600 10365 5871 8436 54477 728577 27185 3092 28984 23348 3673 81619 23117 23078 286097 5583 91010 283659 7325 149563 90 5155 57716 7010 4163 3267 80323 11259 4133 9063 285 4858 8470 9265 54329 341676 23380 1785 6660 3382 3680 51701 5728 57221 55112 166336 55959 80014 151126 3133 5784 10395 57458 55313 23461 80853 2013 6904 54873 64374 643749 56261 2114 160622 868 100506392 9351 2771 27145 541471 1003 5924 122786 64116 100506658 114781 9710 57496 134265 219771 79668 4258 8440 56034 152273 400550 4306 4205 85464 9922 9709 157 153090 23613 4052 1362 64411 83878 2042 152137 5151 8496 80144 140290 6482 221395 25780 6809 25959 10848 23254 6793 3551 152503 55808 818 10991 55785 23250 1540 55114 9337 11069 57801 144100 4249 10184 9590 22902 10497 25813 64743 84162 3241 101929095 8874 135228 843 9258 1317 83543 7779 100505495 85461 598 100506736 4245 753 647135 83938 8412 8935 94240 123096 6709 6272 1879 8556 25937 23232 2776 659 6595 5066 116835 9686 51599 81575 92745 57494 23683 56288 143458 4659 54567 9213 5796 978 23345 8837 1499 23171 102 2034 3643 340706 25771 10458 29028 353322 113278 8322 8826 5797 5533 27246 1997 5747 7405 6095 23143 51176 1956 1500 9693 7204 2889 4289 4820 6935 23347 1793 6711 323 50807 8301 26137 27303 7402 6867
Ex-Neuron-DLC1-HS3ST4	157627 2902 90249 50632 84620 139411 51412 5798 4884 10687 105374338 359822 3354 222865 26507 117 4741 10886 3785 53335 9951 284656 59284 256536 758 140883 2554 154790 1993 57156 3760 816 815 59283 29106 2899 400765 26038
Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2	147381 3354 1007 118427 57497 3760 2902 26050 105373390 400765 359822 6098 51412 441459 548596 9355 64405 29944 9348 157627 9840 2911 9899 815 285533 3747 26038 84530 81832 285780 57795 81849 60680 59283 3785 816 5582 23732 342850 23017 2891 56934 2890 2554 554226 3775 4753 2596 56341 51085 10368 6456 26002
Ex-Neuron-L3-5-RORB-PLCH1	101929563 441459 359822 8001 79740 53822 5798 2902 114783 10777 6999 26038 51725 1008 54566 256536 653247 2554 163589 1015 101926971
Ex-Neuron-L4-5-RORB-IL1RAPL2	26038 10777 84530 6456 81849 815 84620 59283 3760 3747 2902 118427 3775 50614 53335 256536 2566 400765 3785 134829 57338 3354 401134 285533 84539 79740 9671 55800 359822 23017 157627 51046 100505797 6999 140767 2558 642968 57586 7139 25830 284424 50632 55117 5874 60680 492 23732 816 79605 57497 124904288 548596 645323
