Trans-Endo-to-mural	151258 2321 57194 2122 5243 79875 7450 1879 2313 57101 338596 2078 2034 5583 80760 79658 221395 22837 3355 3672 51176 51162 11030 5175 5787 4430 8503 153579 5745 9429 105378858 64359 3075 152189 4684 23224 64123 6573 51196 124909494 79993 5159 54739 11213 8140 26509 220441 4855 115677 3490 54873 2 55679 4685 5420 4091 9882 257019 6840 6672 255488 1602 23705 2869 2824 5521 90102 5332 3566 3635 10052 4739 11309 57572 6641 5592 4854 25937 51705 1004 84952 5139 2022 27143 3655 1284 7048 143872 253559 51776 5101 4811 5939 84978 256949 477 2059 140876 25966 9060 55532 259232 64097 1501 51555 395 56999 160851 8490 8470 2113 288 57480 4137 1282 7402 9265 6480 6541 2687 6695 83938 79940 29780 28316 23242 2335 57514 25769 140685 124359 56899 64067 5937 3909 2891 9934 55243 57608 9180 114792 7122 6909 306 7052 25924 463 7078 23143 5784 55016 343450 2013 152273 374378 182 114088 130367 55075 7145 7010 7168 9712 4163 57493 6539 54625 2918 57698 144402 64344 100874369 56261 22898 117248 93664 10867 654 116159 6505 154661 1607 7037 23670 10413 4627 57125 1286 64094 6457 80014 83857 2040 6513 1285 167465 9053 2355 3133 5074 9628 23321 10497 27115 22871 11214 7035 81035 84632 6515 153090 56288 53353 2114 152404 5354 23671 54861 768211 23180 116154 79742 90 23266 5066 253827 1956 340485 28231 8837 2889 92241 25992 94240 57554 1356 1374 6103 51703 8566 54622 84457 4155 29766 3910 1368 947 5359 6397 3908 8531 5552 1795 57496 1634 7075 11252 9457 28 55959 201134 541471 344148 55314 57381 23245 7222 8515 83439 6764 10129 121601 8821 6935 25825
Oligo	9705 4336 131096 5168 9745 5793 4340 8537 55314 118611 101928583 7018 5354 7368 5010 1902 51148 10529 57475 27303 79152 9586 6935 101927459 2346 6900 54443 83641 4155 5046 6660 7402 10351 57698 6457 25769 6579 23092 20 63895 342035 55619 745 64399 23150 158471 387486 11278 933 1287 5337 283547 79628 5435 1267 51555 5129 55016 23120 4036 84623 23671 84735 288 101101773 56288 221458 8404 85445 26207 219287 344148 2263 80005 26289 84978 6446 101927768 122060 443 100287225 3983 4208 55182 6695 5137 9625 10659 8871 2861 29119 50859 5860 347689 10160 9053 23236 9829 29 56650 4099 23024 121601 27296 84466 5332 54899 23242 5066 10085 2065 374378 114792 11214 57571 286827 80725 6319 23127 3920 201134 154215 57453 28513 8470 11155 93377 57118 333 79789 4217 274 28316 79739 4118 4916 10507 160335 214 57520 94015 23321 2824 54463 4685 64168 11141 4684 57477 5362 79940 115584 4862 5789 9369 9717 23143 57496 11145 23446 260425 64344 100507377 93664 220108 1956 9725 9472 1124 5521 10396 2770 100509894 222537 22837 10580 9462 100874369 5730 83857 6696 79966 5592 83700 5142 57471 166336 9882 8997 5937 23216 10314 10186 51090 79899 3673 11069 3988 375449 23500 285668 51704 144402 55790 105378858 101929423 4133 27115 84938 259232 22871 55356 64067 7444 9738 7168 152404 56062 23224 56899 57514 100128675 3490 83938 5101 659 8522 2034 9926 117584 4163 2913 463 5027 23365 55068 58480 23705 896 862 23414 55799 64359 100507336 116154 130132 825 79953 343450 60484 6414 221981 7204 27345 783 1879 7869 9208 23097 481 8633 6480 10966 4642 57636 477 55858 84899 6709 23266 4124 253559 4815 85449 84504
Endothelial	2122 57194 2321 5243 7450 2078 2313 57101 79875 5175 338596 51162 5787 153579 64123 8503 287 5583 2034 577 152189 388815 9429 4045 5420 50863 8633 5101 4855 5521 221395 2894 79993 255488 4684 11213 64067 22837 84251 7122 4685 253559 9472 8140 3566 4091 54873 5602 3672 11309 399959 7052 64359 55679 1795 23321 11141 56899 54739 3655 51176 5789 9882 2824 1501 23705 10085 79739 124359 115677 55068 116154 306 1756 28231 3635 4739 84952 79966 161725 23224 2775 84978 6513 3075 2066 2022 2913 105378858 28316 117248 8499 259232 51705 6103 288 5142 130367 4137 57480 6541 4644 29119 51555 7010 9053 3133 6695 2 23500 53353 5939 1837 80005 51703 25937 29780 1356 6507 57514 25769 344148 6480 79789 116159 154661 55619 55016 23245 6672 220965 57608 25924 23242 22871 57698 9832 667 9180 57453 114792 144402 57493 2114 6091 6505 9712 9839 167465 89795 2891 5137 23670 8470 1879 64097 596 23043 9863 947 3909 93664 6529 7037 114088 152273 642776 79742 23284 4915 374378 22856 85358 7048 23254 23114 10982 347689 7075 5784 9709 4155 26289 54625 55959 2013 5783 64344 114800 7402 6457 214 154215 57554 84898 152404 83938 5359 9060 6397 340485 781 5362 5552 23179 2040 26509 8566 84457 55607 57689 2895 9369 10231 1995 83700 4163 23143 90632 5730 158471 80704 23671 79745 285195 6840 94240 57496 4916 54852 80014 8837 9781 1780 56999 25825 9901 4756 121601 55356 105 5354 728577 348645 160622 540 84623 4131 6446 2355 126669 9378 55917 122060 120 1287 79940 196883 2263 57572 8459 54622 90 4734 55799 654 26047 118611 23263 2317 257194 4212 55930 657 286411
Pericyte	6573 151258 5745 6539 3355 79658 22998 5159 2918 55532 10052 80760 4430 8490 1879 57125 9934 51196 4811 140876 6641 477 81035 220441 4854 257019 124909494 143872 4684 5521 401474 9844 4301 27115 11030 4685 10098 1285 253559 2824 283383 10396 7222 22837 114793 23705 8622 64094 1286 1368 1501 5592 9732 6695 1004 84978 1795 56899 1634 57221 2262 6540 5101 259232 50859 26052 288 154215 2059 2869 9472 395 114792 11178 50509 1607 753 51555 160335 23242 159195 55016 9053 25769 4137 3908 5332 105378858 343450 9369 23243 23224 5293 158471 57105 10723 10319 57698 4781 7223 2891 55243 344148 54039 53353 28316 4857 7035 64067 9829 5139 116154 114088 347689 7402 57556 2530 214 10090 463 6909 100874369 25966 6529 5795 5789 3490 100132891 6446 57520 9915 9265 4155 26051 4915 56288 22871 57580 3977 57554 7273 6457 256435 1602 57689 23671 152404 23287 23150 3480 51571 122060 27143 8821 23446 1496 116984 90102 3983 57685 1000 6764 4784 1119 1124 10718 10079 23245 9037 5354 5567 23321 8502 55314 57688 7026 80731 84623 29091 9378 9901 57477 558 8871 121601 10060 84457 9026 4756 10580 56977 23762 80790 57381 55144 2687 26047 287 118611 26037 800 23189 8515 22925 55022 2263 8825 79602 152330 27185 89853 286411 9267 6507 23500 9586 23097 57609 744 6913 2066 221061 5142 7145 10690 9828 1804 7074 57553 257194 57139 9745 23127 84466 55824 4212 2272 55790 54997 57475 9625 386617 55182 221178 79611 26289 55607 3672 57628 254827 89795 79789 161725 7018 27147 9705 645323 1838 85445 80333 57584 5728 56895 57578 55740 114876 9759 79776 79966 131096 101927768 253832 3696 127138867 9096
Astro	100874222 339789 5992 84059 6563 658 286183 6263 85439 8601 10418 5803 25891 6506 10335 202151 84239 361 108 7164 25834 64850 80036 63976 8671 26084 79781 83733 56776 10840 105378763 2560 51321 80896 26027 2139 50649 23205 57619 100507524 169792 10485 2737 3782 4897 127138867 166647 89932 105375405 285441 6096 9413 2823 374977 53919 9211 101926964 65975 57224 9630 5596 4257 100874047 112885 23286 55553 23418 55604 56171 222256 79611 2202 8708 57451 116931 83478 100499467 148198 2138 219736 94097 2261 1272 120114 10718 101927314 3778 91768 2555 9378 10690 84532 2262 1608 4212 54762 216 645323 1191 2670 84133 55885 8613 79632 1496 2697 477 818 60495 23576 1002 10768 23043 4915 1612 348094 162282 221074 196047 116135 124906016 55790 55366 221938 81563 64344 339541 5270 491 23305 51760 1946 89795 23022 57685 84249 23657 79776 26018 28316 22836 50509 1363 1837 729085 285220 339479 2247 5592 8496 444 4038 2565 9760 440503 3707 3691 79971 57348 3983 6565 10451 220963 460 57628 27152 85440 148 4217 170691 166614 23768 222553 101928989 4853 53353 5990 6507 56963 7042 10461 2752 11170 728215 100506885 285505 100506421 6640 6385 5125 84871 399715 4983 6444 2905 27115 57537 101927111 2152 26207 2066 220296 56994 65983 9844 1501 32 783 55268 482 112399 114 79627 114880 2746 767 165215 114885 323 2263 56288 100505933 9856 9901 23382 285590 4916 57088 23705 8424 23175 10413 2104 10752 9771 105377623 117583 10160 25925 2550 3709 5730 284217 441094 284434 501 221687 6662 114088 9658 642987 344148 5099 1471 27333 7099 84466 54898 5924 10810 114795 57476 23002 445815 144100 5080 23189 8412 28232 129080 604 93145 1463 642776 2887
SMC	6586 5139 151258 22998 79658 9628 4629 1879 9844 83716 11030 9732 10098 4684 4685 50863 8395 220441 51196 3355 26052 2824 10396 5159 114793 182 23705 253559 5592 116984 4301 6581 9096 577 5101 401474 6695 201501 6196 57221 25802 89796 84978 1284 160335 4430 159195 4857 6909 57460 154215 1282 288 4854 93649 64067 53353 259232 2272 395 51555 114792 5521 23242 50859 2530 4137 116496 55182 5142 1501 9369 63027 55016 90102 23446 9457 347689 56899 28316 2059 55243 22837 22871 1119 5730 25769 463 100874369 23245 1808 84898 2891 9053 114088 55704 4162 1004 57556 399959 783 9915 26051 57453 23321 80781 7402 23224 57698 23150 79966 57520 2534 23243 9829 89853 89795 122060 23671 1000 4155 23362 57689 6457 120 143872 29091 55144 57554 57477 57580 3490 254827 152404 256435 23097 4124 57609 135112 221061 23613 1607 344558 79602 9267 1496 57584 27145 351 4756 56977 5354 10718 55604 4916 26508 55819 9832 1124 9510 26115 84623 121601 9378 57475 2776 55314 5789 10052 11156 1838 2316 6446 9026 9901 23678 54899 2775 26047 4052 5144 56895 5567 5795 84457 23348 3983 51776 2263 89797 59 118611 8821 558 286411 55068 23216 158471 56172 5332 8502 109 6641 4784 5128 800 6840 54453 23287 9745 10231 10690 11183 87 161725 253832 84466 2823 257194 100505894 1909 23127 8470 1804 7074 23095 10079 25966 79776 214 7018 129642 57628 9586 445815 7586 9444 80333 8516 55790 386617 645323 253827 9625 8871 57578 645455 9705 285195 8850 23043 256987 1272 10398 5435 221178 127138867 5530 3920 3164 85445 51571 801 3696 55914 25924 344148 5137 636 101927768 26040 6546 5168 131096 10129
OPC	375612 84465 30010 65217 1462 338645 56934 5156 64093 10242 7143 2897 23544 4661 5803 1630 3751 4325 1826 54212 100499467 57419 339479 129684 1301 22986 6323 202374 121256 26033 64131 30820 2917 161357 2915 266722 114788 114786 2259 55083 238 29951 103695433 55553 57502 10752 10777 2257 196051 10178 55612 170691 1297 80059 2898 4978 222553 4897 22854 5067 729993 57633 23072 9037 146395 286183 773 5099 101927293 27092 83539 11122 23026 84966 81615 11031 9515 105378516 114784 84239 55022 6506 50515 1608 114815 6546 55351 114805 54886 8516 53358 6328 9229 127138867 56243 10485 1008 1012 6000 10656 155185 1804 64478 55384 3778 221938 137868 1272 100506457 2893 81563 90362 80333 744 2823 114795 1600 8715 10188 9699 9378 460 3556 10090 63827 2892 117177 5791 55959 57484 6444 10082 105 285175 58499 92293 5799 57628 27091 130271 9162 202333 9423 776 9760 57689 114134 144453 8537 2899 57554 257194 2260 27185 204962 2895 10718 101927314 23120 2891 66000 347731 120892 40 338811 100507421 22871 655 57482 5396 407738 92737 728215 80034 26059 200150 1496 83716 5593 4745 50649 55790 7068 9892 11281 22999 163404 2571 4035 23414 114088 64759 6616 6335 6326 8618 116448 23040 60312 22997 89795 152137 4983 285382 4915 2115 23418 256435 23302 10203 4916 10675 115804232 2900 5218 113263 23101 4082 55016 2674 147495 57528 6489 23768 57110 57453 4038 85300 129080 79683 162494 143872 53353 23034 54762 51760 7102 58504 55061 2904 6446 4133 2104 64344 2119 5654 28316 93145 5270 729732 9672 23043 114 55103 11057 4214 7837 55636 22873 127898555 84457 131096 219654 23245 344148 2066 1620 283131 8622 10267 2977 2560 54715 118611 57578
Neuron_ex	146713 138046 1131 4753 815 9899 400765 9478 6456 9568 56479 118427 774 9758 57282 84530 222183 23040 1016 9228 40 26038 2561 348980 23072 23105 2915 2904 283455 6854 145581 5126 101927189 2562 343990 101927554 2890 7447 158038 10777 9515 6616 5063 54212 2903 1826 3760 440823 26220 202559 56853 26033 81849 8618 51761 6857 148641 729993 9201 129684 27445 2902 147381 22866 22941 23314 121256 2259 83851 81832 5799 161357 777 266722 554226 23057 91584 23504 120114 3751 8745 114786 1759 6326 273 4325 2257 9699 84871 6334 7143 285175 2567 10368 5801 55384 9645 337876 285780 114788 3763 57731 3354 22999 491 9892 79698 776 144165 9312 57497 9348 2566 1010 114815 25758 60680 23544 1946 6585 773 57528 64409 57512 3747 6323 80059 26059 114795 3756 4978 6262 11113 8224 90134 119 2892 6546 57144 6092 9066 105373390 359822 23768 2898 785 23108 3786 107 4897 284930 137970 3752 6000 57451 400954 84708 407738 10409 3745 653316 5067 2917 23732 26011 64084 816 814 9162 5579 10656 55061 6328 2977 9229 151126 5522 65268 1008 10752 442117 79772 2560 100507421 136227 101927636 8936 129049 342184 2911 1620 23025 56776 84448 338811 54715 7068 5099 64478 1612 84502 114134 157627 3778 2185 460 1793 56934 22843 11122 401145 53942 63982 3084 168667 9912 1006 114880 80333 286411 108 29906 53358 2596 152110 4745 134829 66000 79815 10369 54566 55638 642987 25791 5800 4628 1272 80003 80210 257194 80034 53335 220164 57628 440279 5577 490 55885 114818 3708 255928 9378 8708 57495 2893 127138867 3785 23101 145773 2823 9456 116931 57795 5575 59283 152330 79605 1007 57578 79703 92558 125488 284252 2044 84966
Microglia	54518 6916 81704 2533 55843 100506403 1794 5788 10863 79895 83478 54502 313 6850 1436 79651 718 8635 10320 105378305 3635 7097 4067 54947 23533 9450 4542 11309 105378425 64805 29760 79890 6546 50515 57705 9951 100874074 1438 107985194 9938 8476 240 6556 323 6480 83938 79705 6711 10257 221472 6653 3071 8935 342184 1441 118788 647135 26034 64744 84966 58504 1508 3059 25854 79974 23348 401134 55589 6518 54796 4773 27143 10161 3055 3786 942 3606 10184 55534 344558 1536 64231 7046 963 139818 27185 6261 84898 5791 6672 5796 374655 4094 2534 972 6503 4261 10395 11031 93986 64092 22797 7082 7226 80008 7409 5452 5793 80216 3687 1730 8496 10529 10186 54504 23328 2313 23380 11320 23037 23543 7903 6095 8777 284757 56659 57713 23191 6001 22998 3778 3784 27303 3428 10787 860 92241 800 28232 84251 4481 27347 22898 1793 4781 80896 29 677 64759 79365 3709 375449 8997 953 116987 5087 5336 5140 285195 255426 653464 10580 4126 7003 4033 51571 91404 6507 152503 1075 374378 23194 8440 5924 678 23345 80183 7096 4300 4208 57522 9734 8470 5332 9915 4646 113 11214 8569 85477 23114 351 100874369 55320 55790 1524 3684 285513 84106 9497 59271 862 10461 159195 7805 55824 781 7048 56288 3597 8404 84433 2885 10129 6660 166336 55619 9922 139716 3730 6558 9771 8832 57533 5795 4857 1756 8502 2887 2120 112616 100379661 80243 10079 23024 340554 6529 54491 105377683 3092 80003 162 713 1240 55084 6303 10659 23284 3977 395 5321 58475 26031 55803 619279 7462 25924 11069 22837 6239 55691 64581 23236 7145 3983 10859 64784 101929497 79953 445815 23765 2894 3480 23228 23224
Neuron_in	23040 23426 2890 2904 774 9758 3747 114786 9568 56853 2567 348980 2561 6854 51761 6638 84530 57282 2259 9515 3760 8618 54212 27445 5063 5799 6857 79750 2257 161357 9699 146713 222183 2898 23057 6092 53942 115827 283455 9228 776 57482 129684 773 55384 2897 4978 22999 26033 83851 2571 23504 6000 3751 84871 114788 9229 6616 9201 2562 26038 2915 6323 204962 554226 6326 114795 100507421 101928840 57451 64409 22941 401145 9892 90134 26059 3786 57731 55714 145581 56479 202559 285175 286 1600 2902 57528 152330 157627 121551 2572 137970 10369 54715 132204 375567 57512 2903 57419 4897 2560 222553 442117 285220 6334 785 491 7068 64478 91584 10178 60680 286411 460 10718 57144 1759 440823 56884 1272 3778 3763 116328 22843 9378 114134 255928 56776 57624 140733 6262 1793 1993 108 79698 55061 26047 66000 1016 40 114880 23732 1131 25758 5126 729993 2289 257194 220164 8224 84959 80034 127138867 442213 3756 26011 5800 30010 9912 340533 80003 3752 10242 6547 9162 30820 2823 8708 1612 728215 57578 342184 137868 4810 158038 5796 1826 23072 85300 57554 80059 816 4915 2566 341880 157807 400954 9734 59269 338811 91752 29906 51059 148641 2893 273 1007 25834 152110 63876 2891 119 1804 56243 23101 23359 53616 116443 2554 7143 81563 2917 22895 1496 65055 121601 65268 134829 337876 114784 92558 288 266722 84502 8715 57502 6328 1641 135138 7074 9745 89795 956 253782 7991 3745 121256 9312 4133 11113 83988 221935 375323 9369 2774 55530 1012 642776 7447 344558 2044 22871 9890 5178 26031 2258 92737 8745 1780 401190 645323 26040 5801 55711 2334 2045 23768 23254 10368 57689 3746 5218 114 777 285533
