Astrocyte-activated	5992 169792 6263 84059 100874222 339789 6563 658 64344 2670 9413 56288 477 10335 85439 5592 286183 10418 2262 361 57224 202151 26207 8601 151790 9844 57520 25891 10085 55016 79611 7164 288 63976 6457 2737 8671 25769 80036 26027 51321 23671 3983 83733 79781 5803 26084 26289 50859 6506 117583 2139 9771 57685 3782 25834 80896 108 166647 121601 105378763 64850 65975 10413 50649 23657 445815 9745 55619 79739 374977 79026 55553 26051 10529 3691 84623 8537 55604 10840 216 23150 84239 131096 5137 6660 57088 84133 4642 1462 23286 56776 105375405 5334 2202 9586 323 101926964 100507524 83992 89932 85445 11170 55790 347731 162282 4217 222256 8871 57477 220963 122060 8404 4257 57453 2138 23205 2823 10160 101928989 7368 4155 80725 818 114 8633 9211 53919 9630 5168 7402 56895 2560 11141 5596 3490 120114 57221 1608 55268 79152 10580 152503 64168 22871 166614 79971 29 4336 339541 94121 25992 8522 8556 51555 51196 83700 115123 5337 9185 27303 960 27115 6900 219736 56963 2770 112885 23348 57460 9829 85440 677 4340 8502 116931 26018 399715 57475 2261 729085 10768 9625 3707 342035 284217 5046 10984 27345 9705 9369 158471 83439 3371 65983 387486 9717 1124 57619 5010 4897 79953 6091 401474 10396 1272 3709 1902 1021 1363 2247 10485 83641 2697 5435 79627 254295 1612 94097 57554 57698 196047 80243 5276 274 23092 283547 8412 127138867 54899 32 10718 54886 285441 6558 118611 51148 51129 8708 84441 5136 5396 5129 123041 481 5860 10351 50509 6934 2346 1191 114805 101927459 23576 222223 51090 84532 57451 54443 57514 1496 63895 64399 6579 1002 4916 6096 56650 1809 23287 83999 30011 10231 100874047 9926 143872 114784 79940 56062 10461 23418 604 23382 158135 91653 9258 55785 1806 4853 84168
Astrocyte-quiescent	100874222 202151 10335 658 7164 2737 8601 63976 6563 339789 57224 5992 85439 64850 10418 83478 53919 25891 9630 477 169792 91768 64344 285441 79611 50509 10461 89932 6263 57619 8671 100874047 10840 26084 148198 23205 23657 286183 2139 84059 10413 2138 9844 83733 361 57685 57453 105378763 60495 65975 56171 100507524 6096 56288 57381 9413 5803 196047 112885 288 101926964 54762 2261 57088 55604 10451 2697 84239 6457 80036 4257 57520 79781 27115 25769 2202 219736 84133 23671 55553 1956 166647 26027 105375405 26289 10085 4163 28232 2262 9211 80896 9771 5596 5592 55619 116135 50859 3782 100499467 79971 2555 57514 221074 117583 25834 374977 51321 445815 79940 10485 11170 124906016 55016 121601 222256 1608 8556 5125 9760 23286 84623 26207 85004 84532 79632 5137 1363 79739 6506 2247 57480 55785 94097 3983 783 6565 8708 9745 26051 55268 84952 23576 56895 2565 55790 818 22871 4217 55885 23150 27303 348094 80243 216 4853 10611 10160 116931 6446 5270 32 440503 108 8412 23022 170691 23024 23305 347731 50649 8502 6934 4651 55366 56994 79953 2905 11141 4642 85445 2560 4155 10768 2152 221938 7042 85440 57698 57451 221687 101927111 6385 339479 51760 482 6660 64759 1806 23418 3490 10529 8404 23114 6383 83992 8613 84249 1946 131096 56776 11278 8522 114805 222553 65983 26018 100506885 171425 80725 8871 64168 285505 3709 57460 4916 8537 143872 6640 2752 4281 23768 285220 162282 7049 120114 1191 6538 11197 54898 463 2736 27333 4897 8829 4983 5168 5990 5362 81563 1471 2746 10231 339541 93145 1124 23090 148 27345 7402 166614 9658 342035 85379 5159 57477 9185 7088 5352 144100 7430 3707 22836 444 10217 9586 23382 27152 5337 401474 220323 23092 1002 351 7099 4336 5140 7368 729085 604 375449
Ex-Neuron-ADARB2-ERBB4	11255 2741 8516 27092 55612 645369 84465 338645 30010 65217 103695433 55959 2571 79750 3488 375612 121551 10882 286 22854 4661 27328 375567 256130 124925 102467147 56934 7010 10203 127833 10242 102724058 7143 22986 402117 6332 1286 10178 6323 81615 9423 91752 9718 54212 129684 204962 53826 115827 23544 1826 2917 5067 3751 90161 101927293 57482 9699 6328 100144602 222008 5332 114786 23057 100048912 51617 55022 7837 9037 341880 57604 4325 57419 23414 2899 10579 79722 2044 2898 64901 25849 105 3760 157627 91584 84530 3354 6014 114788 64093 4978 92369 55515 6326 348980 5793 1016 85300 2890 220 27091 79658 407738 1301 22865 56243 1630 81578 6585 9331 2895 2257 26166 55061 554226 389634 57689 1285 152330 60312 57512 105378311 11069 64409 3556 64131 57699 3667 55103 1804 57468 2259 161357 10369 773 283417 57282 8224 776 50515 238 56853 55531 478 57633 1012 2904 8470 283455 84502 5063 4810 80731 80059 90632 145581 5066 221981 57863 6546 7378 129804 641 401145 440279 285513 11122 64388 84679 222553 23072 22997 1600 401190 6547 27344 1515 2915 3785 64478 7991 53358 2906 6854 222183 5099 10409 23426 57528 9568 100505996 4133 22871 56341 26047 3745 90362 339479 90293 1641 2786 285175 5937 27133 117247 7222 157807 11278 30820 5218 10194 140767 147463 10129 22885 144423 114134 728215 116328 2977 23732 168507 23040 2902 2897 163404 83851 285671 9672 123041 55728 2566 338811 8618 114818 152110 84969 5126 6256 114805 273 51761 3746 146754 9892 22999 54331 27303 10003 139065 26033 146395 4675 84966 114784 5799 23359 146713 51196 1996 1956 64061 730091 23254 83938 55083 4842 57502 23504 55384 107 257194 23089 4753 285533 53942 10188 164045 6869 114 5521 155185 8715 254559 57569 22873 120892
Ex-Neuron-CBLN2-NRGN	282996 105369860 283867 124901604 8647 2078 8912 160728 7294 53904 105369302 2888 80309 255631 400359 5172 9956 64377 27019 154790 64919 199920 255119 1428 400224 326624 57687 57194 1004 64388 389421 55959 84830 101928376 2918 109729133 63982 256536 101927531 147372 93109 245973 105369438 25859 10125 1807 84870 6586 147381 9615 2250 64405 54777 106614088 11075 1290 55079 9840 3084 146760 105376121 9478 100132891 285154 57495 219578 146177 79805 84969 23026 6752 8503 7006 128434 51454 341350 2899 130367 79875 6330 101928114 105375387 285735 758 342667 102724623 4741 5646 359822 2556 3780 23359 644150 80144 90134 112937 3781 10368 402381 4900 151126 343990 6775 348980 59283 2674 283078 1996 1268 284656 3360 407738 127833 5582 548596 57624 6014 107986980 5121 7399 114569 114818 442213 653316 5801 9456 29906 148 40 136227 148641 123872 101928765 2914 101926971 6092 389197 8829 9568 2051 57569 440823 54847 55061 10082 118427 81849 79705 140767 148753 9201 9348 478 91683 7223 400765 119 112268208 9228 105377180 9312 115827 2558 152110 2596 9645 5141 9746 57604 25791 815 9079 4293 127602 55244 5799 284 157574 285513 10815 116443 5800 3763 22854 79589 10417 84530 7447 105374338 5063 651746 55530 6585 83593 50944 5627 145447 91461 2890 168667 144165 9066 83394 51059 23314 220441 4008 26038 554226 23108 65055 9389 157627 3745 4753 57282 222183 2898 9899 9515 440073 2562 152330 283310 50614 337876 283455 84871 145773 83857 9148 3708 2903 4948 10446 284424 222865 55512 129684 64409 2892 84182 84966 51678 1641 27255 10814 342184 114884 51305 160851 55384 200373 101927189 22941 5067 51334 80210 401145 2044 84940 285220 83482
Ex-Neuron-DLC1-HS3ST4	9951 27328 9723 2899 118427 400765 93986 92949 64084 171024 101927189 2567 146713 2044 343990 10371 6456 9899 5801 9478 80144 56853 6586 151126 56243 29951 84530 10178 5126 22986 53335 2561 4753 107 9568 222183 114884 8470 3084 23108 40 26038 79772 777 1131 3763 9615 1016 815 9758 57144 23072 2890 9228 57604 25791 9871 9066 168667 283455 338645 5063 774 9201 348980 6585 25758 23040 2904 57512 138046 57282 23057 220164 114786 54769 2977 129684 144165 3760 4325 3745 7447 6854 6326 1602 9912 23426 5332 6263 729993 148979 337876 79815 10409 440823 93664 3708 26220 81832 100132891 51422 22895 119 2915 10368 23314 2902 22843 84966 22941 55530 3355 2562 54549 11069 10486 60680 64409 114818 101927554 554226 2690 9722 651746 273 2045 28316 9079 401190 5799 9699 6546 54798 64919 83851 116328 3354 1826 202559 6328 51761 9645 23213 23105 6334 54847 2257 79698 3899 154661 129049 124904288 57497 27445 6616 145581 10777 11122 8618 105373390 105369438 6092 1759 148641 79750 57616 7991 27133 773 65268 1946 342184 4884 1607 79703 22866 23544 23504 344558 56479 2892 5577 387597 54212 158038 776 653316 4008 59350 8745 9515 101929544 161357 55061 10458 130733 57731 401145 59283 10369 257019 23732 340533 2566 9890 816 285175 26507 2903 23414 29906 3382 55752 56704 10446 6857 22999 79937 1004 57338 785 23327 9980 83643 23194 26033 644150 26034 23670 26040 101928840 1996 4628 9312 2554 25924 132204 10125 1608 541471 491 87 57732 5575 23230 5592 5125 79668 222553 54511 54566 80005 23228 55799 283131 23217 6262 56917 51059 57496 101928114 7143 1793 3752 758 166336 55800 1612 814 5141 10656 344148 6543 1123 221935 5579 4133 6812 9265 157627 2259 84448 65055
Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2	23316 147381 343990 1007 9840 9348 101927189 285780 101927554 56934 1010 81849 146713 6586 400765 5126 1131 23266 2911 23105 9628 284930 815 64409 6456 9568 9899 9478 118427 7447 442117 5800 4753 158038 8224 26220 114815 222183 3354 26038 10368 84530 1016 2561 9079 40 2043 136227 9228 1607 121256 145581 407738 5063 283455 25758 2890 777 2904 348980 91584 79815 79772 653316 23504 23314 57282 774 5801 9758 8470 6854 56479 9201 359822 144165 23040 3708 266722 23072 3763 138046 84708 10242 124902439 3760 554226 2977 273 6326 3745 107 129684 2562 81832 2902 151126 23544 148641 63982 105373390 337876 11113 729993 79698 57497 64405 8507 2915 56243 22941 83851 3781 57528 2566 285220 23057 2903 6323 87 4325 3751 114134 84448 114818 22866 60680 220164 3747 3912 5067 2185 202559 9699 84539 9645 25791 4121 644150 5799 23025 146760 51761 91752 1826 1759 9066 5577 6546 154661 2257 152110 1012 54212 152330 3899 6616 4745 7143 26033 55638 51454 338811 55061 11069 814 57495 344148 6334 56853 6328 10777 3382 773 9515 8825 440823 2892 400456 8745 9353 114786 401145 9912 8618 776 54847 120114 3756 9456 10409 6585 5066 84502 23732 1793 80210 119 23180 3680 374378 90134 9312 161357 1730 101927636 83643 27445 8936 2917 285175 440279 6857 65268 129049 54566 22843 651746 93664 2774 3752 57496 29906 6812 1612 53358 6092 80005 400954 57512 102723370 23194 23768 5362 6645 23327 145773 8001 137970 57731 134829 283131 816 84966 57134 57144 4208 339263 83698 90632 66000 401190 4628 54438 25859 2596 51422 2557 114788 124359 8514 9892 56704 22986 23230 491 55799 57118 5579 10486 25992 57795 146664 157627 55809 6262 9615 1946
Ex-Neuron-L3-5-RORB-PLCH1	105369302 23316 131034 29953 3084 256536 22854 6014 1290 107986980 118427 9312 56934 440279 27133 90134 79698 100132891 81849 147381 9478 151126 64084 348980 11122 1131 114818 64409 63982 2567 9628 132204 101927554 343990 53942 6456 102546299 57624 137970 23266 9568 442117 219578 11281 51334 158038 146713 22895 79740 815 204962 4753 26038 2561 136227 114800 84530 79705 407738 9348 23007 3763 222183 3747 23072 9899 1016 6096 2043 152330 5063 145581 9079 9228 101929544 6854 105373390 196475 93664 121256 342184 23359 774 9201 9758 56479 23040 40 400765 138046 25758 22837 23057 266722 5067 57512 90632 6326 101927891 2904 23314 57282 440823 8470 25849 3355 127602 80144 2977 3760 283455 57144 56853 101927587 129684 2562 1630 2596 146664 101928114 729993 114134 91584 22941 5126 2902 359822 337876 151258 87 7224 2915 83988 23108 101927189 654502 114884 154661 55061 144165 6323 3745 2903 2566 1006 101927636 83851 3382 63876 114786 84708 7143 114815 442213 22866 23504 1012 54212 200373 5915 202559 107 9066 9353 9699 57528 119 57495 1826 9645 6328 5799 168667 3751 84448 51761 1946 7447 1996 6585 23024 56341 2257 338811 285780 10409 773 343450 79703 11113 27445 10242 101927531 55638 120114 148641 145773 10777 26220 23105 10349 26033 4325 80210 644150 64405 3756 83643 25924 60680 273 92558 6616 9515 8618 10368 2917 6334 339479 5874 65268 11069 401145 9912 1008 554226 161357 171024 1607 152110 8224 115827 1612 23194 414764 1759 56950 253782 3908 3899 9456 22999 1768 25834 777 8745 785 143098 26031 23025 102723370 57496 1793 4208 6857 2892 4628 285220 9856 5800 2554 3708 10082 11075 57670 134829 79668 23768 103695433 491 124904288 5575 101929238 57731 81832 6092 6812 25827 4900
Ex-Neuron-L4-5-RORB-IL1RAPL2	26280 3355 93986 131034 23105 59350 9312 118427 3084 151126 64084 79698 146713 2567 6456 11122 81849 3747 9956 9478 63982 9899 114800 101927189 64409 84530 400765 53942 348980 56853 2561 79705 102546299 1131 11281 9568 4753 23266 137970 343990 23359 2043 6585 7447 6854 26038 29953 114818 23072 204962 128553 442213 57495 222183 6096 114815 9079 337876 9228 2566 9758 145581 440279 9645 144165 23314 2890 102724623 57512 57282 56479 342184 25758 9201 23040 815 9066 138046 23057 1016 774 1996 119 1768 6326 3760 4325 5063 283455 124904288 10409 100132891 2904 23108 3745 57624 53335 57144 359822 5126 90632 5874 2562 154661 152330 101929544 40 6328 26220 729993 83988 101927554 83643 26034 168667 273 2915 148641 125488 2902 83851 8825 2903 23504 11069 81832 284930 3708 440823 93664 91584 105373390 136227 22866 22941 5205 5801 129684 202559 54212 56884 3382 129049 9699 114134 285780 63876 114786 2596 79772 3763 60680 1826 158038 90134 2257 7143 23024 51761 9951 6546 1946 9912 6616 5915 23426 27445 1759 6334 9856 5799 1993 3899 338811 57497 773 10777 5067 84448 27133 51334 8224 10486 3354 25924 26033 120114 1008 1006 92558 9515 65268 401145 101927587 3756 6812 776 401134 6323 1793 51422 79815 161357 285175 8618 651746 785 57670 157627 6999 127602 23732 2554 84502 80005 55638 23194 2917 101928114 554226 79668 79703 344148 3785 4121 10873 8470 200373 9348 57496 11113 171024 84708 57731 23327 22999 4208 57559 6857 65055 777 441094 25849 23333 2743 84620 10369 3752 814 114884 4628 5575 54566 4948 23230 59283 4745 26040 9628 8745 9760 145773 491 2892 6547 140767 6638 146664 10656 3751 80210 2911 22895 6262 10368 4900 253782 57118 7068
Ex-Neuron-L6-THEMIS-NFIA	147381 343990 4745 1010 219578 400765 2911 151126 64084 9478 6456 3084 59350 56934 146713 9899 101927554 23266 5126 6014 1131 29951 57495 6585 91584 815 7447 23314 64409 81832 26038 3354 387357 4753 56853 2567 10368 9568 348980 222183 5800 2890 114818 11281 84530 5801 359822 9645 57497 26220 8224 152330 79772 25758 2561 101927189 729993 84708 343450 119 777 2904 105373390 23072 273 6586 3708 23057 9228 57282 144165 4325 283455 121256 337876 774 23108 9201 9066 6854 56938 285780 9758 56479 2902 3745 6326 145581 138046 8470 5063 2977 114800 7224 23040 220164 83643 23105 84966 146760 2562 60680 11122 131034 118427 148641 1607 2043 284930 10409 55714 9912 1602 1007 40 651746 23025 9079 5577 168667 90134 22941 57144 9508 266722 342184 1016 3760 440823 101927531 653316 93664 137970 22843 9456 57528 137868 400456 3382 25791 2915 134829 83851 1310 107 1759 114134 11113 65268 2596 87 2903 6328 2566 11069 53358 2045 55530 55638 79703 51422 55711 401190 114786 202559 2185 171024 442117 22866 6616 5799 154661 84448 554226 8507 25992 1946 9699 55061 54212 1826 3747 6645 91752 10873 776 51761 3899 105374338 23504 84502 84539 374860 6334 125488 54438 54566 79623 10369 10777 29906 2257 9840 84102 6546 54331 27445 157627 23544 10486 9956 81849 8618 158038 23732 26033 6323 54847 1768 79815 130733 8927 1008 27255 816 7143 285175 145773 129049 23327 8936 92558 5575 59283 63982 8745 9515 6812 152110 65055 23024 3355 9722 4628 26011 401145 124359 253782 8514 57731 260425 3751 145173 79668 55752 161357 64283 101927151 23180 80210 814 25827 23194 57134 344558 23670 9628 862 5362 2044 785 57496 57795 26040 136227 1793 6857 22999 11075 80005 101927286
In-Neuron-ADARB2-GRM7	132204 442117 1131 116328 121551 101928840 79750 57419 554226 64409 91584 23040 152330 402117 84530 343450 91752 204962 2567 90134 5796 158038 2561 3760 9568 23426 5126 2904 9758 9201 5063 774 2890 2571 54212 1826 10242 80005 3909 23544 6638 221981 4810 6092 23057 40 9699 2257 401145 146713 57497 3747 5799 57604 118427 56853 6326 6002 2917 90632 103695433 776 57482 129684 157807 375567 51761 286 57624 83851 22843 57282 114134 11113 130132 5139 118611 9515 348980 221935 6854 23194 23500 200150 2742 161357 4212 22986 266722 2259 9628 2562 4978 83988 11174 55714 25758 2913 114800 1793 344758 773 283455 2549 64901 8618 794 53942 101928469 777 114786 23504 9912 341880 1600 114788 25924 6857 23327 154661 26040 1607 9331 2774 222183 2898 5066 27328 1268 27445 3479 1287 84959 83698 4133 53826 1008 3745 55384 100874369 6507 30820 9750 81578 220164 22999 1956 814 8537 8224 2902 105 147 3751 55061 3899 5332 23328 23120 152110 6328 956 55107 5596 5305 7991 84466 115827 202559 60312 338811 9228 26033 54558 2289 5629 57512 29906 26038 147463 23732 25849 23150 9229 157627 57477 2554 11069 56479 4208 5791 101927531 5915 783 440823 55799 5800 2566 60680 10123 5318 2903 145581 6000 127602 65055 2906 7068 22941 6581 9312 79822 80206 85300 3696 57451 57580 2934 23236 57731 219654 6616 400456 9892 10369 7091 9771 862 23359 27255 4336 388336 22936 56243 2560 56884 1806 9586 55182 55711 23072 124925 2044 256435 6547 4916 286046 114795 4643 4745 51196 65983 340533 1902 148641 260425 3786 54477 84871 5168 7368 6334 55074 375323 222553 54331 2263 114818 130576 10150 4340 51363 387486 285175 1016 79152 85449 3354 400954 22839 85004 4753 1515 285220 201266 163404 64478 26059 160335 137868 8821 9725
