# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET     842     0.048642     0.010233     0.036547     0.091613 Arterial
Arteriolar-SMC                        SET     262     0.089772      0.01071     0.065051     0.083798 Arteriolar-SMC
Artirial-FB                           SET      47     -0.10631   -0.0054039      0.15247      0.75718 Artirial-FB
Astrocyte-activated                   SET      25      0.10202    0.0037845      0.19656      0.30187 Astrocyte-activated
Astrocyte-quiescent                   SET      26     -0.04847   -0.0018336      0.18557      0.60302 Astrocyte-quiescent
Capillary                             SET     569     0.078415     0.013667      0.04353     0.035827 Capillary
Ex-Neuron-DLC1-HS3ST4                 SET      33    -0.036345   -0.0015486      0.18283      0.57878 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET      46    0.0066402   0.00033393      0.15996      0.48344 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET      18      0.03101   0.00097628      0.24439      0.44951 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET      44    -0.039566   -0.0019461      0.16184      0.59657 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET      33     -0.11483   -0.0048928      0.18062      0.73752 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET      20     0.088674    0.0029425      0.23501      0.35297 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET      29     -0.08639   -0.0034511      0.19599      0.67031 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET      39    -0.023758   -0.0011003      0.16664      0.55668 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-PRKG1-TBC1D4                SET      15      0.62732      0.01803      0.26956    0.0099823 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET      25      0.14219    0.0052746      0.21566      0.25485 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET     651     0.045955    0.0085474     0.041428      0.13366 M-Pericyte
Meningeal-FB                          SET      64     -0.12073   -0.0071581      0.13261      0.81871 Meningeal-FB
Microglia-activated                   SET      16      0.19813    0.0058813      0.23097       0.1955 Microglia-activated
Microglia-quiescent                   SET      16      0.22214     0.006594      0.24719      0.18442 Microglia-quiescent
Microglia-vascular                    SET      45      0.37048     0.018428      0.14055    0.0041988 Microglia-vascular
OPC-B                                 SET      57    0.0036563   0.00020461      0.14382      0.48986 OPC-B
Oligo-A                               SET     125   -0.0050596  -0.00041852     0.092037      0.52192 Oligo-A
Oligo-B                               SET      23      -0.4306    -0.015322      0.20308        0.983 Oligo-B
Pericyte                              SET     260    -0.054696   -0.0065006     0.064195      0.80289 Pericyte
Pericyte-2                            SET     321   -0.0016251  -0.00021424      0.05961      0.51087 Pericyte-2
Pericyte-FB                           SET      64     -0.14915   -0.0088426      0.13031       0.8738 Pericyte-FB
Perivascular                          SET      59      0.31708     0.018052      0.12875    0.0068992 Perivascular
Perivascular-FB                       SET     102    -0.030889   -0.0023095      0.10176      0.61926 Perivascular-FB
Perivascular-FB-KAZN2                 SET      66    -0.080365   -0.0048383      0.13106      0.73013 Perivascular-FB-KAZN2
T-Pericyte                            SET     725     0.040059    0.0078462     0.039124      0.15294 T-Pericyte
T-cell-mixed                          SET      72      0.30592     0.019233      0.12153    0.0059197 T-cell-mixed
T-cell-vascular                       SET      51      0.44608     0.023617      0.14447    0.0010102 T-cell-vascular
Trans-Endo-to-mural                   SET      20      0.28265    0.0093793      0.22057      0.10003 Trans-Endo-to-mural
Vascular-SMC                          SET     479     0.082407     0.013212     0.047839     0.042489 Vascular-SMC
Vascular-SMC-LINC00486                SET      72    -0.021352   -0.0013424      0.12506      0.56778 Vascular-SMC-LINC00486
Venous                                SET     586    -0.010784   -0.0019066     0.042791      0.59949 Venous
ambiguous                             SET      23      -0.1456   -0.0051807      0.21136      0.75454 ambiguous
low-feature-cells                     SET      44    -0.020951   -0.0010305      0.16444      0.55069 low-feature-cells
