# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET     899      0.03751    0.0080817     0.033606      0.13218 Arterial
Arteriolar-SMC                        SET     896        0.083     0.017854     0.033205    0.0062215 Arteriolar-SMC
Artirial-FB                           SET     896    0.0096387    0.0020734      0.03344      0.38659 Artirial-FB
Astrocyte-activated                   SET     838     0.030246    0.0063025     0.034497      0.19031 Astrocyte-activated
Astrocyte-quiescent                   SET     835     0.024739    0.0051461     0.034542      0.23694 Astrocyte-quiescent
Capillary                             SET     892     0.027054    0.0058073     0.033538      0.20993 Capillary
Ex-Neuron-ADARB2-ERBB4                SET     812    -0.047317   -0.0097127      0.03568       0.9076 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-DLC1-HS3ST4                 SET     833    0.0072836    0.0015134     0.035128      0.41787 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     848    0.0068757    0.0014408     0.034766      0.42161 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     780   -0.0054276   -0.0010929     0.036692       0.5588 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     836     0.033605    0.0069944     0.035095      0.16916 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     834     -0.02504   -0.0052059     0.035117      0.76209 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     853   -0.0083561    -0.001756      0.03529      0.59358 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     862     0.010985    0.0023199     0.035035      0.37694 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     845    0.0084451    0.0017667      0.03511      0.40496 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     883     0.045987    0.0098238     0.034282       0.0899 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     847    -0.011379   -0.0023832     0.034641      0.62873 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     841    -0.020638   -0.0043078     0.034969      0.72246 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     867      0.03388    0.0071749     0.034908       0.1659 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET     903     0.088653     0.019141     0.033502    0.0040745 M-Pericyte
Meningeal-FB                          SET     909     0.047735     0.010339     0.033093     0.074599 Meningeal-FB
Microglia-activated                   SET     899      0.12268     0.026432     0.032429   7.7734e-05 Microglia-activated
Microglia-quiescent                   SET     916      0.09994     0.021724     0.033602    0.0014711 Microglia-quiescent
Microglia-vascular                    SET     913     0.087412     0.018971     0.031985    0.0031425 Microglia-vascular
OPC-A                                 SET     817  -0.00063626  -0.00013099     0.035667      0.50712 OPC-A
OPC-B                                 SET     877   -0.0040648  -0.00086553     0.034595      0.54677 OPC-B
Oligo-A                               SET     897     0.043842    0.0094357     0.033416     0.094769 Oligo-A
Oligo-B                               SET     880     0.071617     0.015274     0.033318     0.015805 Oligo-B
Pericyte                              SET     910     0.057878     0.012542     0.033305     0.041132 Pericyte
Pericyte-2                            SET     883     0.070924     0.015151     0.033718     0.017722 Pericyte-2
Pericyte-FB                           SET     885   -0.0012978  -0.00027753     0.033205      0.51559 Pericyte-FB
Perivascular                          SET     918     0.065471     0.014246     0.032642     0.022452 Perivascular
Perivascular-FB                       SET     889     0.043609    0.0093458     0.033892     0.099112 Perivascular-FB
Perivascular-FB-KAZN2                 SET     916     0.094417     0.020524     0.033145    0.0021982 Perivascular-FB-KAZN2
T-Pericyte                            SET     906      0.08544     0.018476      0.03349    0.0053729 T-Pericyte
T-cell-mixed                          SET     916     0.075806     0.016478     0.032835     0.010488 T-cell-mixed
T-cell-vascular                       SET     907     0.018503    0.0040033     0.032766      0.28614 T-cell-vascular
Trans-Endo-to-mural                   SET     912     0.049235      0.01068      0.03298     0.067744 Trans-Endo-to-mural
Vascular-SMC                          SET     891     0.049713     0.010665     0.033473     0.068758 Vascular-SMC
Vascular-SMC-LINC00486                SET     903     0.046638     0.010069     0.033085      0.07933 Vascular-SMC-LINC00486
Venous                                SET     914    0.0086668     0.001882     0.032906      0.39613 Venous
ambiguous                             SET     808     0.022782    0.0046655     0.035852      0.26257 ambiguous
low-feature-cells                     SET     942     0.081546     0.017962     0.032241    0.0057199 low-feature-cells
