# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET    1830     0.041798     0.012524     0.023837     0.039766 Arterial
Arteriolar-SMC                        SET     426     0.027175     0.004092     0.047285      0.28275 Arteriolar-SMC
Artirial-FB                           SET     125   -0.0016882  -0.00013885     0.081808      0.50823 Artirial-FB
Astrocyte-activated                   SET    1002     0.044943     0.010211     0.031188     0.074793 Astrocyte-activated
Astrocyte-quiescent                   SET    1780     0.027489    0.0081354     0.023707      0.12313 Astrocyte-quiescent
Capillary                             SET    1572     0.034688    0.0097077     0.025433     0.086313 Capillary
Ex-Neuron-ADARB2-ERBB4                SET     118   0.00076744    6.134e-05     0.090844      0.49663 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET     102    -0.053289   -0.0039618     0.095673      0.71123 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1025     0.006012    0.0013806     0.031239       0.4237 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    2399     0.015013    0.0050607     0.020909      0.23639 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     749   -0.0015718  -0.00031099      0.03682      0.51702 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1902    0.0064062    0.0019526     0.023372      0.39201 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1062    -0.014872   -0.0034725      0.03069      0.68601 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     779   -0.0071481   -0.0014411     0.036564      0.57749 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     339    0.0096331    0.0012971      0.05532      0.43088 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     670     0.020527    0.0038499     0.038584      0.29736 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     104     0.071195    0.0053443        0.101      0.24045 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     257    -0.035969   -0.0042266     0.062583      0.71726 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     871   -0.0020454   -0.0004349     0.033821      0.52411 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     375     0.036176    0.0051181     0.052431      0.24511 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET     906     0.095633     0.020717     0.032988    0.0018745 M-Pericyte
Meningeal-FB                          SET      80   -0.0074146  -0.00048848      0.10954      0.52698 Meningeal-FB
Microglia-activated                   SET     794      0.11494     0.023384     0.033795   0.00033654 Microglia-activated
Microglia-quiescent                   SET     370      0.16956     0.023833     0.050453   0.00038942 Microglia-quiescent
Microglia-vascular                    SET      80      0.37154     0.024477     0.096213   5.6557e-05 Microglia-vascular
OPC-A                                 SET     548   -0.0025764  -0.00043851     0.043017      0.52388 OPC-A
OPC-B                                 SET     930     0.025192    0.0055254     0.033266      0.22445 OPC-B
Oligo-A                               SET    2370      0.03871     0.012982     0.021099     0.033288 Oligo-A
Oligo-B                               SET    1585     0.067766     0.019036      0.02522    0.0036085 Oligo-B
Pericyte                              SET     445     0.067664     0.010408     0.046494       0.0728 Pericyte
Pericyte-2                            SET     466     0.075856     0.011933     0.046173     0.050216 Pericyte-2
Pericyte-FB                           SET      71    -0.015362  -0.00095367      0.11239      0.55436 Pericyte-FB
Perivascular                          SET      95      0.37717     0.027066     0.089253   1.1972e-05 Perivascular
Perivascular-FB                       SET     111    -0.062797    -0.004869     0.087854      0.76262 Perivascular-FB
Perivascular-FB-KAZN2                 SET      91    -0.047618   -0.0033448      0.10346      0.67733 Perivascular-FB-KAZN2
T-Pericyte                            SET     951     0.092579     0.020521     0.032353     0.002111 T-Pericyte
T-cell-mixed                          SET     102      0.12729    0.0094632     0.086683     0.071003 T-cell-mixed
T-cell-parenchymal-1                  SET      30       0.1806     0.007296      0.15756      0.12586 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET      21      0.15714    0.0053127      0.18443       0.1971 T-cell-parenchymal-2
T-cell-vascular                       SET     106      0.11528     0.008736     0.087803     0.094609 T-cell-vascular
Trans-Endo-to-mural                   SET    1622     0.051689     0.014672     0.024867     0.018834 Trans-Endo-to-mural
Vascular-SMC                          SET     624    0.0094626    0.0017149     0.039391      0.40508 Vascular-SMC
Vascular-SMC-LINC00486                SET      92     0.071432    0.0050449      0.10327      0.24457 Vascular-SMC-LINC00486
Venous                                SET    1454     0.017349    0.0046858     0.026048       0.2527 Venous
ambiguous                             SET     256    0.0086779    0.0010178     0.063016      0.44524 ambiguous
low-feature-cells                     SET     132     0.093022    0.0078608     0.085463      0.13821 low-feature-cells
