# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET     126     -0.14261    -0.011754     0.085425      0.95248 Arterial
Arteriolar-SMC                        SET       4      0.16496    0.0024304      0.64632      0.39928 Arteriolar-SMC
Artirial-FB                           SET      17    -0.083264   -0.0025282      0.22105      0.64679 Artirial-FB
Astrocyte-activated                   SET    1124     0.024682    0.0059078     0.030015      0.20545 Astrocyte-activated
Astrocyte-quiescent                   SET    1959     0.029162    0.0089899     0.023507      0.10739 Astrocyte-quiescent
Capillary                             SET     351    -0.022789   -0.0031155     0.051708      0.67029 Capillary
Ex-Neuron-ADARB2-ERBB4                SET     131     -0.15033    -0.012632     0.087771      0.95661 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET     105    -0.072215   -0.0054364     0.097065      0.77155 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET     865     0.013764    0.0029116     0.034773      0.34612 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    2425   -0.0034287   -0.0011592     0.021135      0.56444 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     576     0.014229    0.0024763     0.043106      0.37067 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1753   -0.0014413  -0.00042291     0.024537      0.52342 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     885    -0.017123   -0.0036617     0.033883      0.69334 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     697    0.0046981   0.00089639     0.038541      0.45149 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     228      0.10576     0.011693     0.068799     0.062128 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     532     0.044498    0.0074519     0.044697      0.15974 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     108      0.11314    0.0086376      0.10083      0.13091 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     175    -0.021591   -0.0020943     0.077118      0.61025 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     761    0.0049145   0.00097801     0.036786      0.44686 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     290     0.018669    0.0023238      0.06028      0.37839 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET      66    -0.067261   -0.0040187      0.11732      0.71678 M-Pericyte
Meningeal-FB                          SET      29    -0.067843   -0.0026896      0.17237      0.65305 Meningeal-FB
Microglia-activated                   SET     979     0.093895     0.021062     0.031226    0.0013215 Microglia-activated
Microglia-quiescent                   SET     545      0.11114     0.018832     0.042407    0.0043895 Microglia-quiescent
Microglia-vascular                    SET      39     -0.17365   -0.0079814      0.14713      0.88104 Microglia-vascular
OPC-A                                 SET     490    0.0002386   3.8392e-05     0.046099      0.49794 OPC-A
OPC-B                                 SET     923     0.025621    0.0055894     0.033827      0.22441 OPC-B
Oligo-A                               SET    2582     0.014197    0.0049284     0.020922      0.24872 Oligo-A
Oligo-B                               SET    1352     0.070072     0.018273     0.027371    0.0052371 Oligo-B
Pericyte                              SET      24     0.058078    0.0020949       0.1854      0.37704 Pericyte
Pericyte-2                            SET      71     -0.04613   -0.0028583      0.11209      0.65966 Pericyte-2
Perivascular                          SET     102      0.31571     0.023427     0.089151   0.00019964 Perivascular
Perivascular-FB                       SET      85     -0.12239   -0.0082946      0.09861      0.89272 Perivascular-FB
Perivascular-FB-KAZN2                 SET      88    -0.014645   -0.0010098     0.098273      0.55923 Perivascular-FB-KAZN2
T-Pericyte                            SET     124     0.033213    0.0027157     0.086362      0.35028 T-Pericyte
T-cell-mixed                          SET     116      0.19197     0.015185     0.084263     0.011364 T-cell-mixed
T-cell-parenchymal-1                  SET      19      0.29467    0.0094584      0.20792     0.078218 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET      18     0.075062    0.0023452      0.20117      0.35453 T-cell-parenchymal-2
T-cell-vascular                       SET      19      0.11969    0.0038419      0.21394      0.28793 T-cell-vascular
Trans-Endo-to-mural                   SET     117    -0.052515   -0.0041718     0.088829       0.7228 Trans-Endo-to-mural
Vascular-SMC                          SET      11     -0.39133   -0.0095596      0.33749      0.87687 Vascular-SMC
Vascular-SMC-LINC00486                SET       5     -0.46329   -0.0076315       0.5813      0.78727 Vascular-SMC-LINC00486
Venous                                SET     226     -0.15874    -0.017474     0.064602      0.99299 Venous
ambiguous                             SET     141    -0.038762   -0.0033781     0.086643       0.6727 ambiguous
low-feature-cells                     SET     141      0.10828    0.0094371     0.082138     0.093707 low-feature-cells
