# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET     900     0.071122     0.015359     0.032753     0.014955 T-Pericyte
Oligo-A                               SET     894    0.0086375    0.0018594     0.033131      0.39716 Oligo-A
Astrocyte-activated                   SET     869     0.032205      0.00684     0.033208      0.16608 Astrocyte-activated
Trans-Endo-to-mural                   SET     931     0.020924    0.0045917     0.032307       0.2586 Trans-Endo-to-mural
Oligo-B                               SET     881     0.058431     0.012491     0.032923     0.037976 Oligo-B
Perivascular-FB-KAZN2                 SET     883     0.056769     0.012149     0.033122      0.04328 Perivascular-FB-KAZN2
Perivascular-FB                       SET     877     0.037083    0.0079104     0.033467      0.13393 Perivascular-FB
Capillary                             SET     910     0.034327    0.0074521     0.032481       0.1453 Capillary
Arterial                              SET     918     0.051873     0.011308     0.032175      0.05347 Arterial
Venous                                SET     921   -0.0020351  -0.00044431     0.032189       0.5252 Venous
T-cell-mixed                          SET     896     0.091139      0.01964     0.032557    0.0025635 T-cell-mixed
Microglia-quiescent                   SET     889      0.10771     0.023125     0.033099   0.00056986 Microglia-quiescent
Microglia-activated                   SET     899     0.087931     0.018979     0.032048    0.0030409 Microglia-activated
Perivascular                          SET     901     0.080073     0.017301     0.032615    0.0070478 Perivascular
Astrocyte-quiescent                   SET     840      0.02527    0.0052811     0.033966      0.22845 Astrocyte-quiescent
OPC-A                                 SET     833     0.050848     0.010584     0.034835     0.072202 OPC-A
OPC-B                                 SET     881    0.0097328    0.0020807      0.03412      0.38773 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     858    -0.016225   -0.0034252     0.034136      0.68271 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET     837   -0.0058804   -0.0012269     0.035327       0.5661 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET     851    0.0074775    0.0015724     0.034405      0.41397 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET     863     0.013287    0.0028128     0.034334      0.34938 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     843     0.025987    0.0054403     0.034459      0.22538 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     827    -0.032959   -0.0068371      0.03455      0.82994 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET     909     0.069314     0.015039     0.032367     0.016125 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET     800   -0.0035396  -0.00072275     0.035778       0.5394 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET     820      0.01001    0.0020681     0.035221      0.38813 Ex-Neuron-DLC1-HS3ST4
In-Neuron-ADARB2-GRM7                 SET     878     0.016232    0.0034644     0.033837      0.31572 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET     871     0.020129    0.0042799     0.033707       0.2752 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     872   -0.0042238  -0.00089856     0.033818       0.5497 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET     892    0.0012329   0.00026513     0.033631      0.48538 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     867    -0.010058   -0.0021339     0.034026      0.61623 In-Neuron-DPP10-MEF2C
ambiguous                             SET     826   0.00092853   0.00019251     0.035073      0.48944 ambiguous
