# TOTAL_GENES = 18473
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro                     SET    1223       0.0324    0.0080561     0.029773      0.13826
Endothelial               SET    1274  -0.00013567   -3.438e-05     0.029131      0.50186
Fibroblast                SET    1276     0.036392    0.0092286      0.02913      0.10579
Microglia                 SET    1289      0.10037     0.025573     0.028939   0.00026239
Neuron_ex                 SET    1259       0.0277    0.0069808     0.029429       0.1733
Neuron_in                 SET    1247    0.0042972    0.0010782     0.029706      0.44249
OPC                       SET    1243     0.043239     0.010833     0.029993      0.07471
Oligo                     SET    1287     0.039294     0.010004     0.029028     0.087932
Pericyte                  SET    1284     0.033587    0.0085418     0.028968      0.12315
SMC                       SET    1277     0.060042     0.015231     0.028915     0.018933
T-cell                    SET    1287     0.067795      0.01726     0.028855    0.0094056
Trans-Endo-to-mural       SET    1293     0.016719    0.0042658     0.028816      0.28089
