# TOTAL_GENES = 18368
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro                     SET    1220     0.030551    0.0076078     0.027793      0.13584
Endothelial               SET    1273     0.038095    0.0096754     0.026896     0.078344
Fibroblast                SET    1275   -0.0025775  -0.00065512     0.026792      0.53832
Microglia                 SET    1286     0.051942     0.013254     0.026831      0.02645
Neuron_ex                 SET    1257     0.054217      0.01369     0.026837     0.021687
Neuron_in                 SET    1247     0.039784     0.010008     0.027407      0.07332
OPC                       SET    1242     0.024965    0.0062686     0.028096      0.18713
Oligo                     SET    1285     0.024749     0.006313     0.027031      0.17995
Pericyte                  SET    1284     0.043949     0.011207     0.026829     0.050713
SMC                       SET    1277     0.033503    0.0085214     0.026824      0.10584
T-cell                    SET    1286     0.067426     0.017205     0.026195    0.0050316
Trans-Endo-to-mural       SET    1291     0.073011     0.018664     0.026501    0.0029384
