# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Trans-Endo-to-mural       SET     264     0.029179    0.0034679      0.06036       0.3144
Oligo                     SET     252    0.0061853   0.00071846     0.061511      0.45995
Endothelial               SET     258    -0.013645   -0.0016034     0.062232      0.58677
Pericyte                  SET     261    0.0027896   0.00032969     0.061252      0.48184
Astro                     SET     250    -0.045794   -0.0052984     0.062004      0.76991
SMC                       SET     258    0.0034223   0.00040216     0.061568      0.47784
OPC                       SET     257   -0.0065986  -0.00077393     0.064824      0.54054
Neuron_ex                 SET     255     0.048108    0.0056207     0.063854      0.22561
Microglia                 SET     249       0.1896     0.021894     0.060591   0.00087804
Neuron_in                 SET     255     0.063793    0.0074533     0.065083      0.16351
Fibroblast                SET     252    0.0010489   0.00012184     0.061759      0.49322
T-cell                    SET     262      0.14936     0.017685     0.057529     0.004718
