# TOTAL_GENES = 18473
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro                     SET     250     0.067611    0.0078122     0.062047      0.13794
Endothelial               SET     258      -0.0134   -0.0015726     0.063356      0.58375
Fibroblast                SET     252      0.13009     0.015091     0.063505     0.020262
Microglia                 SET     249      0.12125     0.013982     0.063242     0.027615
Neuron_ex                 SET     255     0.027974     0.003264     0.064022      0.33108
Neuron_in                 SET     255    -0.059429   -0.0069341     0.064696      0.82084
OPC                       SET     257     0.090048     0.010547     0.064499     0.081349
Oligo                     SET     252      0.12244     0.014203     0.062641     0.025322
Pericyte                  SET     261    -0.014901   -0.0017587     0.062473      0.59426
SMC                       SET     258   -0.0064394  -0.00075569     0.062484      0.54104
T-cell                    SET     262    0.0098633    0.0011663     0.060908      0.43568
Trans-Endo-to-mural       SET     264     -0.05069   -0.0060165     0.061234       0.7961
