# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Trans-Endo-to-mural       SET    2585     0.057949     0.020256     0.021631    0.0036955
Oligo                     SET    2575     0.059444     0.020745     0.022002    0.0034518
Endothelial               SET    2575     0.052369     0.018276     0.021947    0.0085179
Pericyte                  SET    2586     0.089127     0.031159       0.0221   2.7668e-05
Astro                     SET    2490     0.051238     0.017631     0.022208     0.010526
SMC                       SET    2593     0.062717     0.021951     0.021658     0.001893
OPC                       SET    2510     0.054755     0.018905     0.022617    0.0077446
Neuron_ex                 SET    2495   -0.0072334   -0.0024912      0.02193      0.62924
Microglia                 SET    2574     0.081751     0.028525     0.021839   9.1102e-05
Neuron_in                 SET    2534    0.0044925    0.0015573     0.021996      0.41908
Fibroblast                SET    2588     0.087402     0.030566     0.021986   3.5269e-05
T-cell                    SET    2586       0.1095     0.038281     0.021953   3.0807e-07
