# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Trans-Endo-to-mural       SET     934     0.023126    0.0050736     0.032666      0.23949
Oligo                     SET     895     0.012227    0.0026288     0.033502      0.35757
Endothelial               SET     920     0.023237    0.0050614     0.032866      0.23979
Pericyte                  SET     900     0.088892     0.019162     0.033261    0.0037683
Astro                     SET     842     0.016369    0.0034186     0.034434      0.31726
OPC                       SET     885    -0.009662   -0.0020662     0.034517      0.61023
Neuron_ex                 SET     853    0.0015839   0.00033285     0.034488      0.48168
Microglia                 SET     889       0.1171     0.025097     0.033316   0.00022055
Neuron_in                 SET     881     0.017131    0.0036557     0.034177       0.3081
Fibroblast                SET     883     0.034746    0.0074224     0.033783      0.15187
T-cell                    SET     910     0.067336     0.014592     0.033389     0.021872
