# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Trans-Endo-to-mural       SET     931     0.020924    0.0045917     0.032307       0.2586
Oligo                     SET     895     0.014849    0.0031983     0.033036      0.32654
Endothelial               SET     919     0.019987    0.0043593      0.03242      0.26878
Pericyte                  SET     899     0.086722     0.018718     0.032814    0.0041149
Astro                     SET     841     0.018768    0.0039245     0.033999      0.29048
OPC                       SET     885   -0.0082987   -0.0017779     0.034038      0.59631
Neuron_ex                 SET     853    0.0034354   0.00072324     0.034005      0.45977
Microglia                 SET     889      0.12048     0.025867     0.032852    0.0001229
Neuron_in                 SET     881     0.020023    0.0042806     0.033701      0.27621
Fibroblast                SET     883     0.034362    0.0073538     0.033314      0.15117
T-cell                    SET     910      0.06898     0.014975     0.032924      0.01809
