# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET     869     0.025099    0.0053212     0.033683      0.22809 Astrocyte-activated
Astrocyte-quiescent                   SET     843     0.020075    0.0041949     0.034354       0.2795 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET     840    -0.014594   -0.0030445     0.035636      0.65892 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET     799     0.016503    0.0033616     0.036121      0.32388 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET     821    0.0033571   0.00069275      0.03562      0.46246 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     856    -0.019436   -0.0040912     0.034654      0.71255 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     804   -0.0056307   -0.0011504     0.036293      0.56165 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     842     0.028973    0.0060509     0.034968      0.20369 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     827    -0.031366   -0.0064949     0.035015      0.81481 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     879     0.006888    0.0014683     0.034352      0.42054 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     872   -0.0052816   -0.0011216     0.034373      0.56106 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     865    0.0058749    0.0012428     0.034754      0.43288 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     893    0.0012841   0.00027578     0.034048      0.48496 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     868    -0.015667   -0.0033196      0.03443      0.67546 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     851    0.0050565    0.0010614     0.034898       0.4424 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     870     0.014174    0.0030066     0.034163      0.33911 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET     901     0.082511     0.017796     0.032472    0.0055316 Microglia-activated
Microglia-quiescent                   SET     889      0.10358     0.022199     0.033578    0.0010199 Microglia-quiescent
Microglia-vascular                    SET     904     0.070183     0.015161     0.032509     0.015436 Microglia-vascular
OPC-A                                 SET     833     0.051279     0.010655      0.03533     0.073338 OPC-A
OPC-B                                 SET     878    0.0061564    0.0013116     0.034556       0.4293 OPC-B
Oligo-A                               SET     893     0.010403    0.0022342     0.033583      0.37837 Oligo-A
Oligo-B                               SET     882     0.055618     0.011875     0.033467     0.048277 Oligo-B
Perivascular                          SET     902     0.090724     0.019578     0.032738    0.0027955 Perivascular
T-cell-mixed                          SET     895     0.081078     0.017431     0.032907    0.0068784 T-cell-mixed
T-cell-parenchymal-1                  SET     912     0.099756     0.021639     0.032859    0.0012012 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     885       0.0317    0.0067791     0.033011      0.16846 T-cell-parenchymal-2
ambiguous                             SET     827    0.0093277    0.0019314     0.035487      0.39634 ambiguous
low-feature-cells                     SET     902      0.07901      0.01705     0.032918    0.0081993 low-feature-cells
