# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET     867     0.026547    0.0056322     0.033264      0.21242 Astrocyte-activated
Astrocyte-quiescent                   SET     842     0.023004    0.0048131      0.03392      0.24883 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET     840   -0.0089504   -0.0018705      0.03514      0.60052 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET     798     0.021763    0.0044385     0.035693      0.27102 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET     819    0.0080292    0.0016579     0.035208       0.4098 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     856    -0.018659   -0.0039347     0.034172      0.70748 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     804   -0.0016523  -0.00033818      0.03579      0.51841 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     842     0.029954    0.0062672     0.034483      0.19253 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     827     -0.02577   -0.0053457     0.034565      0.77202 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     879     0.013226    0.0028244     0.033875      0.34811 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     872   -0.0014184  -0.00030175     0.033896      0.51669 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     864    0.0069887    0.0014803     0.034305      0.41929 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     893    0.0031015    0.0006673     0.033576       0.4632 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     868    -0.013736   -0.0029158     0.033951      0.65711 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     851     0.006956    0.0014628     0.034414      0.41991 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     870     0.017617    0.0037437     0.033689      0.30051 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET     900      0.08378     0.018093     0.032058    0.0044865 Microglia-activated
Microglia-quiescent                   SET     889      0.10622     0.022805      0.03311   0.00066941 Microglia-quiescent
Microglia-vascular                    SET     901     0.066805     0.014434     0.032119     0.018773 Microglia-vascular
OPC-A                                 SET     833     0.052816     0.010994     0.034839     0.064773 OPC-A
OPC-B                                 SET     878    0.0079906    0.0017055     0.034077       0.4073 OPC-B
Oligo-A                               SET     893     0.012977    0.0027922     0.033117      0.34758 Oligo-A
Oligo-B                               SET     882     0.058027     0.012412     0.033007      0.03938 Oligo-B
Perivascular                          SET     902     0.091463     0.019773     0.032282    0.0023069 Perivascular
T-cell-mixed                          SET     895     0.084473     0.018194      0.03245    0.0046227 T-cell-mixed
T-cell-parenchymal-1                  SET     912      0.10195     0.022155     0.032402    0.0008282 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     884     0.033791    0.0072355     0.032554      0.14964 T-cell-parenchymal-2
ambiguous                             SET     827     0.014139     0.002933     0.034978      0.34303 ambiguous
low-feature-cells                     SET     902     0.079445     0.017174     0.032463    0.0072038 low-feature-cells
