# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET     893     0.037062    0.0080027      0.03707      0.15872 Oligo-A
Astrocyte-activated                   SET     869     0.061862     0.013186     0.037009     0.047318 Astrocyte-activated
Oligo-B                               SET     882     0.071511     0.015351     0.036298      0.02442 Oligo-B
T-cell-mixed                          SET     895     0.099414     0.021489     0.036241    0.0030456 T-cell-mixed
T-cell-parenchymal-1                  SET     912      0.11081     0.024166     0.035581   0.00092367 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     884     0.029153    0.0062648     0.035206      0.20382 T-cell-parenchymal-2
Microglia-quiescent                   SET     889        0.108     0.023271     0.036804    0.0016728 Microglia-quiescent
Microglia-activated                   SET     900      0.06739     0.014605      0.03591     0.030293 Microglia-activated
Perivascular                          SET     902     0.082854     0.017976     0.036098     0.010865 Perivascular
Microglia-vascular                    SET     904     0.073456     0.015954      0.03571      0.01985 Microglia-vascular
Astrocyte-quiescent                   SET     842     0.051409     0.010795      0.03761     0.085838 Astrocyte-quiescent
OPC-A                                 SET     832      0.03347    0.0069881     0.038836       0.1944 OPC-A
OPC-B                                 SET     877    -0.014339   -0.0030697     0.038055      0.64683 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     856    -0.012558   -0.0026577     0.038047      0.62932 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET     840    -0.077515    -0.016258      0.03819       0.9788 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET     851    -0.041507   -0.0087598     0.037503       0.8658 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET     865    -0.051506    -0.010955      0.03782      0.91337 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     842     0.016338    0.0034307     0.038419      0.33532 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     827    -0.018288   -0.0038075     0.038201      0.68394 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET     902     0.095473     0.020713     0.035861    0.0038838 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET     804    -0.028099   -0.0057719     0.039177      0.76338 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET     821    0.0016622   0.00034486     0.038557      0.48281 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET     799    -0.017708   -0.0036266     0.038545      0.67703 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET     879   -0.0014328  -0.00030708     0.037499      0.51524 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET     870     0.012624    0.0026924     0.037631      0.36863 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     872    -0.013176   -0.0028131     0.037487      0.63738 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET     893    -0.021539   -0.0046509     0.037316       0.7181 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     868    -0.028638   -0.0061009     0.037676       0.7764 In-Neuron-DPP10-MEF2C
ambiguous                             SET     827     0.009608    0.0020003     0.038503      0.40147 ambiguous
