# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET     867     0.055264     0.011789     0.036538     0.065208 Astrocyte-activated
Astrocyte-quiescent                   SET     841     0.047222    0.0099286     0.037111      0.10161 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET     840    -0.072132    -0.015157     0.037664      0.97225 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET     798     -0.01158   -0.0023746     0.038053      0.61955 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET     818    0.0066888    0.0013879      0.03812      0.43036 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     856   -0.0086689    -0.001838     0.037524      0.59135 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     804    -0.026005   -0.0053517     0.038637      0.74954 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     842     0.018909    0.0039778     0.037889      0.30888 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     826    -0.012137   -0.0025301       0.0377      0.62625 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     879    0.0036136   0.00077587     0.036982      0.46108 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     872   -0.0087642   -0.0018747      0.03697      0.59369 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     864    -0.051014    -0.010864     0.037333       0.9141 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     893     -0.01767   -0.0038224     0.036802      0.68443 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     868    -0.026483   -0.0056523     0.037156      0.76199 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     851    -0.039149   -0.0082774     0.036985      0.85508 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     870     0.017063    0.0036459     0.037112      0.32284 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET     899     0.066524     0.014437     0.035432     0.030232 Microglia-activated
Microglia-quiescent                   SET     889      0.11258     0.024302     0.036296   0.00096392 Microglia-quiescent
Microglia-vascular                    SET     901     0.074386      0.01616      0.03527     0.017478 Microglia-vascular
OPC-A                                 SET     832     0.035671    0.0074616     0.038299      0.17583 OPC-A
OPC-B                                 SET     877    -0.012142   -0.0026041      0.03753      0.62685 OPC-B
Oligo-A                               SET     893     0.039441    0.0085322      0.03656      0.14034 Oligo-A
Oligo-B                               SET     882     0.073311     0.015766     0.035798     0.020291 Oligo-B
Perivascular                          SET     902     0.085943      0.01868     0.035599    0.0078908 Perivascular
T-cell-mixed                          SET     895      0.10112     0.021898     0.035741    0.0023361 T-cell-mixed
T-cell-parenchymal-1                  SET     912       0.1134     0.024778      0.03509   0.00061625 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     883     0.030692    0.0066041     0.034757      0.18861 T-cell-parenchymal-2
ambiguous                             SET     827     0.015245    0.0031798     0.037974      0.34404 ambiguous
low-feature-cells                     SET     902     0.097362     0.021163     0.035366    0.0029553 low-feature-cells
