# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET    1276      0.06806     0.017281     0.028445    0.0083679 T-Pericyte
M-Pericyte                            SET    1278     0.076524     0.019444     0.028476    0.0036056 M-Pericyte
Pericyte                              SET    1285      0.05094     0.012976     0.028141     0.035147 Pericyte
Pericyte-2                            SET    1265     0.084681     0.021415     0.028851    0.0016695 Pericyte-2
Oligo-A                               SET    1292     0.043199     0.011032     0.027949     0.061105 Oligo-A
Astrocyte-activated                   SET    1236     0.046923     0.011739     0.028693     0.050998 Astrocyte-activated
Vascular-SMC                          SET    1277     0.070665     0.017949     0.028167    0.0060632 Vascular-SMC
Arteriolar-SMC                        SET    1276      0.05096     0.012939     0.028199     0.035381 Arteriolar-SMC
Vascular-SMC-LINC00486                SET    1281     0.023603    0.0060039     0.027751      0.19752 Vascular-SMC-LINC00486
Trans-Endo-to-mural                   SET    1292     0.041173     0.010514     0.028195     0.072119 Trans-Endo-to-mural
Oligo-B                               SET    1272     0.064986     0.016476     0.027952     0.010045 Oligo-B
Perivascular-FB-KAZN2                 SET    1287     0.087356     0.022268      0.02812   0.00094839 Perivascular-FB-KAZN2
Perivascular-FB                       SET    1276     0.065287     0.016577     0.028408     0.010782 Perivascular-FB
Meningeal-FB                          SET    1289     0.053435     0.013631     0.027824     0.027407 Meningeal-FB
Artirial-FB                           SET    1270     0.017389    0.0044056     0.028004      0.26731 Artirial-FB
Pericyte-FB                           SET    1274     0.041433     0.010512     0.028088     0.070098 Pericyte-FB
Capillary                             SET    1273     0.032154    0.0081553     0.028046      0.12581 Capillary
Arterial                              SET    1285     0.033666    0.0085757     0.028331      0.11737 Arterial
Venous                                SET    1284     0.019131    0.0048715     0.028028      0.24744 Venous
T-cell-mixed                          SET    1283     0.083048      0.02114     0.027891    0.0014552 T-cell-mixed
T-cell-vascular                       SET    1291     0.038778    0.0098994     0.027804     0.081565 T-cell-vascular
T-cell-parenchymal-1                  SET    1275     0.053468     0.013571     0.027945     0.027861 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1246    0.0015594   0.00039159     0.027949      0.47775 T-cell-parenchymal-2
Microglia-quiescent                   SET    1270       0.0738     0.018697     0.028414    0.0047019 Microglia-quiescent
Microglia-activated                   SET    1277     0.096872     0.024605     0.027774   0.00024416 Microglia-activated
Perivascular                          SET    1278     0.075279     0.019127     0.027868     0.003458 Perivascular
Microglia-vascular                    SET    1286     0.076206     0.019419     0.027248    0.0025839 Microglia-vascular
Astrocyte-quiescent                   SET    1224    0.0072705    0.0018107      0.02903      0.40112 Astrocyte-quiescent
OPC-A                                 SET    1224     0.040896     0.010185      0.02957      0.08334 OPC-A
OPC-B                                 SET    1255     0.040071     0.010096     0.029207     0.085051 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1251    0.0070838    0.0017822     0.028706      0.40254 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    1204    -0.037554   -0.0092818     0.029447      0.89889 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    1237     0.012017    0.0030076     0.029084      0.33974 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    1231   -0.0098241   -0.0024532     0.028811      0.63344 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1241     0.017601    0.0044118      0.02897      0.27174 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1226   -0.0050257   -0.0012526      0.02889      0.56905 Ex-Neuron-L6-THEMIS-NFIA
Ex-Neuron-L3-5-RORB-PLCH1             SET    1219     0.014208    0.0035319     0.029175      0.31313 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    1229     0.015584    0.0038886     0.029087      0.29606 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    1203     0.017991    0.0044448     0.029237      0.26917 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    1250   -0.0065959   -0.0016588     0.029113      0.58962 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    1266     0.021426    0.0054204     0.028958      0.22968 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1244     0.034385    0.0086283     0.029155      0.11914 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    1269     0.039402    0.0099788     0.028773     0.085446 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1236     0.024318     0.006084     0.029009      0.20094 In-Neuron-DPP10-MEF2C
