# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET    1276     0.070117     0.017834     0.028049    0.0062191 T-Pericyte
M-Pericyte                            SET    1278     0.078874     0.020076     0.028083    0.0024909 M-Pericyte
Pericyte                              SET    1285     0.051602     0.013168      0.02775     0.031485 Pericyte
Pericyte-2                            SET    1264     0.086028     0.021786     0.028478    0.0012625 Pericyte-2
Oligo-A                               SET    1292     0.044289      0.01133     0.027561     0.054044 Oligo-A
Astrocyte-activated                   SET    1235     0.050095      0.01255      0.02832     0.038467 Astrocyte-activated
Vascular-SMC                          SET    1276     0.072258     0.018379     0.027802    0.0046798 Vascular-SMC
Arteriolar-SMC                        SET    1275     0.051961     0.013212     0.027819     0.030902 Arteriolar-SMC
Vascular-SMC-LINC00486                SET    1280     0.024628    0.0062732     0.027375      0.18417 Vascular-SMC-LINC00486
Trans-Endo-to-mural                   SET    1289     0.040108     0.010249      0.02785     0.074927 Trans-Endo-to-mural
Oligo-B                               SET    1270     0.063263     0.016056     0.027582     0.010912 Oligo-B
Perivascular-FB-KAZN2                 SET    1286      0.08697     0.022201     0.027735   0.00085886 Perivascular-FB-KAZN2
Perivascular-FB                       SET    1275       0.0653     0.016603     0.028016    0.0098873 Perivascular-FB
Meningeal-FB                          SET    1288       0.0534     0.013641     0.027441     0.025838 Meningeal-FB
Artirial-FB                           SET    1267     0.016294     0.004131     0.027662      0.27792 Artirial-FB
Pericyte-FB                           SET    1271     0.039245    0.0099638     0.027719     0.078429 Pericyte-FB
Capillary                             SET    1270     0.033135    0.0084097     0.027732      0.11608 Capillary
Arterial                              SET    1284      0.03786    0.0096575     0.027942      0.08773 Arterial
Venous                                SET    1281     0.016037    0.0040864     0.027712       0.2814 Venous
T-cell-mixed                          SET    1283     0.085269     0.021743     0.027503   0.00096842 T-cell-mixed
T-cell-vascular                       SET    1288     0.038394    0.0098079     0.027456     0.081007 T-cell-vascular
T-cell-parenchymal-1                  SET    1275     0.053901     0.013705     0.027556      0.02524 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1243    0.0033565   0.00084343     0.027622      0.45164 T-cell-parenchymal-2
Microglia-quiescent                   SET    1269     0.074736     0.018961     0.028021    0.0038293 Microglia-quiescent
Microglia-activated                   SET    1276     0.098973     0.025174     0.027411   0.00015318 Microglia-activated
Perivascular                          SET    1277     0.075808     0.019289     0.027484    0.0029088 Perivascular
Microglia-vascular                    SET    1283     0.074206     0.018922     0.026906    0.0029118 Microglia-vascular
Astrocyte-quiescent                   SET    1223     0.010142    0.0025295     0.028653      0.36169 Astrocyte-quiescent
OPC-A                                 SET    1224     0.042897     0.010702     0.029159     0.070639 OPC-A
OPC-B                                 SET    1255     0.042767     0.010795     0.028802       0.0688 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1251    0.0084806    0.0021374     0.028303      0.38223 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    1204    -0.034292   -0.0084904     0.029038      0.88118 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    1237     0.016335    0.0040956     0.028679      0.28448 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    1231   -0.0058264   -0.0014575     0.028409      0.58125 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1241     0.020585    0.0051689     0.028555      0.23549 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1224   -0.0030649  -0.00076468     0.028545      0.54275 Ex-Neuron-L6-THEMIS-NFIA
Ex-Neuron-L3-5-RORB-PLCH1             SET    1219     0.017332    0.0043161     0.028754      0.27333 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    1227     0.019165    0.0047869     0.028724      0.25233 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    1201      0.02053    0.0050771     0.028868       0.2385 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    1250   -0.0024111  -0.00060744     0.028705      0.53347 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    1266     0.025386    0.0064334     0.028553      0.18699 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1244     0.037589     0.009449     0.028744       0.0955 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    1269     0.041467     0.010521     0.028372     0.071938 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1236     0.027375    0.0068609     0.028605      0.16929 In-Neuron-DPP10-MEF2C
