# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET    1276     0.081335      0.02076     0.030861    0.0042039 T-Pericyte
M-Pericyte                            SET    1278     0.087919     0.022457      0.03094     0.002247 M-Pericyte
Pericyte                              SET    1285     0.055971     0.014333     0.030388     0.032754 Pericyte
Pericyte-2                            SET    1265     0.078043      0.01984      0.03097    0.0058732 Pericyte-2
Oligo-A                               SET    1291      0.05211     0.013373     0.030872     0.045719 Oligo-A
Astrocyte-activated                   SET    1235     0.078146     0.019647     0.031232    0.0061771 Astrocyte-activated
Vascular-SMC                          SET    1277     0.090303     0.023057     0.030219    0.0014045 Vascular-SMC
Arteriolar-SMC                        SET    1276      0.07081     0.018074     0.030671     0.010485 Arteriolar-SMC
Vascular-SMC-LINC00486                SET    1281     0.040556      0.01037     0.029807     0.086826 Vascular-SMC-LINC00486
Trans-Endo-to-mural                   SET    1292     0.066892     0.017172     0.030208     0.013408 Trans-Endo-to-mural
Oligo-B                               SET    1271     0.076323     0.019446      0.03017    0.0057116 Oligo-B
Perivascular-FB-KAZN2                 SET    1287     0.098202     0.025165      0.02995    0.0005221 Perivascular-FB-KAZN2
Perivascular-FB                       SET    1276     0.074644     0.019052     0.031151    0.0082887 Perivascular-FB
Meningeal-FB                          SET    1289     0.049145     0.012603     0.030324     0.052554 Meningeal-FB
Artirial-FB                           SET    1270     0.033515    0.0085358     0.030291      0.13428 Artirial-FB
Pericyte-FB                           SET    1274     0.043052     0.010981     0.030209     0.077071 Pericyte-FB
Capillary                             SET    1272     0.048521     0.012367     0.030775     0.057449 Capillary
Arterial                              SET    1285     0.061486     0.015745     0.031011     0.023708 Arterial
Venous                                SET    1284     0.040678     0.010413       0.0303      0.08972 Venous
T-cell-mixed                          SET    1283     0.097358     0.024913        0.031   0.00084445 T-cell-mixed
T-cell-vascular                       SET    1291     0.080547      0.02067     0.029957    0.0035895 T-cell-vascular
T-cell-parenchymal-1                  SET    1275     0.059305     0.015132     0.030094      0.02439 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1245    -0.013566   -0.0034234     0.029036      0.67982 T-cell-parenchymal-2
Microglia-quiescent                   SET    1270     0.063792     0.016247     0.030948     0.019648 Microglia-quiescent
Microglia-activated                   SET    1276     0.088913     0.022694     0.030716    0.0019002 Microglia-activated
Perivascular                          SET    1278     0.080643     0.020598     0.030811    0.0044348 Perivascular
Microglia-vascular                    SET    1286     0.082242     0.021067     0.029659    0.0027809 Microglia-vascular
Astrocyte-quiescent                   SET    1223    0.0039108   0.00097878     0.031492      0.45059 Astrocyte-quiescent
OPC-A                                 SET    1222     0.038515    0.0096356     0.032145      0.11544 OPC-A
OPC-B                                 SET    1253     0.048592     0.012299     0.032033     0.064649 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1251  -0.00061308  -0.00015506     0.031345       0.5078 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    1203    -0.053832     -0.01337     0.031549      0.95602 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    1237    -0.032019   -0.0080561     0.031023      0.84899 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    1231    -0.025298   -0.0063507     0.031105      0.79197 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1241       0.0165    0.0041577     0.031056      0.29761 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1226    -0.013139    -0.003292     0.030995      0.66418 Ex-Neuron-L6-THEMIS-NFIA
Ex-Neuron-L3-5-RORB-PLCH1             SET    1219   -0.0081943   -0.0020477     0.031531      0.60252 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    1229    0.0085924    0.0021554     0.031097      0.39116 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    1203    0.0067505    0.0016766     0.031192      0.41433 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    1250    -0.025808   -0.0065249      0.03131       0.7951 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    1266     0.010529    0.0026777     0.031657      0.36972 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1244    0.0023042   0.00058126     0.031717      0.47104 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    1269       0.0147    0.0037425     0.031648      0.32115 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1236    0.0069739     0.001754     0.031109      0.41131 In-Neuron-DPP10-MEF2C
