# TOTAL_GENES = 18473
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET    1285     0.032856    0.0083591      0.02909      0.12936 Arterial
Arteriolar-SMC                        SET    1276     0.037326    0.0094653     0.028946      0.09862 Arteriolar-SMC
Artirial-FB                           SET    1271    0.0083693    0.0021185     0.028682      0.38522 Artirial-FB
Astrocyte-activated                   SET    1237     0.092499     0.023121     0.029648   0.00090629 Astrocyte-activated
Astrocyte-quiescent                   SET    1225     0.013665    0.0034003     0.029874      0.32369 Astrocyte-quiescent
Capillary                             SET    1274    0.0026943   0.00068273     0.029133      0.46316 Capillary
Ex-Neuron-ADARB2-ERBB4                SET    1204     0.046178     0.011399     0.029693     0.059958 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1204     0.024248    0.0059855     0.029357      0.20442 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1229     0.065694     0.016372     0.029663     0.013397 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1251     0.026645    0.0066952     0.029339       0.1819 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1220      0.02043    0.0050741       0.0297      0.24577 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1241     0.047316     0.011845     0.029538     0.054606 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1226     0.042167     0.010497     0.029353      0.07543 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1249     0.047025     0.011807      0.02978      0.05717 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1243     0.049226     0.012332     0.030043     0.050665 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1230     0.026728    0.0066635     0.029427      0.18187 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1268     0.061403     0.015526     0.029715     0.019403 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1237      0.07101      0.01775     0.029156    0.0074411 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1238     0.043815     0.010956     0.029248     0.067072 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1266     0.049402     0.012482     0.029853     0.048985 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET    1278     0.022939    0.0058214     0.029083      0.21513 M-Pericyte
Meningeal-FB                          SET    1290     0.072346     0.018439     0.028501    0.0055735 Meningeal-FB
Microglia-activated                   SET    1278     0.065194     0.016544     0.028794      0.01179 Microglia-activated
Microglia-quiescent                   SET    1270     0.074032     0.018733     0.029222    0.0056525 Microglia-quiescent
Microglia-vascular                    SET    1287     -0.01378   -0.0035083     0.028145      0.68779 Microglia-vascular
OPC-A                                 SET    1224     0.031535    0.0078441     0.030119      0.14755 OPC-A
OPC-B                                 SET    1255     0.061878     0.015571     0.029856     0.019114 OPC-B
Oligo-A                               SET    1292      0.03764    0.0096002     0.028729     0.095076 Oligo-A
Oligo-B                               SET    1272     0.049947     0.012647     0.028806     0.041478 Oligo-B
Pericyte                              SET    1286     0.030327    0.0077184      0.02859      0.14441 Pericyte
Pericyte-2                            SET    1265      0.03532    0.0089209     0.029675      0.11699 Pericyte-2
Pericyte-FB                           SET    1273     0.020701    0.0052437     0.028822      0.23632 Pericyte-FB
Perivascular                          SET    1279     0.046913     0.011909     0.028688     0.051005 Perivascular
Perivascular-FB                       SET    1276     0.040706     0.010322     0.029274     0.082194 Perivascular-FB
Perivascular-FB-KAZN2                 SET    1288     0.067041     0.017075     0.028617    0.0095776 Perivascular-FB-KAZN2
T-Pericyte                            SET    1276     0.046387     0.011763     0.029182     0.055977 T-Pericyte
T-cell-mixed                          SET    1283     0.060339      0.01534     0.029255     0.019589 T-cell-mixed
T-cell-parenchymal-1                  SET    1275     0.043323     0.010982     0.028559     0.064649 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1247    0.0091314    0.0022911     0.027965      0.37202 T-cell-parenchymal-2
T-cell-vascular                       SET    1291     0.032232     0.008218     0.028329      0.12762 T-cell-vascular
Trans-Endo-to-mural                   SET    1293     0.015405    0.0039305     0.028848      0.29667 Trans-Endo-to-mural
Vascular-SMC                          SET    1277     0.061826     0.015684     0.028789     0.015882 Vascular-SMC
Vascular-SMC-LINC00486                SET    1281     0.080496      0.02045      0.02852    0.0023862 Vascular-SMC-LINC00486
Venous                                SET    1285    -0.017633   -0.0044861       0.0287      0.73052 Venous
