# MEAN_SAMPLE_SIZE = 36989
# TOTAL_GENES = 18934
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET    1292      0.11406     0.028761     0.030085   7.5312e-05 Arterial
Arteriolar-SMC                        SET    1300      0.13665     0.034556     0.029803   2.2906e-06 Arteriolar-SMC
Artirial-FB                           SET    1295   -0.0048359   -0.0012207     0.029936      0.56416 Artirial-FB
Astrocyte-activated                   SET    1264     0.063815     0.015929     0.030405     0.017924 Astrocyte-activated
Astrocyte-quiescent                   SET    1252     0.081592     0.020276     0.030779    0.0040186 Astrocyte-quiescent
Capillary                             SET    1292      0.10158     0.025614     0.029985   0.00035348 Capillary
Ex-Neuron-ADARB2-ERBB4                SET    1268      0.11672     0.029177      0.03015   5.4408e-05 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1242      0.17642     0.043677     0.030841    5.438e-09 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1263      0.13417     0.033477     0.030374     5.04e-06 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1285      0.16314     0.041033     0.030198   3.3451e-08 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1253      0.15774     0.039214     0.030782    1.513e-07 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1272        0.181     0.045311     0.030642    1.786e-09 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1266      0.14176      0.03541     0.030553   1.7614e-06 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1290      0.12735      0.03209     0.030079   1.1559e-05 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1293      0.15594     0.039335     0.030167   1.1925e-07 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1288      0.20261     0.051017     0.030525   1.6563e-11 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1305      0.17162     0.043476     0.029946   5.1041e-09 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1291      0.14897     0.037552     0.030359   4.6788e-07 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1291      0.17876     0.045061     0.030275   1.8093e-09 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1307      0.15804     0.040065     0.029932   6.5626e-08 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET    1305      0.11403     0.028887     0.030088    7.572e-05 M-Pericyte
Meningeal-FB                          SET    1311      0.16357     0.041527     0.029948   2.3965e-08 Meningeal-FB
Microglia-activated                   SET    1299     0.030432    0.0076928     0.029775      0.15339 Microglia-activated
Microglia-quiescent                   SET    1297     0.063641     0.016076     0.029602     0.015791 Microglia-quiescent
Microglia-vascular                    SET    1308       0.0663     0.016814     0.029486     0.012279 Microglia-vascular
OPC-A                                 SET    1261      0.10714     0.026715     0.030667   0.00023884 OPC-A
OPC-B                                 SET    1289      0.12006     0.030241     0.030314   3.7605e-05 OPC-B
Oligo-A                               SET    1311     0.099758     0.025326     0.029736   0.00039828 Oligo-A
Oligo-B                               SET    1291      0.10565     0.026631     0.029999   0.00021508 Oligo-B
Pericyte                              SET    1307      0.10866     0.027545     0.030132   0.00015605 Pericyte
Pericyte-2                            SET    1297     0.083196     0.021016      0.03052    0.0032099 Pericyte-2
Pericyte-FB                           SET    1301      0.05009     0.012671     0.029694     0.045824 Pericyte-FB
Perivascular                          SET    1303     0.087155     0.022064     0.029491    0.0015644 Perivascular
Perivascular-FB                       SET    1301     0.059575     0.015071     0.030068     0.023787 Perivascular-FB
Perivascular-FB-KAZN2                 SET    1314      0.13252     0.033678     0.029595   3.8037e-06 Perivascular-FB-KAZN2
T-Pericyte                            SET    1299     0.095919     0.024247     0.030208    0.0007502 T-Pericyte
T-cell-mixed                          SET    1302     0.078318     0.019819     0.029898    0.0044079 T-cell-mixed
T-cell-parenchymal-1                  SET    1296     0.062941     0.015894     0.029723     0.017115 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1267     0.030877    0.0077157     0.030215      0.15342 T-cell-parenchymal-2
T-cell-vascular                       SET    1308     0.069622     0.017656     0.029749    0.0096403 T-cell-vascular
Trans-Endo-to-mural                   SET    1311     0.041914     0.010641     0.029902     0.080515 Trans-Endo-to-mural
Vascular-SMC                          SET    1300      0.12081     0.030549     0.029927    2.726e-05 Vascular-SMC
Vascular-SMC-LINC00486                SET    1305      0.13734     0.034792     0.029706   1.9069e-06 Vascular-SMC-LINC00486
Venous                                SET    1302     0.054481     0.013787     0.029925     0.034346 Venous
