# MEAN_SAMPLE_SIZE = 11226
# TOTAL_GENES = 18369
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET    1286      0.04677     0.011934     0.025974     0.035892 Arterial
Arteriolar-SMC                        SET    1276   -0.0075837   -0.0019282     0.026536      0.61248 Arteriolar-SMC
Artirial-FB                           SET    1271     0.039759      0.01009     0.026019     0.063262 Artirial-FB
Astrocyte-activated                   SET    1235     0.043941     0.011004     0.026528      0.04883 Astrocyte-activated
Astrocyte-quiescent                   SET    1224     0.035627    0.0088851     0.026753      0.09149 Astrocyte-quiescent
Capillary                             SET    1273     0.026333     0.006688     0.025795      0.15366 Capillary
Ex-Neuron-ADARB2-ERBB4                SET    1202     0.041451     0.010251     0.027109     0.063142 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1202    0.0027673   0.00068435     0.026544      0.45848 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1228     0.017012    0.0042492     0.026931       0.2638 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1250     0.018453    0.0046471     0.026436      0.24259 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1219   -0.0099059   -0.0024658     0.026958      0.64336 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1240     0.017728    0.0044481     0.026662      0.25306 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1225    -0.030377   -0.0075786     0.026532      0.87386 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1249     0.029057    0.0073148     0.026982      0.14078 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1243     0.041114     0.010327     0.027276     0.065875 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1229    -0.014711   -0.0036759     0.027069       0.7066 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1269     0.052775     0.013384     0.026932     0.025032 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1237     0.023071     0.005782     0.026824      0.19488 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1238     0.021129    0.0052973     0.026635      0.21382 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1266     0.010779    0.0027305     0.026876      0.34419 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET    1278     0.024658    0.0062737     0.026427       0.1754 M-Pericyte
Meningeal-FB                          SET    1290     0.028312    0.0072346     0.025527      0.13371 Meningeal-FB
Microglia-activated                   SET    1276     0.020272    0.0051541      0.02621      0.21964 Microglia-activated
Microglia-quiescent                   SET    1270     0.022568    0.0057255     0.026364        0.196 Microglia-quiescent
Microglia-vascular                    SET    1284      0.01301    0.0033175     0.025351      0.30391 Microglia-vascular
OPC-A                                 SET    1224     0.056849     0.014178     0.027753     0.020271 OPC-A
OPC-B                                 SET    1255     0.075092     0.018946     0.027262    0.0029435 OPC-B
Oligo-A                               SET    1292     0.074206     0.018976     0.025848    0.0020496 Oligo-A
Oligo-B                               SET    1273     0.060217     0.015293     0.025953     0.010171 Oligo-B
Pericyte                              SET    1287    -0.013632   -0.0034798     0.025738      0.70182 Pericyte
Pericyte-2                            SET    1265    -0.009822   -0.0024873     0.026465      0.64473 Pericyte-2
Pericyte-FB                           SET    1272    -0.012206   -0.0030989     0.025876      0.68143 Pericyte-FB
Perivascular                          SET    1277   -0.0043976   -0.0011185     0.025869      0.56749 Perivascular
Perivascular-FB                       SET    1275     0.032734    0.0083196     0.026121      0.10508 Perivascular-FB
Perivascular-FB-KAZN2                 SET    1288     0.017634    0.0045028     0.025449       0.2442 Perivascular-FB-KAZN2
T-Pericyte                            SET    1276     0.011539    0.0029339     0.026163      0.32959 T-Pericyte
T-cell-mixed                          SET    1284     0.027725    0.0070696      0.02582      0.14146 T-cell-mixed
T-cell-parenchymal-1                  SET    1276      0.02623    0.0066689     0.025641      0.15317 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1245     0.013793    0.0034671     0.025694       0.2957 T-cell-parenchymal-2
T-cell-vascular                       SET    1290     0.020218    0.0051664      0.02562      0.21502 T-cell-vascular
Trans-Endo-to-mural                   SET    1293     0.054254     0.013879     0.026071     0.018724 Trans-Endo-to-mural
Vascular-SMC                          SET    1278    -0.011793   -0.0030005     0.026165       0.6739 Vascular-SMC
Vascular-SMC-LINC00486                SET    1282    -0.023951   -0.0061027      0.02551      0.82609 Vascular-SMC-LINC00486
Venous                                SET    1286     0.035275    0.0090011     0.025433     0.082738 Venous
