# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET     262     0.034155    0.0040518     0.059877       0.2842 T-Pericyte
M-Pericyte                            SET     261   -0.0043014   -0.0005093     0.060736      0.52823 M-Pericyte
Pericyte                              SET     262     0.032309    0.0038328     0.060195      0.29573 Pericyte
Pericyte-2                            SET     257     0.092138     0.010827     0.060866     0.065053 Pericyte-2
Oligo-A                               SET     254    -0.011611   -0.0013565     0.061016      0.57546 Oligo-A
Astrocyte-activated                   SET     247     0.029228    0.0033679     0.061599      0.31758 Astrocyte-activated
Vascular-SMC                          SET     258   -0.0039658   -0.0004669     0.061472      0.52572 Vascular-SMC
Arteriolar-SMC                        SET     256    -0.013658   -0.0016018     0.060478      0.58933 Arteriolar-SMC
Vascular-SMC-LINC00486                SET     251     -0.02246   -0.0026086     0.061642       0.6422 Vascular-SMC-LINC00486
Trans-Endo-to-mural                   SET     263     0.022606    0.0026868     0.059688      0.35244 Trans-Endo-to-mural
Oligo-B                               SET     242      0.04828    0.0055074     0.060296      0.21166 Oligo-B
Perivascular-FB-KAZN2                 SET     257    0.0021029   0.00024711     0.061338      0.48633 Perivascular-FB-KAZN2
Perivascular-FB                       SET     249   -0.0025067     -0.00029     0.060659      0.51648 Perivascular-FB
Meningeal-FB                          SET     264    -0.075434   -0.0089821     0.060471      0.89387 Meningeal-FB
Artirial-FB                           SET     255    -0.023566   -0.0027585     0.058693      0.65598 Artirial-FB
Pericyte-FB                           SET     255    -0.015218   -0.0017814     0.058887      0.60196 Pericyte-FB
Capillary                             SET     257    0.0018159   0.00021338     0.062171      0.48835 Capillary
Arterial                              SET     259    -0.015457   -0.0018232     0.061647      0.59899 Arterial
Venous                                SET     258   -0.0060795  -0.00071576     0.061435      0.53941 Venous
T-cell-mixed                          SET     262      0.13359     0.015847     0.057172    0.0097373 T-cell-mixed
T-cell-vascular                       SET     261      0.12361     0.014635     0.057396     0.015645 T-cell-vascular
T-cell-parenchymal-1                  SET     248       0.1645     0.018994     0.058791    0.0025732 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     248     0.099203     0.011454     0.059323     0.047248 T-cell-parenchymal-2
Microglia-quiescent                   SET     256     0.080092    0.0093932     0.061626      0.09687 Microglia-quiescent
Microglia-activated                   SET     247      0.15002     0.017287     0.059406    0.0057841 Microglia-activated
Perivascular                          SET     260       0.2013      0.02379     0.056999   0.00020705 Perivascular
Microglia-vascular                    SET     258      0.14394     0.016947     0.057003    0.0057867 Microglia-vascular
Astrocyte-quiescent                   SET     250    -0.058833   -0.0068197      0.06057       0.8343 Astrocyte-quiescent
OPC-A                                 SET     250    -0.029015   -0.0033634     0.063862      0.67521 OPC-A
OPC-B                                 SET     258    -0.067906   -0.0079947     0.063366      0.85805 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     254     0.013587    0.0015874     0.063351      0.41509 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET     243    -0.080431   -0.0091937     0.064423      0.89406 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET     252        0.076    0.0088445     0.063263      0.11482 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET     252     0.084373    0.0098189      0.06366     0.092534 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     251     0.079683    0.0092549     0.064799      0.10941 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     252     0.073841    0.0085932     0.063218       0.1214 Ex-Neuron-L6-THEMIS-NFIA
Ex-Neuron-L3-5-RORB-PLCH1             SET     248     0.068962    0.0079624     0.064537      0.14264 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET     249     0.093497     0.010817     0.064704      0.07424 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET     231    -0.027907   -0.0031112      0.06471      0.66686 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET     256    0.0044387   0.00052057     0.063776      0.47226 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET     254     0.081593    0.0095324     0.065089      0.10501 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     252     0.048178    0.0056067     0.064214      0.22655 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET     248     0.081449     0.009404      0.06455      0.10352 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     249    -0.047552   -0.0055012     0.063568      0.77278 In-Neuron-DPP10-MEF2C
