# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET     262   -0.0066347  -0.00079152     0.065156      0.54055 T-Pericyte
M-Pericyte                            SET     261    -0.031221   -0.0037176     0.065819      0.68237 M-Pericyte
Pericyte                              SET     262     0.020464    0.0024414     0.065854        0.378 Pericyte
Pericyte-2                            SET     257     0.060855    0.0071913       0.0655      0.17643 Pericyte-2
Oligo-A                               SET     254    -0.024632    -0.002894     0.065963      0.64558 Oligo-A
Astrocyte-activated                   SET     247     0.025179    0.0029178     0.066277      0.35201 Astrocyte-activated
Vascular-SMC                          SET     258     0.033275    0.0039397     0.065435      0.30555 Vascular-SMC
Arteriolar-SMC                        SET     256    0.0047126   0.00055582     0.065788      0.47145 Arteriolar-SMC
Vascular-SMC-LINC00486                SET     251    0.0062131   0.00072571     0.066373      0.46271 Vascular-SMC-LINC00486
Trans-Endo-to-mural                   SET     263    -0.028238   -0.0033751     0.065038      0.66792 Trans-Endo-to-mural
Oligo-B                               SET     242     0.034407    0.0039472      0.06671      0.30301 Oligo-B
Perivascular-FB-KAZN2                 SET     257    0.0097342    0.0011503     0.067108      0.44233 Perivascular-FB-KAZN2
Perivascular-FB                       SET     249      0.02293    0.0026678     0.067588      0.36721 Perivascular-FB
Meningeal-FB                          SET     264    -0.087562    -0.010485     0.065514      0.90931 Meningeal-FB
Artirial-FB                           SET     255    -0.046277   -0.0054477     0.066101      0.75806 Artirial-FB
Pericyte-FB                           SET     255    -0.042714   -0.0050282     0.064736      0.74531 Pericyte-FB
Capillary                             SET     257    0.0035037   0.00041404     0.066822      0.47909 Capillary
Arterial                              SET     259    -0.026648   -0.0031611     0.067047      0.65448 Arterial
Venous                                SET     258     0.029213    0.0034588     0.066222      0.32956 Venous
T-cell-mixed                          SET     262      0.15005     0.017901     0.064664     0.010163 T-cell-mixed
T-cell-vascular                       SET     261      0.10483     0.012483     0.064365     0.051692 T-cell-vascular
T-cell-parenchymal-1                  SET     248      0.17087      0.01984     0.065571     0.004586 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     248      0.12747     0.014801     0.064591     0.024223 T-cell-parenchymal-2
Microglia-quiescent                   SET     256      0.02561    0.0030206     0.067335      0.35185 Microglia-quiescent
Microglia-activated                   SET     247     0.086829     0.010062     0.066105     0.094517 Microglia-activated
Perivascular                          SET     260      0.16311     0.019386      0.06427    0.0055793 Perivascular
Microglia-vascular                    SET     258      0.11823     0.013998      0.06321      0.03072 Microglia-vascular
Astrocyte-quiescent                   SET     250    -0.062895    -0.007332     0.065756      0.83058 Astrocyte-quiescent
OPC-A                                 SET     250    0.0060793   0.00070869     0.069088      0.46494 OPC-A
OPC-B                                 SET     258   -0.0091903   -0.0010881     0.068405      0.55344 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     254     0.065887     0.007741     0.068491      0.16804 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET     243    -0.043458   -0.0049956     0.069237      0.73488 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET     252      0.07094    0.0083024     0.068836      0.15138 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET     252      0.11287      0.01321     0.068131     0.048798 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     251      0.10946     0.012786     0.069631     0.057978 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     252       0.1542     0.018047     0.068937     0.012653 Ex-Neuron-L6-THEMIS-NFIA
Ex-Neuron-L3-5-RORB-PLCH1             SET     248      0.10319     0.011982     0.069337     0.068357 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET     249      0.11275     0.013118     0.069363     0.052034 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET     231    -0.088451   -0.0099168     0.070125       0.8964 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET     256     0.018037    0.0021273     0.068393        0.396 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET     254     0.097662     0.011474      0.06909     0.078755 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     252     0.088888     0.010403     0.068769     0.098091 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET     248      0.12849     0.014919     0.069375     0.032016 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     249    -0.072461   -0.0084305     0.067988      0.85674 In-Neuron-DPP10-MEF2C
