# MEAN_SAMPLE_SIZE = 36989
# TOTAL_GENES = 18934
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET     263   -0.0085823   -0.0010045     0.065823      0.55187 Arterial
Arteriolar-SMC                        SET     261      0.14245      0.01661     0.068276      0.01848 Arteriolar-SMC
Artirial-FB                           SET     260     -0.15782    -0.018366     0.062791      0.99401 Artirial-FB
Astrocyte-activated                   SET     251     0.074965    0.0085741     0.065764      0.12717 Astrocyte-activated
Astrocyte-quiescent                   SET     251      0.11896     0.013606     0.066008     0.035768 Astrocyte-quiescent
Capillary                             SET     263    0.0067299   0.00078766     0.065455      0.45905 Capillary
Ex-Neuron-ADARB2-ERBB4                SET     256      0.15503     0.017905     0.067075     0.010415 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET     236      0.17792     0.019739     0.066779     0.003863 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET     256      0.29179       0.0337      0.06877   1.1103e-05 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     258       0.3179     0.036856     0.067693   1.3383e-06 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     253       0.2568     0.029487     0.069461   0.00010948 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     256      0.30609     0.035351     0.068694   4.2118e-06 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     257      0.28422     0.032888      0.06768   1.3468e-05 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     263      0.33047     0.038678     0.067978   5.8932e-07 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     261      0.24127     0.028132     0.067957   0.00019298 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     258      0.21535     0.024967     0.068711   0.00086368 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     256       0.1376     0.015892     0.069856      0.02444 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     261      0.15531     0.018109     0.066655    0.0099101 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     263      0.29612     0.034657     0.067827   6.3814e-06 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     261      0.24258     0.028285     0.069173   0.00022743 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET     265      0.12691     0.014909     0.066722     0.028588 M-Pericyte
Meningeal-FB                          SET     269     0.069718     0.008251     0.064893      0.14134 Meningeal-FB
Microglia-activated                   SET     257     -0.14108    -0.016325     0.062361      0.98815 Microglia-activated
Microglia-quiescent                   SET     259     -0.04062   -0.0047184     0.064831      0.73452 Microglia-quiescent
Microglia-vascular                    SET     264     -0.04187   -0.0049096     0.061812      0.75091 Microglia-vascular
OPC-A                                 SET     255       0.1296     0.014939     0.068243     0.028782 OPC-A
OPC-B                                 SET     262      0.15649     0.018281     0.067412      0.01014 OPC-B
Oligo-A                               SET     260      0.17288      0.02012     0.068435    0.0057701 Oligo-A
Oligo-B                               SET     249      0.15755     0.017949     0.067297    0.0096194 Oligo-B
Pericyte                              SET     267      0.16092     0.018974     0.066378     0.007677 Pericyte
Pericyte-2                            SET     261      0.14853     0.017318     0.067453     0.013843 Pericyte-2
Pericyte-FB                           SET     258    -0.069604   -0.0080696     0.064526      0.85963 Pericyte-FB
Perivascular                          SET     267    0.0097865     0.001154      0.06202      0.43731 Perivascular
Perivascular-FB                       SET     255    -0.028798   -0.0033195     0.065119      0.67084 Perivascular-FB
Perivascular-FB-KAZN2                 SET     261      0.13663     0.015931     0.066324     0.019704 Perivascular-FB-KAZN2
T-Pericyte                            SET     267      0.16609     0.019585     0.066771    0.0064383 T-Pericyte
T-cell-mixed                          SET     264      0.04126    0.0048381     0.063076      0.25652 T-cell-mixed
T-cell-parenchymal-1                  SET     254     0.058667    0.0067495     0.065008      0.18341 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     252   -0.0077764  -0.00089117     0.064941      0.54766 T-cell-parenchymal-2
T-cell-vascular                       SET     264    -0.014576   -0.0017092     0.063456      0.59084 T-cell-vascular
Trans-Endo-to-mural                   SET     266    -0.067275    -0.007918     0.062853      0.85776 Trans-Endo-to-mural
Vascular-SMC                          SET     264      0.21737     0.025488     0.066993   0.00058941 Vascular-SMC
Vascular-SMC-LINC00486                SET     260      0.19781      0.02302     0.066236    0.0014141 Vascular-SMC-LINC00486
Venous                                SET     263    -0.012196   -0.0014275     0.065807      0.57352 Venous
