# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET    1372     0.077189     0.020266     0.027569    0.0025597 T-Pericyte
M-Pericyte                            SET    1382     0.069907     0.018415     0.027421    0.0054009 M-Pericyte
Pericyte                              SET    1385     0.060287     0.015897     0.027106     0.013077 Pericyte
Pericyte-2                            SET    1364     0.098766     0.025861     0.027902   0.00020085 Pericyte-2
Oligo-A                               SET    1393     0.049943     0.013204      0.02699     0.032139 Oligo-A
Astrocyte-activated                   SET    1340     0.046362     0.012041     0.027708      0.04715 Astrocyte-activated
Vascular-SMC                          SET    1379     0.072343     0.019038     0.027125    0.0038299 Vascular-SMC
Arteriolar-SMC                        SET    1378     0.054345     0.014297     0.027117     0.022538 Arteriolar-SMC
Vascular-SMC-LINC00486                SET    1387     0.038991     0.010288     0.026871     0.073399 Vascular-SMC-LINC00486
Trans-Endo-to-mural                   SET    1389     0.037603    0.0099284     0.027156     0.083086 Trans-Endo-to-mural
Oligo-B                               SET    1368     0.069968     0.018345     0.027109    0.0049302 Oligo-B
Perivascular-FB-KAZN2                 SET    1387     0.090965     0.024002     0.027187   0.00041109 Perivascular-FB-KAZN2
Perivascular-FB                       SET    1379     0.055769     0.014676     0.027293     0.020517 Perivascular-FB
Meningeal-FB                          SET    1395     0.045402     0.012011     0.026858     0.045481 Meningeal-FB
Artirial-FB                           SET    1374     0.013094      0.00344     0.027044      0.31414 Artirial-FB
Pericyte-FB                           SET    1376     0.035836    0.0094213     0.027319     0.094807 Pericyte-FB
Capillary                             SET    1376     0.022244    0.0058479     0.027241       0.2071 Capillary
Arterial                              SET    1386     0.029876    0.0078805     0.027268      0.13663 Arterial
Venous                                SET    1382    0.0079051    0.0020824     0.027049      0.38505 Venous
T-cell-mixed                          SET    1382     0.073366     0.019326     0.026908    0.0032031 T-cell-mixed
T-cell-vascular                       SET    1394     0.040366     0.010676     0.026746     0.065627 T-cell-vascular
T-cell-parenchymal-1                  SET    1377     0.060945     0.016028     0.027021     0.012059 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1347     0.015471    0.0040276     0.026679        0.281 T-cell-parenchymal-2
Microglia-quiescent                   SET    1374     0.073731     0.019371     0.027245    0.0034061 Microglia-quiescent
Microglia-activated                   SET    1378     0.096173       0.0253      0.02669   0.00015755 Microglia-activated
Perivascular                          SET    1381     0.066131     0.017414     0.026783    0.0067773 Perivascular
Microglia-vascular                    SET    1391     0.063584       0.0168     0.026304    0.0078252 Microglia-vascular
Astrocyte-quiescent                   SET    1309   -0.0022139  -0.00056879     0.028003      0.53151 Astrocyte-quiescent
OPC-A                                 SET    1326     0.036455    0.0094218     0.028466      0.10017 OPC-A
OPC-B                                 SET    1353     0.044544      0.01162     0.028098     0.056456 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1349    0.0082714    0.0021548     0.027748      0.38282 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    1297    -0.023102   -0.0059101     0.028477      0.79138 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    1335     0.011884    0.0030812      0.02805       0.3359 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    1325   -0.0050961   -0.0013166     0.027958      0.57232 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1336     0.024466    0.0063453     0.027905      0.19031 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1324   -0.0051206   -0.0013225     0.027884      0.57285 Ex-Neuron-L6-THEMIS-NFIA
Ex-Neuron-L3-5-RORB-PLCH1             SET    1314     0.018965     0.004881     0.028156       0.2503 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    1320     0.019774       0.0051     0.028075      0.24062 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    1299     0.016897    0.0043258     0.028302      0.27525 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    1346   -0.0090647    -0.002359     0.028186      0.62612 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    1366     0.026164    0.0068555     0.028003      0.17507 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1344     0.033503    0.0087129     0.028005       0.1158 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    1365     0.039041     0.010226      0.02779     0.080044 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1341     0.021209    0.0055101     0.027912      0.22368 In-Neuron-DPP10-MEF2C
