# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET    1372     0.079166     0.020821     0.027186    0.0017982 T-Pericyte
M-Pericyte                            SET    1382     0.072046     0.019012     0.027042    0.0038627 M-Pericyte
Pericyte                              SET    1385     0.060697     0.016033     0.026729     0.011586 Pericyte
Pericyte-2                            SET    1363       0.1003       0.0263     0.027539   0.00013569 Pericyte-2
Oligo-A                               SET    1393     0.051041     0.013518     0.026616     0.027583 Oligo-A
Astrocyte-activated                   SET    1338     0.048898     0.012713     0.027349     0.036903 Astrocyte-activated
Vascular-SMC                          SET    1378     0.074042     0.019512     0.026771    0.0028432 Vascular-SMC
Arteriolar-SMC                        SET    1377     0.055416     0.014599      0.02675     0.019159 Arteriolar-SMC
Vascular-SMC-LINC00486                SET    1386     0.039862     0.010533     0.026507     0.066322 Vascular-SMC-LINC00486
Trans-Endo-to-mural                   SET    1385     0.037416    0.0098833     0.026845     0.081703 Trans-Endo-to-mural
Oligo-B                               SET    1366     0.068401     0.017954     0.026749    0.0052813 Oligo-B
Perivascular-FB-KAZN2                 SET    1386     0.090765     0.023983     0.026812    0.0003565 Perivascular-FB-KAZN2
Perivascular-FB                       SET    1378     0.056018     0.014763     0.026916     0.018714 Perivascular-FB
Meningeal-FB                          SET    1394     0.045463     0.012045     0.026488      0.04306 Meningeal-FB
Artirial-FB                           SET    1370    0.0095434    0.0025083     0.026726      0.36052 Artirial-FB
Pericyte-FB                           SET    1373     0.033346     0.008773      0.02696      0.10808 Pericyte-FB
Capillary                             SET    1373     0.022965     0.006042     0.026932      0.19691 Capillary
Arterial                              SET    1384     0.031166    0.0082296     0.026932       0.1236 Arterial
Venous                                SET    1379    0.0050151    0.0013221      0.02674      0.42562 Venous
T-cell-mixed                          SET    1382     0.075308     0.019873     0.026533    0.0022708 T-cell-mixed
T-cell-vascular                       SET    1391     0.040508     0.010721     0.026408     0.062531 T-cell-vascular
T-cell-parenchymal-1                  SET    1377     0.061433     0.016184     0.026646     0.010574 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1344     0.017245    0.0044926     0.026362      0.25651 T-cell-parenchymal-2
Microglia-quiescent                   SET    1373     0.074272      0.01954     0.026868    0.0028556 Microglia-quiescent
Microglia-activated                   SET    1377     0.098166     0.025861     0.026339   9.7219e-05 Microglia-activated
Perivascular                          SET    1380     0.067122     0.017701     0.026412     0.005527 Perivascular
Microglia-vascular                    SET    1388     0.061818     0.016345     0.025972     0.008659 Microglia-vascular
Astrocyte-quiescent                   SET    1308    0.0010365   0.00026666     0.027638      0.48504 Astrocyte-quiescent
OPC-A                                 SET    1326     0.038931      0.01008      0.02807     0.082744 OPC-A
OPC-B                                 SET    1353     0.047321     0.012366     0.027708      0.04384 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1349     0.010012    0.0026127     0.027358       0.3572 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    1297     -0.01988    -0.005095     0.028081      0.76051 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    1335     0.015772    0.0040962      0.02766      0.28428 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    1325   -0.0010784  -0.00027912     0.027568       0.5156 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1336     0.027208    0.0070689     0.027504      0.16128 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1322   -0.0020797  -0.00053771     0.027545      0.53009 Ex-Neuron-L6-THEMIS-NFIA
Ex-Neuron-L3-5-RORB-PLCH1             SET    1314     0.022218    0.0057283     0.027749      0.21167 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    1318     0.023473    0.0060603     0.027723      0.19859 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    1296     0.017818    0.0045647     0.027952      0.26192 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    1346   -0.0049662   -0.0012947     0.027792      0.57091 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    1366     0.029771    0.0078143     0.027613      0.14049 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1344     0.035874     0.009346     0.027611     0.096936 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    1365     0.040568     0.010645     0.027403     0.069389 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1341     0.024741    0.0064389     0.027524      0.18437 In-Neuron-DPP10-MEF2C
