# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
T-Pericyte                            SET    1372     0.084966     0.022424     0.029687    0.0021067 T-Pericyte
M-Pericyte                            SET    1382     0.090022     0.023838     0.029796    0.0012605 M-Pericyte
Pericyte                              SET    1385     0.064208     0.017019     0.029266     0.014127 Pericyte
Pericyte-2                            SET    1364      0.10251     0.026982     0.029851   0.00029793 Pericyte-2
Oligo-A                               SET    1392     0.058778     0.015616     0.029837     0.024429 Oligo-A
Astrocyte-activated                   SET    1339     0.077464     0.020217      0.03009    0.0050241 Astrocyte-activated
Vascular-SMC                          SET    1379     0.096765     0.025598      0.02918   0.00045731 Vascular-SMC
Arteriolar-SMC                        SET    1378     0.077605     0.020523     0.029446    0.0042038 Arteriolar-SMC
Vascular-SMC-LINC00486                SET    1387     0.049015     0.013001     0.028685     0.043756 Vascular-SMC-LINC00486
Trans-Endo-to-mural                   SET    1389     0.068379     0.018149     0.029155    0.0095101 Trans-Endo-to-mural
Oligo-B                               SET    1367     0.080276     0.021151     0.029187    0.0029795 Oligo-B
Perivascular-FB-KAZN2                 SET    1387      0.10217     0.027099     0.028868   0.00020119 Perivascular-FB-KAZN2
Perivascular-FB                       SET    1379     0.069508     0.018387     0.029912     0.010074 Perivascular-FB
Meningeal-FB                          SET    1395     0.043638     0.011605     0.029351     0.068549 Meningeal-FB
Artirial-FB                           SET    1374     0.030938    0.0081706     0.029278      0.14533 Artirial-FB
Pericyte-FB                           SET    1376     0.039643     0.010477     0.029214       0.0874 Pericyte-FB
Capillary                             SET    1375     0.045067     0.011906     0.029726     0.064754 Capillary
Arterial                              SET    1386     0.045972      0.01219     0.029761     0.061217 Arterial
Venous                                SET    1382     0.027563    0.0072987     0.029319      0.17359 Venous
T-cell-mixed                          SET    1382     0.084277     0.022316     0.029895    0.0024104 T-cell-mixed
T-cell-vascular                       SET    1394     0.081772     0.021739     0.028791    0.0022572 T-cell-vascular
T-cell-parenchymal-1                  SET    1377     0.061884      0.01636     0.028936      0.01624 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1346    -0.014275   -0.0037345     0.027967      0.69512 T-cell-parenchymal-2
Microglia-quiescent                   SET    1374     0.068378     0.018058     0.029527      0.01029 Microglia-quiescent
Microglia-activated                   SET    1377      0.09296     0.024575     0.029613   0.00084852 Microglia-activated
Perivascular                          SET    1381     0.070707     0.018717      0.02957    0.0084028 Perivascular
Microglia-vascular                    SET    1391     0.079379     0.021082      0.02859     0.002751 Microglia-vascular
Astrocyte-quiescent                   SET    1307   -0.0081193   -0.0020955     0.030446      0.60514 Astrocyte-quiescent
OPC-A                                 SET    1324     0.032776    0.0085095     0.030804      0.14367 OPC-A
OPC-B                                 SET    1351     0.052069     0.013645     0.030942     0.046215 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1349    0.0062615    0.0016397     0.030055      0.41749 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    1296    -0.040598    -0.010437      0.03041      0.90906 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    1335    -0.031372   -0.0081761     0.030033      0.85188 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    1325    -0.013866   -0.0036013     0.030031      0.67786 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1336     0.006433    0.0016772     0.029949      0.41496 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1324    -0.018858    -0.004896     0.029716      0.73715 Ex-Neuron-L6-THEMIS-NFIA
Ex-Neuron-L3-5-RORB-PLCH1             SET    1313    0.0005519   0.00014274     0.030359      0.49275 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    1320     0.010467    0.0027137     0.029974      0.36347 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    1299     0.004708    0.0012116     0.029984      0.43762 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    1346     -0.03152    -0.008246     0.030234      0.85142 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    1366     0.013083     0.003446     0.030463      0.33379 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1344     0.008694    0.0022729     0.030355      0.38728 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    1365     0.019102    0.0050294     0.030368      0.26468 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1341    0.0059225    0.0015467     0.030024      0.42182 In-Neuron-DPP10-MEF2C
