# TOTAL_GENES = 18473
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET    1386     0.035284    0.0092953     0.028039      0.10413 Arterial
Arteriolar-SMC                        SET    1378     0.044341      0.01165     0.027916     0.056108 Arteriolar-SMC
Artirial-FB                           SET    1375    0.0080615     0.002116     0.027709      0.38555 Artirial-FB
Astrocyte-activated                   SET    1341      0.09677     0.025109     0.028527   0.00034746 Astrocyte-activated
Astrocyte-quiescent                   SET    1310     0.030527     0.007836     0.028733      0.14402 Astrocyte-quiescent
Capillary                             SET    1377   -0.0059586   -0.0015651     0.028232      0.58358 Capillary
Ex-Neuron-ADARB2-ERBB4                SET    1297     0.042033      0.01074     0.028658     0.071234 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1300     0.018202    0.0046557     0.028427      0.26099 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1320     0.045109      0.01162     0.028731      0.05821 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1349     0.026962    0.0070152     0.028374      0.17101 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1314     0.027629    0.0071021     0.028692       0.1678 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1336     0.051862     0.013434     0.028575     0.034776 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1324     0.035516    0.0091614     0.028297      0.10473 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1345     0.039109     0.010162     0.028827     0.087446 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1343     0.045559     0.011829     0.028921     0.057603 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1324     0.039726     0.010247     0.028542     0.081992 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1365     0.059588     0.015588     0.028602     0.018616 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1342     0.070519     0.018304     0.028079    0.0060171 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1336     0.060447     0.015657     0.028161     0.015924 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1366     0.035884    0.0093904     0.028775       0.1062 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET    1382     0.017973    0.0047285     0.028069      0.26099 M-Pericyte
Meningeal-FB                          SET    1396     0.057569     0.015216     0.027603     0.018516 Meningeal-FB
Microglia-activated                   SET    1379     0.056086     0.014741     0.027635     0.021212 Microglia-activated
Microglia-quiescent                   SET    1374     0.059228     0.015541     0.028044     0.017351 Microglia-quiescent
Microglia-vascular                    SET    1392    0.0017355   0.00045812     0.027199      0.47456 Microglia-vascular
OPC-A                                 SET    1326     0.043687     0.011277     0.028997     0.065968 OPC-A
OPC-B                                 SET    1353     0.066866     0.017421     0.028785     0.010098 OPC-B
Oligo-A                               SET    1393      0.05093     0.013448      0.02781     0.033533 Oligo-A
Oligo-B                               SET    1368     0.059977     0.015706     0.027896     0.015783 Oligo-B
Pericyte                              SET    1386     0.032241    0.0084938       0.0275      0.12053 Pericyte
Pericyte-2                            SET    1364     0.050441     0.013191     0.028654     0.039182 Pericyte-2
Pericyte-FB                           SET    1375     0.024656    0.0064719     0.027838      0.18789 Pericyte-FB
Perivascular                          SET    1382     0.041039     0.010797     0.027701     0.069248 Perivascular
Perivascular-FB                       SET    1379     0.036498    0.0095928     0.028168     0.097547 Perivascular-FB
Perivascular-FB-KAZN2                 SET    1388     0.058376     0.015389     0.027812     0.017919 Perivascular-FB-KAZN2
T-Pericyte                            SET    1373     0.040272     0.010564     0.028228     0.076849 T-Pericyte
T-cell-mixed                          SET    1382     0.049832      0.01311      0.02813     0.038248 T-cell-mixed
T-cell-parenchymal-1                  SET    1377     0.024241    0.0063672     0.027641      0.19025 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1348    0.0053452    0.0013903     0.026963      0.42143 T-cell-parenchymal-2
T-cell-vascular                       SET    1394     0.033058     0.008732     0.027389      0.11373 T-cell-vascular
Trans-Endo-to-mural                   SET    1390     0.030874    0.0081444      0.02767      0.13226 Trans-Endo-to-mural
Vascular-SMC                          SET    1379     0.068484        0.018     0.027781    0.0068528 Vascular-SMC
Vascular-SMC-LINC00486                SET    1387      0.05367     0.014144     0.027531     0.025631 Vascular-SMC-LINC00486
Venous                                SET    1383   -0.0086194   -0.0022685     0.027584      0.62266 Venous
