# MEAN_SAMPLE_SIZE = 36989
# TOTAL_GENES = 18934
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET    1395      0.11444     0.029898     0.028824   3.6074e-05 Arterial
Arteriolar-SMC                        SET    1404      0.12608     0.033036     0.028683   5.5682e-06 Arteriolar-SMC
Artirial-FB                           SET    1399    0.0042652    0.0011157     0.028815      0.44117 Artirial-FB
Astrocyte-activated                   SET    1369     0.061002     0.015799     0.029334     0.018792 Astrocyte-activated
Astrocyte-quiescent                   SET    1343     0.076516     0.019643     0.029738    0.0050469 Astrocyte-quiescent
Capillary                             SET    1394     0.099264     0.025924     0.028916   0.00029964 Capillary
Ex-Neuron-ADARB2-ERBB4                SET    1368      0.12182      0.03154      0.02912    1.445e-05 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1339      0.17936     0.045981     0.029824   9.2901e-10 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1361      0.12951     0.033452     0.029402   5.3373e-06 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1388      0.15611     0.040689     0.029099   4.1214e-08 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1351      0.16159     0.041596     0.029429   2.0375e-08 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1372      0.16638     0.043137     0.029555   9.2158e-09 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1368      0.13025     0.033722     0.029399   4.7423e-06 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1391      0.14197     0.037042     0.029067   5.2492e-07 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1394      0.15712     0.041034     0.029059   3.2633e-08 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1385      0.19751      0.05143     0.029523   1.1607e-11 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1406      0.16178     0.042418     0.028884    1.087e-08 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1397      0.13257     0.034657     0.029225   2.8885e-06 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1392      0.17135     0.044722     0.029236   2.3547e-09 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1410      0.15226     0.039974     0.028949   7.3336e-08 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET    1410      0.10661     0.027989     0.028958    0.0001164 M-Pericyte
Meningeal-FB                          SET    1417      0.15675     0.041247     0.028879   2.9018e-08 Meningeal-FB
Microglia-activated                   SET    1399     0.038514     0.010075     0.028775     0.090389 Microglia-activated
Microglia-quiescent                   SET    1404     0.067019     0.017561     0.028547    0.0094536 Microglia-quiescent
Microglia-vascular                    SET    1414       0.0658     0.017298     0.028563     0.010628 Microglia-vascular
OPC-A                                 SET    1364      0.10633     0.027492     0.029538   0.00015991 OPC-A
OPC-B                                 SET    1390      0.11956     0.031183     0.029274   2.2262e-05 OPC-B
Oligo-A                               SET    1412     0.093011     0.024435     0.028683   0.00059339 Oligo-A
Oligo-B                               SET    1389      0.11167     0.029115     0.029089   6.2123e-05 Oligo-B
Pericyte                              SET    1412      0.11039     0.029002     0.029063    7.314e-05 Pericyte
Pericyte-2                            SET    1399     0.076876     0.020111     0.029525     0.004616 Pericyte-2
Pericyte-FB                           SET    1402     0.051146     0.013393     0.028713     0.037447 Pericyte-FB
Perivascular                          SET    1408      0.07927     0.020798     0.028488    0.0027004 Perivascular
Perivascular-FB                       SET    1407     0.055119     0.014457     0.028801     0.027834 Perivascular-FB
Perivascular-FB-KAZN2                 SET    1417      0.13395     0.035247     0.028697   1.5389e-06 Perivascular-FB-KAZN2
T-Pericyte                            SET    1400     0.096035     0.025131     0.029264   0.00051725 T-Pericyte
T-cell-mixed                          SET    1404     0.085446     0.022389     0.028834     0.001524 T-cell-mixed
T-cell-parenchymal-1                  SET    1396     0.066921     0.017489     0.028832     0.010149 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1370     0.033288    0.0086243     0.029167      0.12689 T-cell-parenchymal-2
T-cell-vascular                       SET    1412     0.084608     0.022227     0.028723    0.0016143 T-cell-vascular
Trans-Endo-to-mural                   SET    1410     0.040782     0.010707      0.02879     0.078322 Trans-Endo-to-mural
Vascular-SMC                          SET    1404      0.11036     0.028918     0.028902   6.7449e-05 Vascular-SMC
Vascular-SMC-LINC00486                SET    1411      0.12887     0.033844     0.028703   3.5965e-06 Vascular-SMC-LINC00486
Venous                                SET    1404     0.036581    0.0095851     0.028746       0.1016 Venous
