# TOTAL_GENES = 18368
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET    1385     0.042608      0.01125     0.025764     0.049096 Arterial
Arteriolar-SMC                        SET    1376     0.052164     0.013733     0.025904      0.02203 Arteriolar-SMC
Artirial-FB                           SET    1371     0.053988     0.014189     0.025641     0.017632 Artirial-FB
Astrocyte-activated                   SET    1338     0.034963    0.0090864     0.026163     0.090726 Astrocyte-activated
Astrocyte-quiescent                   SET    1307      0.03357    0.0086305     0.026768      0.10491 Astrocyte-quiescent
Capillary                             SET    1374     0.047416     0.012474     0.025906     0.033615 Capillary
Ex-Neuron-ADARB2-ERBB4                SET    1295      0.03299    0.0084455     0.026403      0.10575 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1298     0.032275    0.0082712     0.026319      0.11005 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1319     0.046398     0.011979     0.026345     0.039116 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1348     0.045244     0.011799     0.026026      0.04108 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1313     0.029949    0.0077159     0.026421      0.12851 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1335     0.034829    0.0090423     0.026192     0.091811 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1323     0.033205    0.0085848     0.025897     0.099898 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1345     0.053207     0.013861     0.026289     0.021499 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1343     0.031594    0.0082249     0.026645      0.11788 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1323     0.037778    0.0097673     0.026221     0.074837 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1365     0.050002     0.013115     0.026346     0.028865 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1341     0.056264     0.014637      0.02586     0.014795 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1335     0.044159     0.011464     0.025818     0.043609 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1366     0.062087      0.01629      0.02625    0.0090153 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET    1381     0.068719     0.018121     0.025954    0.0040567 M-Pericyte
Meningeal-FB                          SET    1396     0.018544    0.0049142     0.025422      0.23288 Meningeal-FB
Microglia-activated                   SET    1375     0.027076    0.0071257      0.02582      0.14717 Microglia-activated
Microglia-quiescent                   SET    1371     0.060803      0.01598     0.025645     0.008878 Microglia-quiescent
Microglia-vascular                    SET    1389     0.047735     0.012621     0.025045     0.028335 Microglia-vascular
OPC-A                                 SET    1325   -0.0089149   -0.0023065     0.027015       0.6293 OPC-A
OPC-B                                 SET    1352     0.039555     0.010329     0.027003     0.071492 OPC-B
Oligo-A                               SET    1391     0.032459    0.0085876     0.025734      0.10361 Oligo-A
Oligo-B                               SET    1366   -0.0015402  -0.00040412     0.026033      0.52359 Oligo-B
Pericyte                              SET    1386     0.021079    0.0055677     0.025488      0.20412 Pericyte
Pericyte-2                            SET    1363     0.055955     0.014666      0.02619     0.016329 Pericyte-2
Pericyte-FB                           SET    1374     0.027556    0.0072495     0.025528      0.14021 Pericyte-FB
Perivascular                          SET    1378     0.056276     0.014825     0.025452     0.013523 Perivascular
Perivascular-FB                       SET    1378    0.0090222    0.0023768     0.025994      0.36427 Perivascular-FB
Perivascular-FB-KAZN2                 SET    1387    0.0099392    0.0026262     0.025264      0.34701 Perivascular-FB-KAZN2
T-Pericyte                            SET    1372     0.055355     0.014553     0.025976     0.016553 T-Pericyte
T-cell-mixed                          SET    1382     0.057236     0.015098     0.025834      0.01337 T-cell-mixed
T-cell-parenchymal-1                  SET    1376     0.027027     0.007115     0.025287      0.14259 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1346    0.0061925    0.0016138     0.025563       0.4043 T-cell-parenchymal-2
T-cell-vascular                       SET    1393      0.06461     0.017105     0.024908    0.0047487 T-cell-vascular
Trans-Endo-to-mural                   SET    1388     0.068888     0.018208     0.025565    0.0035273 Trans-Endo-to-mural
Vascular-SMC                          SET    1379     0.032097    0.0084582      0.02569      0.10577 Vascular-SMC
Vascular-SMC-LINC00486                SET    1387     0.025331     0.006693     0.025102      0.15647 Vascular-SMC-LINC00486
Venous                                SET    1381     0.051962     0.013702     0.025632     0.021329 Venous
