# MEAN_SAMPLE_SIZE = 11226
# TOTAL_GENES = 18369
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET    1387     0.033903    0.0089577     0.024845     0.086205 Arterial
Arteriolar-SMC                        SET    1378   0.00056153   0.00014792      0.02548      0.49121 Arteriolar-SMC
Artirial-FB                           SET    1374     0.039594     0.010416     0.024925     0.056099 Artirial-FB
Astrocyte-activated                   SET    1340     0.041625     0.010825       0.0257     0.052661 Astrocyte-activated
Astrocyte-quiescent                   SET    1309     0.023842    0.0061337     0.025845      0.17815 Astrocyte-quiescent
Capillary                             SET    1376     0.033501    0.0088191     0.025036     0.090445 Capillary
Ex-Neuron-ADARB2-ERBB4                SET    1295     0.035871    0.0091828     0.026156     0.085134 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1298  -0.00035946  -9.2117e-05      0.02584      0.50555 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1319     0.011091    0.0028634     0.025952      0.33456 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1348  -9.7157e-05  -2.5336e-05     0.025432      0.50152 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1313    -0.013256   -0.0034152     0.026019      0.69479 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1335    0.0026319   0.00068327     0.025764      0.45932 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1323    -0.022465   -0.0058079     0.025393      0.81183 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1345     0.035893    0.0093504     0.025895     0.082865 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1343     0.026322    0.0068523     0.026238       0.1579 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1323   -0.0097906   -0.0025312     0.026137      0.64601 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1366     0.057092     0.014979      0.02598        0.014 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1342     0.019694    0.0051252     0.025737      0.22208 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1336        0.017    0.0044148     0.025665      0.25388 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1366     0.023121    0.0060662     0.025865       0.1857 In-Neuron-TRHDE-RALYL
M-Pericyte                            SET    1382     0.025461    0.0067162     0.025306      0.15718 M-Pericyte
Meningeal-FB                          SET    1396     0.028531    0.0075607     0.024669      0.12374 Meningeal-FB
Microglia-activated                   SET    1377     0.016537    0.0043548     0.025228      0.25608 Microglia-activated
Microglia-quiescent                   SET    1374     0.021333    0.0056121     0.025327      0.19982 Microglia-quiescent
Microglia-vascular                    SET    1389   5.8098e-05   1.5361e-05     0.024354      0.49905 Microglia-vascular
OPC-A                                 SET    1326     0.048925     0.012662     0.026684     0.033371 OPC-A
OPC-B                                 SET    1353     0.071847     0.018768     0.026347    0.0032003 OPC-B
Oligo-A                               SET    1393     0.066309     0.017555      0.02489    0.0038643 Oligo-A
Oligo-B                               SET    1368      0.05267     0.013828     0.025093     0.017916 Oligo-B
Pericyte                              SET    1387     -0.02036   -0.0053793     0.024724      0.79487 Pericyte
Pericyte-2                            SET    1364    0.0014524   0.00038081       0.0256      0.47738 Pericyte-2
Pericyte-FB                           SET    1374    0.0015225   0.00040054     0.024959      0.47568 Pericyte-FB
Perivascular                          SET    1380    0.0028854    0.0007606      0.02491      0.45389 Perivascular
Perivascular-FB                       SET    1378     0.027134    0.0071479      0.02499      0.13879 Perivascular-FB
Perivascular-FB-KAZN2                 SET    1387     0.012734    0.0033646     0.024671      0.30288 Perivascular-FB-KAZN2
T-Pericyte                            SET    1373    0.0091848    0.0024155     0.025287      0.35822 T-Pericyte
T-cell-mixed                          SET    1383     0.029738    0.0078467     0.024866      0.11588 T-cell-mixed
T-cell-parenchymal-1                  SET    1378     0.027383    0.0072134      0.02477      0.13449 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1346     0.012204    0.0031803     0.024797      0.31131 T-cell-parenchymal-2
T-cell-vascular                       SET    1393     0.023601    0.0062482     0.024698      0.16964 T-cell-vascular
Trans-Endo-to-mural                   SET    1390     0.052775     0.013958     0.025057     0.017603 Trans-Endo-to-mural
Vascular-SMC                          SET    1380   -0.0056505   -0.0014895     0.025242      0.58856 Vascular-SMC
Vascular-SMC-LINC00486                SET    1388    -0.011103   -0.0029345     0.024379      0.67559 Vascular-SMC-LINC00486
Venous                                SET    1384     0.032298    0.0085252     0.024713      0.09563 Venous
