# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET     869     0.022354    0.0047391     0.033683      0.25346 Astrocyte-activated
Astrocyte-quiescent                   SET     843     0.017879    0.0037362     0.034323      0.30122 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET     842    -0.022222    -0.004641     0.035614      0.73367 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET     798     0.014458    0.0029433     0.036132      0.34453 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET     820     0.003867   0.00079748     0.035692      0.45686 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     856    -0.019058   -0.0040115     0.034637      0.70891 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     805   -0.0084206   -0.0017214     0.036291      0.59174 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     841     0.028657    0.0059816     0.035014      0.20656 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     826     -0.03266   -0.0067589     0.035039      0.82435 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     880    0.0052334    0.0011162     0.034306      0.43938 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     872   -0.0055014   -0.0011682     0.034377      0.56357 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     866    0.0074082     0.001568     0.034782      0.41567 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     893    0.0017705   0.00038024     0.034073      0.47928 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     868    -0.017789   -0.0037694     0.034485      0.69702 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     851    0.0093921    0.0019715     0.034902      0.39393 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     870      0.01434    0.0030418     0.034169      0.33736 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET     901     0.075551     0.016295     0.032399    0.0098594 Microglia-activated
Microglia-quiescent                   SET     889      0.10412     0.022314     0.033573   0.00096526 Microglia-quiescent
Microglia-vascular                    SET     892     0.046279    0.0099339     0.032952     0.080104 Microglia-vascular
OPC-A                                 SET     834     0.055278     0.011492     0.035255     0.058454 OPC-A
OPC-B                                 SET     879    0.0073791     0.001573     0.034543      0.41542 OPC-B
Oligo-A                               SET     892     0.012653     0.002716     0.033605      0.35326 Oligo-A
Oligo-B                               SET     881     0.051835     0.011061     0.033493     0.060863 Oligo-B
Perivascular                          SET     901     0.080623     0.017389     0.033109    0.0074501 Perivascular
T-cell-mixed                          SET     896     0.082423      0.01773     0.033032    0.0062994 T-cell-mixed
T-cell-parenchymal-1                  SET     911      0.10475      0.02271     0.032838   0.00071336 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     886     0.028949    0.0061942     0.033027      0.19038 T-cell-parenchymal-2
ambiguous                             SET     826     0.007841    0.0016227     0.035516      0.41264 ambiguous
low-feature-cells                     SET     905     0.077311     0.016709     0.032947    0.0094807 low-feature-cells
