# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET     919     0.061438     0.013448     0.035494     0.041741 Arterial
Astrocyte-activated                   SET     870     0.064778     0.013815     0.036965     0.039861 Astrocyte-activated
Astrocyte-quiescent                   SET     840     0.051352     0.010771      0.03766     0.086359 Astrocyte-quiescent
Capillary                             SET     911     0.053059     0.011566     0.035355     0.066719 Capillary
Ex-Neuron-ADARB2-ERBB4                SET     837    -0.076267    -0.015969     0.038356      0.97661 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-DLC1-HS3ST4                 SET     822   0.00071577   0.00014859      0.03855      0.49259 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     858    -0.006604   -0.0013992     0.038016      0.56895 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     800    -0.030117   -0.0061716     0.039247      0.77856 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     843     0.024205    0.0050855     0.038371      0.26408 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     827    -0.025963   -0.0054051     0.038204      0.75161 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     878    0.0043821   0.00093863     0.037533      0.45353 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     872     -0.01704    -0.003638      0.03747      0.67535 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     864    -0.044568   -0.0094738     0.037848       0.8805 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     892    -0.031944   -0.0068939     0.037375      0.80363 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     867    -0.027588    -0.005874     0.037769      0.76743 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     851    -0.034462    -0.007273     0.037521      0.82081 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     871     0.017468    0.0037274     0.037608      0.32115 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET     899     0.068082     0.014747     0.035901     0.028962 Microglia-activated
Microglia-quiescent                   SET     889      0.11075     0.023862     0.036797    0.0013094 Microglia-quiescent
OPC-A                                 SET     832     0.031734    0.0066257     0.038841      0.20696 OPC-A
OPC-B                                 SET     880   -0.0080756   -0.0017316     0.038051      0.58404 OPC-B
Oligo-A                               SET     894     0.035164    0.0075968     0.037104      0.17164 Oligo-A
Oligo-B                               SET     881     0.066508     0.014269     0.036246     0.033267 Oligo-B
Perivascular                          SET     901     0.092245     0.020003     0.036444    0.0056892 Perivascular
Perivascular-FB                       SET     877     0.025487    0.0054563     0.037456      0.24812 Perivascular-FB
Perivascular-FB-KAZN2                 SET     883     0.060182     0.012926      0.03676     0.050807 Perivascular-FB-KAZN2
T-Pericyte                            SET     902     0.060058      0.01303     0.036304     0.049043 T-Pericyte
T-cell-mixed                          SET     896      0.10727     0.023199     0.036412    0.0016124 T-cell-mixed
Trans-Endo-to-mural                   SET     933   -0.0069082    -0.001523     0.034249      0.57993 Trans-Endo-to-mural
Venous                                SET     921     0.030234    0.0066245     0.034818      0.19261 Venous
ambiguous                             SET     826   -0.0097518    -0.002029     0.038469      0.60006 ambiguous
low-feature-cells                     SET     909     0.095738     0.020847     0.035841    0.0037829 low-feature-cells
