# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Arterial                              SET     918      0.05974     0.013094     0.035023     0.044035 Arterial
Astrocyte-activated                   SET     868     0.058188     0.012419     0.036494     0.055426 Astrocyte-activated
Astrocyte-quiescent                   SET     839     0.047155    0.0099032      0.03716      0.10223 Astrocyte-quiescent
Capillary                             SET     910     0.052919     0.011551     0.034886     0.064651 Capillary
Ex-Neuron-ADARB2-ERBB4                SET     837    -0.070785    -0.014849     0.037828      0.96933 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-DLC1-HS3ST4                 SET     819    0.0057321    0.0011901     0.038114      0.44023 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     858   -0.0027015  -0.00057343     0.037493      0.52872 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     800    -0.028042   -0.0057572     0.038706      0.76561 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     843     0.026731    0.0056267     0.037842      0.23997 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     826     -0.01985   -0.0041379     0.037703      0.70072 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     878    0.0094161    0.0020207     0.037015       0.3996 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     872    -0.012654   -0.0027067     0.036954      0.63399 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     863    -0.044033   -0.0093724     0.037361      0.88071 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     892    -0.028242   -0.0061064      0.03686      0.77822 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     867     -0.02545   -0.0054289     0.037248      0.75277 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     851    -0.031938   -0.0067529     0.037003      0.80596 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     871     0.021906    0.0046832      0.03709      0.27739 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET     898     0.067157     0.014567     0.035422     0.028994 Microglia-activated
Microglia-quiescent                   SET     889      0.11533     0.024896     0.036289   0.00074256 Microglia-quiescent
OPC-A                                 SET     832     0.033705    0.0070504     0.038305      0.18946 OPC-A
OPC-B                                 SET     880   -0.0058267   -0.0012517     0.037526       0.5617 OPC-B
Oligo-A                               SET     894     0.036481     0.007896     0.036591      0.15939 Oligo-A
Oligo-B                               SET     881     0.068298      0.01468     0.035746     0.028035 Oligo-B
Perivascular                          SET     901     0.094396     0.020507     0.035941    0.0043179 Perivascular
Perivascular-FB                       SET     877     0.029158    0.0062539     0.036939      0.21496 Perivascular-FB
Perivascular-FB-KAZN2                 SET     883     0.062059     0.013354     0.036252     0.043466 Perivascular-FB-KAZN2
T-Pericyte                            SET     900     0.058667     0.012738     0.035851     0.050886 T-Pericyte
T-cell-mixed                          SET     896       0.1089     0.023595     0.035911    0.0012148 T-cell-mixed
Trans-Endo-to-mural                   SET     930   -0.0085263   -0.0018803     0.033837      0.59947 Trans-Endo-to-mural
Venous                                SET     920     0.029037    0.0063708     0.034355      0.19901 Venous
ambiguous                             SET     826   -0.0041343  -0.00086182     0.037941      0.54339 ambiguous
low-feature-cells                     SET     909     0.098021     0.021384     0.035346     0.002778 low-feature-cells
