# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET    1274   -0.0028719   -0.0007325     0.031499      0.53632 Oligo-A
Astrocyte-activated                   SET    1237     0.071056     0.017878     0.031491     0.012029 Astrocyte-activated
Oligo-B                               SET    1270     0.079813     0.020327     0.030396    0.0043263 Oligo-B
T-cell-mixed                          SET    1271     0.073817     0.018807     0.030983    0.0086025 T-cell-mixed
T-cell-parenchymal-1                  SET    1283     0.091104     0.023312     0.029873    0.0011471 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1269     0.024672    0.0062813     0.029359      0.20036 T-cell-parenchymal-2
Microglia-quiescent                   SET    1254     0.072504     0.018358     0.031095    0.0098642 Microglia-quiescent
Microglia-activated                   SET    1271     0.096007      0.02446     0.030442    0.0008074 Microglia-activated
Perivascular                          SET    1265     0.077127     0.019607     0.030955    0.0063631 Perivascular
Microglia-vascular                    SET    1264      0.06815     0.017319     0.030009     0.011579 Microglia-vascular
Astrocyte-quiescent                   SET    1229      0.02278    0.0057144     0.031681      0.23606 Astrocyte-quiescent
OPC-A                                 SET    1236     0.027752    0.0069799     0.031898      0.19215 OPC-A
OPC-B                                 SET    1266      0.04697     0.011945     0.032147     0.072002 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1254  -0.00090892  -0.00023014     0.031321      0.51158 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    1222    -0.060227    -0.015068     0.031496      0.97207 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    1246    -0.028956   -0.0073099     0.031118      0.82395 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    1256    -0.030136    -0.007636     0.031414       0.8313 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1246  -0.00046606  -0.00011766     0.031283      0.50594 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1241    -0.017383     -0.00438     0.031381      0.71018 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET    1288     0.067222     0.017232      0.03001     0.012551 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET    1231    -0.026076   -0.0065459     0.031821      0.79373 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    1242  -0.00015803  -3.9836e-05     0.031424      0.50201 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    1223     0.012815    0.0032072     0.031278      0.34102 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    1254     0.016146    0.0040881     0.031475      0.30398 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    1253    0.0091093    0.0023056     0.031604      0.38659 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1250    -0.019649   -0.0049678      0.03173      0.73213 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    1255    -0.018289   -0.0046323     0.031646      0.71833 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1253    -0.010487   -0.0026542     0.031538      0.63025 In-Neuron-DPP10-MEF2C
ambiguous                             SET    1232    0.0071888    0.0018053     0.031612      0.41006 ambiguous
