# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET    1274  -0.00045234  -0.00011558     0.031065      0.50581 Oligo-A
Astrocyte-activated                   SET    1235     0.066156     0.016662     0.031084     0.016663 Astrocyte-activated
Oligo-B                               SET    1269     0.078427     0.020003     0.029994    0.0044687 Oligo-B
T-cell-mixed                          SET    1271     0.077402     0.019756     0.030557    0.0056579 T-cell-mixed
T-cell-parenchymal-1                  SET    1283     0.093287     0.023914     0.029461   0.00077285 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1266     0.021726    0.0055352     0.029006      0.22693 T-cell-parenchymal-2
Microglia-quiescent                   SET    1253     0.075495     0.019143     0.030678    0.0069349 Microglia-quiescent
Microglia-activated                   SET    1270     0.096464     0.024612     0.030033   0.00066031 Microglia-activated
Perivascular                          SET    1264     0.081145     0.020659      0.03054    0.0039448 Perivascular
Microglia-vascular                    SET    1263     0.071101     0.018095     0.029606    0.0081677 Microglia-vascular
Astrocyte-quiescent                   SET    1228     0.019958    0.0050135     0.031255      0.26156 Astrocyte-quiescent
OPC-A                                 SET    1235     0.029057    0.0073184      0.03147      0.17793 OPC-A
OPC-B                                 SET    1266      0.05045     0.012853     0.031704     0.055782 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1253    0.0034438    0.0008732     0.030904      0.45564 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET    1222    -0.056973    -0.014279     0.031063      0.96667 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET    1246    -0.025309   -0.0064007     0.030689      0.79522 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET    1255    -0.028075   -0.0071241     0.031001      0.81743 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1245    0.0012618   0.00031898     0.030865       0.4837 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1238     -0.01432   -0.0036107     0.030996      0.67795 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET    1288     0.069699     0.017899     0.029595    0.0092643 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET    1231    -0.023383   -0.0058805     0.031384      0.77188 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET    1238    0.0018344   0.00046254     0.031063      0.47645 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET    1220     0.015342    0.0038423     0.030898      0.30976 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET    1254     0.020802    0.0052765     0.031044      0.25141 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET    1253     0.013954    0.0035382      0.03117       0.3272 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1250    -0.015032   -0.0038073     0.031294      0.68451 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET    1255    -0.015296   -0.0038813      0.03121      0.68796 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1253   -0.0070692   -0.0017925     0.031103       0.5899 In-Neuron-DPP10-MEF2C
ambiguous                             SET    1231     0.012071    0.0030356     0.031195       0.3494 ambiguous
