# MEAN_SAMPLE_SIZE = 36989
# TOTAL_GENES = 18877
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET    1270      0.10071     0.025229     0.032145   0.00086649 Astrocyte-activated
Astrocyte-quiescent                   SET    1261       0.1249     0.031185     0.032181   5.2211e-05 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET    1287      0.15661     0.039475     0.031906   4.6371e-07 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1251      0.16441     0.040899     0.031741   1.1251e-07 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1272      0.18024     0.045185     0.031737   6.8959e-09 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1288      0.14659     0.036963     0.031885   2.1552e-06 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1260      0.14308     0.035711     0.032229   4.5426e-06 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1274      0.15706     0.039403     0.031627   3.4534e-07 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1277      0.17288      0.04342      0.03173    2.578e-08 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1297      0.17283      0.04372      0.03198   3.3021e-08 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1297      0.17774     0.044962     0.032138   1.6228e-08 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1305      0.19442     0.049321      0.03154   3.6328e-10 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1292      0.16645      0.04203     0.032274   1.2684e-07 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1297      0.19645     0.049694     0.032017   4.3446e-10 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1295      0.17911     0.045275     0.031467   6.3966e-09 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1296      0.21791     0.055104     0.031961   4.7881e-12 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET    1291     0.045975     0.011605     0.031684     0.073394 Microglia-activated
Microglia-quiescent                   SET    1282       0.1417     0.035652     0.032168   5.3279e-06 Microglia-quiescent
Microglia-vascular                    SET    1295      0.16771     0.042395     0.031275   4.1651e-08 Microglia-vascular
OPC-A                                 SET    1271      0.16136     0.040438     0.032201   2.7358e-07 OPC-A
OPC-B                                 SET    1305      0.16658      0.04226     0.031981   9.6308e-08 OPC-B
Oligo-A                               SET    1305      0.12852     0.032603     0.031911   2.8338e-05 Oligo-A
Oligo-B                               SET    1294      0.18092     0.045717     0.031868   6.9791e-09 Oligo-B
Perivascular                          SET    1291      0.12897     0.032556     0.031693   2.3675e-05 Perivascular
T-cell-mixed                          SET    1295      0.14146     0.035759     0.032025   5.0325e-06 T-cell-mixed
T-cell-parenchymal-1                  SET    1306      0.18763     0.047617     0.031555   1.4027e-09 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1290      0.03025    0.0076331     0.031048      0.16496 T-cell-parenchymal-2
ambiguous                             SET    1267      0.18876     0.047233      0.03185   1.5824e-09 ambiguous
low-feature-cells                     SET    1315      0.18157     0.046225      0.03103   2.4867e-09 low-feature-cells
