# TOTAL_GENES = 18368
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET    1237   0.00047988   0.00012027     0.027287      0.49298 Astrocyte-activated
Astrocyte-quiescent                   SET    1229    0.0021652   0.00054101     0.027745       0.4689 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET    1220     0.053202     0.013248     0.027645     0.027158 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1220     0.056031     0.013953     0.027504     0.020825 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1241     0.062005     0.015563     0.027198     0.011318 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1253     0.038853    0.0097959     0.026932     0.074574 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1232     0.029835    0.0074635     0.027505      0.13903 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1244      0.03473     0.008727     0.026936     0.098653 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1241      0.03083    0.0077385     0.026924       0.1261 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1254     0.056851     0.014339     0.027191     0.018284 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1250     0.027889    0.0070236     0.027603      0.15617 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1254     0.045512     0.011479      0.02703     0.046124 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1254     0.032263    0.0081372     0.027232      0.11807 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1252     0.051233     0.012912     0.026865     0.028267 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1245     0.034324    0.0086283     0.026678     0.099123 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1252     0.039274    0.0098982     0.027205     0.074432 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET    1269     0.014498    0.0036768     0.026575      0.29269 Microglia-activated
Microglia-quiescent                   SET    1253     0.027609    0.0069609     0.026772      0.15122 Microglia-quiescent
Microglia-vascular                    SET    1266    0.0053689    0.0013601     0.026662      0.42021 Microglia-vascular
OPC-A                                 SET    1236     0.014329    0.0035898     0.027802      0.30315 OPC-A
OPC-B                                 SET    1266     0.036483    0.0092422     0.027848     0.095102 OPC-B
Oligo-A                               SET    1273     0.018766    0.0047662     0.027031      0.24377 Oligo-A
Oligo-B                               SET    1270   -0.0084713   -0.0021492     0.026744      0.62428 Oligo-B
Perivascular                          SET    1264     0.022618    0.0057257     0.026662      0.19813 Perivascular
T-cell-mixed                          SET    1272     0.049571     0.012586     0.026651     0.031454 T-cell-mixed
T-cell-parenchymal-1                  SET    1283     0.074904     0.019093     0.026145    0.0020888 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1269     0.008306    0.0021065     0.026029      0.37483 T-cell-parenchymal-2
ambiguous                             SET    1230     0.063892     0.015971     0.027428    0.0099256 ambiguous
low-feature-cells                     SET    1288     0.028382    0.0072476     0.025686       0.1346 low-feature-cells
