# MEAN_SAMPLE_SIZE = 11226
# TOTAL_GENES = 18369
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET    1238      0.03473    0.0087073     0.026809      0.09759 Astrocyte-activated
Astrocyte-quiescent                   SET    1230     0.043463     0.010864     0.026992     0.053688 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET    1221     0.076212     0.018985      0.02718    0.0025274 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1221    0.0011954   0.00029779     0.026798      0.48221 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1242     0.038212    0.0095946     0.026612     0.075527 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1253     0.024676    0.0062212     0.026345      0.17448 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1233     0.026036    0.0065152     0.026893       0.1665 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1244     0.016603    0.0041721     0.026459      0.26516 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1242    0.0029624   0.00074382     0.026606      0.45567 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1254     0.051026     0.012869     0.027037     0.029575 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1250     0.050555     0.012732     0.027077     0.030959 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1255    0.0095217    0.0024024     0.026618      0.36028 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1254     0.046968     0.011846      0.02694     0.040639 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1254     0.010258    0.0025871     0.026698      0.35041 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1247     0.031396    0.0078979     0.026639      0.11929 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1254     0.035702    0.0090044     0.027119     0.094018 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET    1270     0.027798    0.0070521     0.025946      0.14201 Microglia-activated
Microglia-quiescent                   SET    1254     0.018118    0.0045696      0.02658      0.24774 Microglia-quiescent
Microglia-vascular                    SET    1267     0.011676    0.0029589     0.025999      0.32669 Microglia-vascular
OPC-A                                 SET    1236     0.043765     0.010964     0.027229     0.054004 OPC-A
OPC-B                                 SET    1266     0.065152     0.016505     0.027057    0.0080273 OPC-B
Oligo-A                               SET    1274      0.10012     0.025438     0.026472    7.805e-05 Oligo-A
Oligo-B                               SET    1270     0.040161     0.010189     0.026273     0.063192 Oligo-B
Perivascular                          SET    1264      0.02535    0.0064171     0.026188      0.16653 Perivascular
T-cell-mixed                          SET    1272     0.027322    0.0069365     0.025887      0.14563 T-cell-mixed
T-cell-parenchymal-1                  SET    1283     0.064628     0.016473     0.025558    0.0057302 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1269     0.015879     0.004027     0.025493      0.26669 T-cell-parenchymal-2
ambiguous                             SET    1231     0.044149      0.01104     0.026946     0.050681 ambiguous
low-feature-cells                     SET    1289    -0.015225   -0.0038892      0.02521      0.72705 low-feature-cells
