# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET     249   -0.0050445   -0.0005836     0.061284       0.5328 Oligo-A
Astrocyte-activated                   SET     254    -0.011077   -0.0012941     0.061151      0.57187 Astrocyte-activated
Oligo-B                               SET     247     0.015523    0.0017887     0.059397      0.39692 Oligo-B
T-cell-mixed                          SET     256       0.2136     0.025051     0.058053   0.00011728 T-cell-mixed
T-cell-parenchymal-1                  SET     254      0.18016     0.021048     0.058717    0.0010784 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     256      0.08802     0.010323     0.056796     0.060609 T-cell-parenchymal-2
Microglia-quiescent                   SET     252     0.097147     0.011305     0.062803     0.060959 Microglia-quiescent
Microglia-activated                   SET     251      0.18463     0.021444     0.059953    0.0010383 Microglia-activated
Perivascular                          SET     256      0.22307     0.026162     0.059523   8.9596e-05 Perivascular
Microglia-vascular                    SET     256     0.097342     0.011416     0.057965     0.046555 Microglia-vascular
Astrocyte-quiescent                   SET     255    -0.025758   -0.0030151     0.061104      0.66331 Astrocyte-quiescent
OPC-A                                 SET     252    -0.074095   -0.0086228     0.063331      0.87898 OPC-A
OPC-B                                 SET     261    -0.086735     -0.01027     0.062375      0.91781 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     252     0.038797     0.004515     0.063503      0.27062 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET     247    -0.029013   -0.0033432     0.064226      0.67427 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET     255     0.021075    0.0024669     0.063635      0.37026 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET     252     0.088185     0.010262     0.063469     0.082362 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     249     0.058383    0.0067542     0.065149       0.1851 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     254     0.045416    0.0053059     0.062319      0.23308 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET     255     0.055402    0.0064851      0.06058      0.18023 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET     244     0.023614    0.0027046     0.065802      0.35985 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET     251     0.077235    0.0089705     0.064526      0.11567 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET     236    -0.011259   -0.0012685     0.064107       0.5697 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET     255     0.038742    0.0045349     0.063767      0.27175 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET     252   0.00076907   8.9499e-05     0.064286      0.49523 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     252     0.086258     0.010038     0.064193     0.089526 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET     252      0.16428     0.019118     0.063928     0.005093 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     248    -0.011673   -0.0013477     0.064003      0.57235 In-Neuron-DPP10-MEF2C
ambiguous                             SET     241   -0.0029732  -0.00033847     0.065189      0.51819 ambiguous
