# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET     249    -0.022779   -0.0026451      0.06711      0.63285 Oligo-A
Astrocyte-activated                   SET     254     0.027869     0.003268     0.067079       0.3389 Astrocyte-activated
Oligo-B                               SET     247   -0.0093414   -0.0010804     0.066676      0.55571 Oligo-B
T-cell-mixed                          SET     256      0.20516     0.024152     0.065775   0.00090813 T-cell-mixed
T-cell-parenchymal-1                  SET     254       0.1766     0.020709     0.066099    0.0037756 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     256     0.091065      0.01072     0.064959     0.080484 T-cell-parenchymal-2
Microglia-quiescent                   SET     252     0.078971    0.0092244     0.067965      0.12264 Microglia-quiescent
Microglia-activated                   SET     251       0.1054     0.012288     0.068253     0.061263 Microglia-activated
Perivascular                          SET     256       0.1739     0.020471     0.067267    0.0048696 Perivascular
Microglia-vascular                    SET     255      0.11669     0.013711      0.06447     0.035151 Microglia-vascular
Astrocyte-quiescent                   SET     255    -0.025929   -0.0030464     0.066726       0.6512 Astrocyte-quiescent
OPC-A                                 SET     252    -0.066023   -0.0077121     0.069934      0.82743 OPC-A
OPC-B                                 SET     261     -0.05807   -0.0069013     0.068818      0.80061 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     252     0.087307     0.010198     0.069738      0.10531 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET     247    -0.024361   -0.0028176     0.069942      0.63619 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET     255   -0.0043357  -0.00050941     0.068998      0.52505 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET     252     0.098482     0.011504     0.068848     0.076304 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     249     0.085982    0.0099843     0.070407      0.11101 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     254      0.10881     0.012759     0.069315     0.058242 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET     255     0.029804    0.0035018     0.067706       0.3299 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET     244     0.032958     0.003789     0.070992      0.32124 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET     251     0.075758    0.0088318     0.069481      0.13779 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET     236     -0.10551    -0.011933     0.070421      0.93297 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET     255    0.0093795     0.001102     0.069214       0.4461 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET     252   -0.0038331  -0.00044773     0.069496      0.52199 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     252     0.053396     0.006237     0.068704      0.21853 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET     252      0.13051     0.015245     0.069025     0.029335 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     248    -0.051695   -0.0059909     0.069223       0.7724 In-Neuron-DPP10-MEF2C
ambiguous                             SET     241    -0.024051   -0.0027482     0.070781      0.63299 ambiguous
