# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligo-A                               SET     249    -0.022276   -0.0025917     0.066182      0.63179 Oligo-A
Astrocyte-activated                   SET     254     0.030661    0.0036024     0.066151       0.3215 Astrocyte-activated
Oligo-B                               SET     247   -0.0081004   -0.0009387     0.065754      0.54902 Oligo-B
T-cell-mixed                          SET     256      0.20854     0.024596     0.064865   0.00065342 T-cell-mixed
T-cell-parenchymal-1                  SET     254      0.17922     0.021056     0.065184    0.0029884 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     256      0.09555      0.01127     0.064062      0.06792 T-cell-parenchymal-2
Microglia-quiescent                   SET     252     0.078874    0.0092309     0.067025      0.11965 Microglia-quiescent
Microglia-activated                   SET     251      0.10854     0.012678      0.06731     0.053427 Microglia-activated
Perivascular                          SET     256      0.17706     0.020884     0.066336    0.0038053 Perivascular
Microglia-vascular                    SET     255        0.123      0.01448     0.063581      0.02653 Microglia-vascular
Astrocyte-quiescent                   SET     255    -0.022845   -0.0026893     0.065804      0.63577 Astrocyte-quiescent
OPC-A                                 SET     252    -0.063721   -0.0074575     0.068968      0.82223 OPC-A
OPC-B                                 SET     261    -0.055995   -0.0066675     0.067867      0.79533 OPC-B
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     252     0.088949      0.01041     0.068774     0.097952 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-ADARB2-ERBB4                SET     247    -0.019314   -0.0022381     0.068979      0.61026 Ex-Neuron-ADARB2-ERBB4
In-Neuron-PRKG1-TBC1D4                SET     255    0.0024022   0.00028279     0.068048      0.48592 In-Neuron-PRKG1-TBC1D4
In-Neuron-ADARB2-LAMP5-NRG1           SET     252     0.098251     0.011499     0.067895     0.073944 In-Neuron-ADARB2-LAMP5-NRG1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     249     0.087847      0.01022     0.069433      0.10291 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     254      0.11083     0.013022     0.068356     0.052477 Ex-Neuron-L6-THEMIS-NFIA
low-feature-cells                     SET     255     0.030709    0.0036149     0.066769      0.32279 low-feature-cells
Ex-Neuron-L3-5-RORB-PLCH1             SET     244     0.034939    0.0040244     0.070011      0.30888 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-DLC1-HS3ST4                 SET     251     0.085044    0.0099335     0.068524       0.1073 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-CBLN2-NRGN                  SET     236     -0.10335     -0.01171     0.069449      0.93164 Ex-Neuron-CBLN2-NRGN
In-Neuron-ADARB2-GRM7                 SET     255     0.014761    0.0017377     0.068258      0.41439 In-Neuron-ADARB2-GRM7
In-Neuron-TRHDE-RALYL                 SET     252    0.0062406   0.00073036     0.068539      0.46373 In-Neuron-TRHDE-RALYL
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     252      0.06322    0.0073988      0.06776      0.17542 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-NRG1-RELN            SET     252      0.13371     0.015649     0.068071     0.024754 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     248    -0.046535   -0.0054034      0.06827      0.75226 In-Neuron-DPP10-MEF2C
ambiguous                             SET     241    -0.023825   -0.0027276     0.069802      0.63357 ambiguous
