# TOTAL_GENES = 18473
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET     254     0.080499    0.0093744     0.063504      0.10248 Astrocyte-activated
Astrocyte-quiescent                   SET     255   7.4023e-05    8.637e-06     0.061878      0.49952 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET     247      0.10846     0.012457     0.064911     0.047384 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET     236     0.024665      0.00277     0.064673      0.35147 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET     251     0.038865    0.0044995     0.065719      0.27714 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     252      0.11268      0.01307      0.06477     0.040973 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     244     0.097192     0.011096     0.066605     0.072261 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     249      0.09576     0.011043     0.065809     0.072828 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     254     0.064398    0.0074994     0.064504      0.15906 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     255    -0.048271   -0.0056322     0.065228      0.77035 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     252     -0.13025    -0.015109     0.065218      0.97709 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     252    -0.029575   -0.0034307     0.065035      0.67535 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     252    -0.053874   -0.0062494     0.065489      0.79464 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     248    -0.060007   -0.0069061     0.064143      0.82523 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     255     0.059913    0.0069907     0.065005      0.17836 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     252     0.020352    0.0023608     0.065556      0.37811 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET     251      0.13289     0.015385     0.063253     0.017832 Microglia-activated
Microglia-quiescent                   SET     252      0.16587     0.019241     0.063387    0.0044426 Microglia-quiescent
Microglia-vascular                    SET     256    -0.029314    -0.003427     0.061062      0.68441 Microglia-vascular
OPC-A                                 SET     252     0.064697    0.0075049     0.065017      0.15986 OPC-A
OPC-B                                 SET     261     0.091322     0.010778     0.063638     0.075649 OPC-B
Oligo-A                               SET     249     0.095987     0.011069     0.063304     0.064735 Oligo-A
Oligo-B                               SET     247     0.013016    0.0014951     0.062317      0.41727 Oligo-B
Perivascular                          SET     256    -0.030104   -0.0035193     0.062376      0.68531 Perivascular
T-cell-mixed                          SET     256    -0.075497    -0.008826     0.060712      0.89316 T-cell-mixed
T-cell-parenchymal-1                  SET     254    -0.023137   -0.0026944     0.061661      0.64625 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     256     -0.10632    -0.012429     0.059598      0.96277 T-cell-parenchymal-2
ambiguous                             SET     241     0.058091    0.0065918     0.066262      0.19034 ambiguous
low-feature-cells                     SET     255     0.084508    0.0098604     0.062411     0.087869 low-feature-cells
