# MEAN_SAMPLE_SIZE = 11226
# TOTAL_GENES = 18369
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET     254     0.036649    0.0042799     0.057397      0.26157 Astrocyte-activated
Astrocyte-quiescent                   SET     255     0.079376    0.0092873     0.058009     0.085617 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET     247     0.099474     0.011457     0.060111     0.048989 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET     236     -0.02545   -0.0028661      0.06006      0.66412 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET     251    0.0095161    0.0011048     0.061712      0.43873 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET     251   -0.0062668  -0.00072755     0.060819      0.54103 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET     244   -0.0069973  -0.00080111     0.062732      0.54441 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET     249     0.050546    0.0058451     0.061651      0.20615 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET     254     0.031798    0.0037133     0.060045      0.29821 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET     255     0.048313    0.0056528     0.060148      0.21093 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET     252    -0.037279   -0.0043365     0.060581      0.73084 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET     252    -0.044606   -0.0051888     0.060498      0.76953 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET     252    -0.088717     -0.01032     0.061846      0.92427 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET     249     0.083639     0.009672     0.060282     0.082663 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET     256     0.041066    0.0048142     0.059879      0.24642 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET     252    -0.042417   -0.0049342     0.060714      0.75761 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET     250     0.014014    0.0016238     0.056961      0.40283 Microglia-activated
Microglia-quiescent                   SET     252     0.060733    0.0070648     0.058584      0.14995 Microglia-quiescent
Microglia-vascular                    SET     256     0.011173    0.0013098       0.0555      0.42023 Microglia-vascular
OPC-A                                 SET     251     0.095561     0.011094     0.060087     0.055886 OPC-A
OPC-B                                 SET     260     0.066731    0.0078829     0.059418      0.13071 OPC-B
Oligo-A                               SET     249        0.192     0.022203     0.060006   0.00068953 Oligo-A
Oligo-B                               SET     247     0.088314     0.010172     0.058439     0.065377 Oligo-B
Perivascular                          SET     254    -0.027225   -0.0031793      0.05752        0.682 Perivascular
T-cell-mixed                          SET     256    -0.010241   -0.0012006     0.054273      0.57483 T-cell-mixed
T-cell-parenchymal-1                  SET     254     0.074849    0.0087407     0.055881     0.090226 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET     256    -0.025156   -0.0029491       0.0544      0.67811 T-cell-parenchymal-2
ambiguous                             SET     241     0.040174    0.0045715     0.061704       0.2575 ambiguous
low-feature-cells                     SET     255     0.069279    0.0081059     0.057489       0.1141 low-feature-cells
