# MEAN_SAMPLE_SIZE = 36989
# TOTAL_GENES = 18934
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET    1442      0.10734     0.028474     0.028714   9.3018e-05 Astrocyte-activated
Astrocyte-quiescent                   SET    1427     0.098175     0.025917     0.028809    0.0003285 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET    1459      0.11624     0.031001     0.028689   2.5554e-05 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1415      0.14223     0.037402     0.029047   4.9307e-07 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1438      0.14994     0.039722     0.028755   9.3611e-08 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1458      0.12881     0.034341     0.028479   3.0765e-06 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1430      0.12243     0.032353     0.028758   1.0413e-05 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1442      0.12928     0.034292     0.028916   3.9308e-06 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1440       0.1332     0.035311     0.028866   1.9887e-06 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1463      0.13994     0.037366     0.028934   6.6863e-07 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1464      0.13992     0.037375     0.028724   5.6063e-07 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1470      0.14426     0.038605     0.028743   2.6323e-07 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1467      0.14847     0.039695     0.028672   1.1361e-07 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1465      0.13418     0.035852     0.028915   1.7535e-06 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1459      0.15741     0.041981      0.02873   2.1764e-08 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1468        0.177     0.047338     0.028745   3.7993e-10 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET    1457     0.056075     0.014945     0.028256     0.023606 Microglia-activated
Microglia-quiescent                   SET    1449      0.12275     0.032634     0.028418   7.8746e-06 Microglia-quiescent
Microglia-vascular                    SET    1462      0.16508     0.044067     0.028359   2.9899e-09 Microglia-vascular
OPC-A                                 SET    1439      0.15101     0.040018     0.029034   1.0056e-07 OPC-A
OPC-B                                 SET    1474      0.14242     0.038161     0.028548   3.0745e-07 OPC-B
Oligo-A                               SET    1470      0.13013     0.034824     0.028464   2.4397e-06 Oligo-A
Oligo-B                               SET    1463       0.1812     0.048384     0.028634   1.2805e-10 Oligo-B
Perivascular                          SET    1459      0.12796     0.034125     0.028178   2.8228e-06 Perivascular
T-cell-mixed                          SET    1458      0.12137     0.032359     0.028518   1.0472e-05 T-cell-mixed
T-cell-parenchymal-1                  SET    1478      0.14016     0.037601     0.028521    4.509e-07 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1458      0.01405    0.0037459     0.028339      0.31002 T-cell-parenchymal-2
ambiguous                             SET    1437      0.13964     0.036983     0.028745   5.9959e-07 ambiguous
low-feature-cells                     SET    1482      0.13027     0.034991     0.028153   1.8713e-06 low-feature-cells
