# MEAN_SAMPLE_SIZE = 11226
# TOTAL_GENES = 18369
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Astrocyte-activated                   SET    1408     0.036824    0.0097967     0.025209     0.072052 Astrocyte-activated
Astrocyte-quiescent                   SET    1392     0.032671    0.0086465     0.025385     0.099055 Astrocyte-quiescent
Ex-Neuron-ADARB2-ERBB4                SET    1386     0.059643     0.015753     0.025577      0.00986 Ex-Neuron-ADARB2-ERBB4
Ex-Neuron-CBLN2-NRGN                  SET    1376   -0.0065424   -0.0017223     0.025261      0.60218 Ex-Neuron-CBLN2-NRGN
Ex-Neuron-DLC1-HS3ST4                 SET    1402     0.042608     0.011313     0.025071     0.044622 Ex-Neuron-DLC1-HS3ST4
Ex-Neuron-L2-3-CBLN2-LINC023...       SET    1420     0.016391    0.0043777     0.024711      0.25357 Ex-Neuron-L2-3-CBLN2-LINC02306-CUX2
Ex-Neuron-L3-5-RORB-PLCH1             SET    1396     0.033325    0.0088311     0.025196     0.092995 Ex-Neuron-L3-5-RORB-PLCH1
Ex-Neuron-L4-5-RORB-IL1RAPL2          SET    1403      0.01708    0.0045367     0.024957      0.24687 Ex-Neuron-L4-5-RORB-IL1RAPL2
Ex-Neuron-L6-THEMIS-NFIA              SET    1399  -0.00047519  -0.00012605     0.025032      0.50757 Ex-Neuron-L6-THEMIS-NFIA
In-Neuron-ADARB2-GRM7                 SET    1418     0.049469     0.013204     0.025386     0.025675 In-Neuron-ADARB2-GRM7
In-Neuron-ADARB2-IL1RAPL2-CS...       SET    1411      0.04615      0.01229     0.025441     0.034851 In-Neuron-ADARB2-IL1RAPL2-CSCL14
In-Neuron-ADARB2-LAMP5-NRG1           SET    1409     0.014136    0.0037621      0.02516      0.28712 In-Neuron-ADARB2-LAMP5-NRG1
In-Neuron-ADARB2-NRG1-RELN            SET    1425     0.043086     0.011526     0.025165     0.043451 In-Neuron-ADARB2-NRG1-RELN
In-Neuron-DPP10-MEF2C                 SET    1415     0.020534    0.0054753     0.025237      0.20793 In-Neuron-DPP10-MEF2C
In-Neuron-PRKG1-TBC1D4                SET    1407     0.034675     0.009222     0.025157     0.084064 In-Neuron-PRKG1-TBC1D4
In-Neuron-TRHDE-RALYL                 SET    1422     0.040673      0.01087     0.025477     0.055207 In-Neuron-TRHDE-RALYL
Microglia-activated                   SET    1433     0.026786    0.0071841     0.024617      0.13827 Microglia-activated
Microglia-quiescent                   SET    1417     0.025326    0.0067574     0.025076      0.15627 Microglia-quiescent
Microglia-vascular                    SET    1429     0.015749    0.0042185     0.024639      0.26135 Microglia-vascular
OPC-A                                 SET    1399      0.03569    0.0094672     0.025612     0.081746 OPC-A
OPC-B                                 SET    1429     0.062194     0.016659     0.025332    0.0070468 OPC-B
Oligo-A                               SET    1437     0.097613     0.026213     0.024854   4.3142e-05 Oligo-A
Oligo-B                               SET    1435     0.036064    0.0096785     0.024904     0.073804 Oligo-B
Perivascular                          SET    1429     0.011812     0.003164     0.024644      0.31586 Perivascular
T-cell-mixed                          SET    1433     0.032198    0.0086354     0.024475     0.094178 T-cell-mixed
T-cell-parenchymal-1                  SET    1451     0.053597     0.014457     0.024093     0.013063 T-cell-parenchymal-1
T-cell-parenchymal-2                  SET    1432      0.01543    0.0041371      0.02429      0.26264 T-cell-parenchymal-2
ambiguous                             SET    1395     0.045923     0.012166     0.025367     0.035132 ambiguous
low-feature-cells                     SET    1450    -0.021226   -0.0057235     0.023859      0.81316 low-feature-cells
