# TOTAL_GENES = 18423
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
Arterial                     SET     932     0.057587     0.012621      0.03237      0.03763
Arteriolar-SMC               SET     926     0.027671     0.006046     0.032174      0.19489
Artirial-FB                  SET     873   -0.0038341  -0.00081462     0.032326      0.54721
Capillary                    SET     927     0.036219    0.0079177     0.032067      0.12935
M-Pericyte                   SET     930     0.034004    0.0074449     0.032793      0.14989
Meningeal-FB                 SET     917     0.024242    0.0052723     0.032887      0.23052
Microglia-vascular           SET     953     0.032122    0.0071145     0.030198      0.14374
Oligo-A                      SET     895     0.064882     0.013949     0.033329     0.025791
Pericyte                     SET     948     0.022507    0.0049726     0.031823      0.23971
Pericyte-2                   SET     883     0.067933     0.014512     0.033857     0.022413
Pericyte-FB                  SET     890      0.01769    0.0037932     0.033356      0.29794
Perivascular                 SET     943     0.058759     0.012949     0.031668     0.031775
Perivascular-FB              SET     903    0.0053808    0.0011617     0.032962      0.43517
Perivascular-FB-KAZN2        SET     943     0.038774    0.0085451     0.032413      0.11581
T-Pericyte                   SET     925     0.058998     0.012884     0.032559     0.034998
T-cell-mixed                 SET     937     0.074606     0.016392     0.032054    0.0099762
T-cell-vascular              SET     930     0.021119    0.0046237     0.031843       0.2536
Trans-Endo-to-mural          SET     910      -0.0084   -0.0018203     0.032525       0.6019
Vascular-SMC                 SET     935     0.055351     0.012149      0.03202     0.041947
Vascular-SMC-LINC00486       SET     947     0.052736     0.011646     0.031274      0.04588
Venous                       SET     921    0.0014959   0.00032602     0.032159      0.48145
low-feature-cells            SET     924        0.034    0.0074212     0.033743      0.15683
