# TOTAL_GENES = 18353
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
Arterial                     SET     932     0.066004     0.014492     0.031953      0.01944
Arteriolar-SMC               SET     926     0.033204     0.007268     0.031733      0.14771
Artirial-FB                  SET     874      0.00277   0.00058992     0.031852      0.46535
Capillary                    SET     925     0.040976    0.0089645     0.031757     0.098484
M-Pericyte                   SET     929     0.038466    0.0084327     0.032411      0.11765
Meningeal-FB                 SET     917     0.030268    0.0065948     0.032414      0.17521
Microglia-vascular           SET     950     0.033909    0.0075127     0.029917      0.12852
Pericyte                     SET     948     0.024337    0.0053866     0.031409      0.21922
Pericyte-2                   SET     882     0.073495      0.01572     0.033395     0.013884
Pericyte-FB                  SET     892     0.016095     0.003461     0.032847      0.31208
Perivascular-FB              SET     903     0.007259    0.0015701      0.03252      0.41169
Perivascular-FB-KAZN2        SET     941     0.037613    0.0082958     0.031948      0.11955
T-Pericyte                   SET     926     0.059758      0.01308     0.032072     0.031223
T-cell-mixed                 SET     936     0.074301     0.016346     0.031614    0.0093859
T-cell-vascular              SET     928     0.019983    0.0043784     0.031444      0.26256
Trans-Endo-to-mural          SET     902    -0.024784   -0.0053579     0.032151      0.77961
Vascular-SMC                 SET     933     0.050481     0.011089     0.031676     0.055516
Vascular-SMC-LINC00486       SET     947     0.054779     0.012118     0.030839     0.037855
Venous                       SET     918   -0.0045945   -0.0010016     0.031805      0.55743
