# TOTAL_GENES = 18215
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
Arterial                     SET     932     0.055234      0.01217     0.035156     0.058085
Arteriolar-SMC               SET     926     0.082104     0.018036      0.03506    0.0096002
Artirial-FB                  SET     875     0.022032    0.0047116     0.034694      0.26271
Capillary                    SET     926     0.071247     0.015651     0.035004     0.020912
M-Pericyte                   SET     929     0.034614    0.0076152     0.035768       0.1666
Meningeal-FB                 SET     917    0.0047352    0.0010354     0.036145      0.44789
Microglia-vascular           SET     952      0.01353    0.0030113     0.032878      0.34035
Pericyte                     SET     948     0.015615    0.0034685     0.034998      0.32774
Pericyte-2                   SET     882      0.05214     0.011192      0.03639     0.075967
Pericyte-FB                  SET     892  -0.00041127  -8.8757e-05     0.036077      0.50455
Perivascular-FB              SET     903     0.020269    0.0043998     0.036396       0.2888
Perivascular-FB-KAZN2        SET     942     0.078064     0.017288     0.034954      0.01277
T-Pericyte                   SET     926     0.039519    0.0086813     0.035566      0.13326
T-cell-mixed                 SET     937     0.076663     0.016935     0.035601     0.015651
T-cell-vascular              SET     932     0.034073    0.0075078     0.033781      0.15658
Trans-Endo-to-mural          SET     907      0.01695    0.0036871      0.03446      0.31141
Vascular-SMC                 SET     935     0.083374     0.018399     0.035077    0.0087355
Vascular-SMC-LINC00486       SET     947     0.054194     0.012032     0.034257     0.056835
Venous                       SET     921    0.0017705   0.00038792     0.034916      0.47978
