# TOTAL_GENES = 18144
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                    TYPE  NGENES         BETA     BETA_STD           SE            P
Arterial                     SET     931     0.060725     0.013398     0.034689     0.040022
Arteriolar-SMC               SET     926     0.086167     0.018963     0.034576    0.0063543
Artirial-FB                  SET     874     0.023145    0.0049561     0.034267       0.2497
Capillary                    SET     923     0.073767      0.01621      0.03459     0.016485
M-Pericyte                   SET     928     0.040139    0.0088427     0.035295      0.12773
Meningeal-FB                 SET     917    0.0071236    0.0015605     0.035646       0.4208
Microglia-vascular           SET     949     0.016905    0.0037637     0.032515      0.30157
Pericyte                     SET     948     0.021005    0.0046742     0.034516      0.27142
Pericyte-2                   SET     882     0.056172      0.01208     0.035888     0.058776
Pericyte-FB                  SET     892    0.0043033   0.00093042      0.03558      0.45187
Perivascular-FB              SET     903     0.023202    0.0050459     0.035893        0.259
Perivascular-FB-KAZN2        SET     941     0.077009     0.017077     0.034489     0.012785
T-Pericyte                   SET     925     0.044902    0.0098769     0.035095      0.10038
T-cell-mixed                 SET     936      0.07607     0.016827     0.035128      0.01518
T-cell-vascular              SET     928     0.037998    0.0083711     0.033429      0.12784
Trans-Endo-to-mural          SET     901    0.0077265    0.0016785     0.034108       0.4104
Vascular-SMC                 SET     932     0.079796     0.017615     0.034648     0.010644
Vascular-SMC-LINC00486       SET     947     0.059085     0.013142     0.033784     0.040161
Venous                       SET     917   -0.0011951   -0.0002618     0.034519      0.51381
